spark.executor.cores,spark.executor.memory,spark.reducer.maxBlocksInFlightPerAddress,spark.broadcast.blockSize,spark.executor.instances,spark.executor.memoryOverhead,spark.storage.memoryMapThreshold,spark.shuffle.file.buffer,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.maxRemoteBlockSizeFetchToMem,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.shuffle.compress,spark.scheduler.revive.interval,spark.shuffle.io.numConnectionsPerPeer,spark.scheduler.mode,spark.locality.wait,spark.kryoserializer.buffer,spark.reducer.maxReqsInFlight,spark.memory.storageFraction,spark.shuffle.sort.bypassMergeThreshold,spark.memory.offHeap.enabled,spark.rdd.compress,spark.broadcast.compress,spark.memory.offHeap.size,spark.broadcast.checksum,runtime
4.0,8.0,2128013557.0,27.0,14.0,936.0,7.0,27.0,42.0,0.7857142857142857,1982060343.0,231.0,51.0,0.0,926.0,3.0,1.0,10.0,111.0,1561163198.0,0.753968253968254,434.0,1.0,0.0,1.0,657.0,0.0,649.3302500000004
7.0,11.0,1747152512.0,27.0,10.0,1262.0,5.0,40.0,94.0,0.753968253968254,1360832383.0,260.0,26.0,0.0,890.0,1.0,0.0,6.0,119.0,1702969472.0,0.6968253968253968,252.0,1.0,0.0,0.0,869.0,1.0,647.8486100000003
5.0,13.0,1796714242.0,21.0,13.0,1596.0,5.0,39.0,94.0,0.7603174603174603,1417731362.0,354.0,26.0,0.0,890.0,1.0,0.0,6.0,108.0,1787099648.0,0.6841269841269841,257.0,1.0,0.0,0.0,848.0,1.0,647.7349300000003
4.0,10.0,1786257664.0,10.0,10.0,1338.0,8.0,22.0,92.0,0.7031746031746031,1360832383.0,260.0,26.0,0.0,890.0,1.0,0.0,6.0,119.0,1726350080.0,0.6587301587301587,273.0,1.0,0.0,0.0,800.0,1.0,647.5435900000003
6.0,14.0,1786257664.0,12.0,10.0,1338.0,8.0,22.0,88.0,0.734920634920635,1360897919.0,258.0,26.0,0.0,890.0,1.0,0.0,6.0,119.0,1726350080.0,0.6587301587301587,273.0,1.0,0.0,0.0,800.0,1.0,647.5435900000003
5.0,10.0,1970265365.0,26.0,11.0,1338.0,5.0,38.0,86.0,0.5,1360832383.0,260.0,51.0,0.0,890.0,2.0,0.0,6.0,119.0,1703362689.0,0.6841269841269841,455.0,1.0,0.0,0.0,923.0,1.0,645.2993400000003
5.0,9.0,1712828162.0,4.0,12.0,1440.0,6.0,29.0,77.0,0.5,1455962901.0,354.0,25.0,0.0,890.0,1.0,0.0,6.0,119.0,1877336192.0,0.7095238095238096,256.0,1.0,0.0,0.0,839.0,1.0,644.6002500000002
5.0,12.0,1796714242.0,21.0,13.0,1141.0,8.0,32.0,43.0,0.5,1360832481.0,260.0,26.0,0.0,890.0,1.0,0.0,6.0,110.0,1476366526.0,0.6777777777777778,256.0,1.0,0.0,0.0,840.0,1.0,644.5126400000003
7.0,14.0,1800563333.0,7.0,9.0,1354.0,6.0,21.0,78.0,0.5,1360832383.0,258.0,26.0,0.0,890.0,1.0,0.0,6.0,122.0,1731773059.0,0.5825396825396826,455.0,0.0,0.0,0.0,923.0,1.0,644.5089000000003
7.0,11.0,1796714242.0,21.0,13.0,1141.0,8.0,22.0,43.0,0.5,1360833410.0,250.0,51.0,0.0,890.0,1.0,0.0,6.0,110.0,1476366526.0,0.6777777777777778,256.0,1.0,0.0,0.0,840.0,1.0,644.4482900000003
4.0,11.0,1795452873.0,19.0,11.0,1614.0,6.0,20.0,80.0,0.5,1360833410.0,250.0,51.0,0.0,890.0,1.0,0.0,6.0,110.0,1476366526.0,0.6777777777777778,256.0,1.0,0.0,0.0,840.0,1.0,644.4445500000003
4.0,10.0,1798837513.0,2.0,11.0,1614.0,6.0,22.0,43.0,0.5,1360833410.0,250.0,51.0,0.0,889.0,4.0,0.0,6.0,119.0,1434927680.0,0.6587301587301587,273.0,1.0,0.0,0.0,800.0,1.0,644.4445500000003
5.0,11.0,1797700921.0,8.0,12.0,1011.0,6.0,29.0,54.0,0.5,1360832399.0,335.0,26.0,0.0,890.0,1.0,0.0,6.0,119.0,1717699328.0,0.6841269841269841,268.0,1.0,0.0,0.0,906.0,1.0,644.3973700000001
6.0,9.0,1801885459.0,8.0,12.0,1611.0,6.0,22.0,43.0,0.5,1360832399.0,335.0,26.0,0.0,889.0,4.0,0.0,6.0,119.0,1434927682.0,0.6587301587301587,273.0,1.0,0.0,0.0,851.0,1.0,644.3973700000001
4.0,12.0,1801885459.0,8.0,12.0,1611.0,6.0,22.0,43.0,0.5,1360832399.0,335.0,26.0,0.0,889.0,4.0,0.0,6.0,110.0,1476366399.0,0.6841269841269841,273.0,1.0,0.0,0.0,869.0,1.0,644.3973700000001
7.0,9.0,1794643221.0,17.0,8.0,1134.0,6.0,29.0,78.0,0.5,1394386823.0,335.0,26.0,0.0,889.0,5.0,0.0,6.0,119.0,1442808386.0,0.6587301587301587,273.0,1.0,0.0,0.0,851.0,1.0,644.3973700000001
7.0,8.0,1798837257.0,3.0,11.0,1614.0,6.0,20.0,79.0,0.5,1364502414.0,335.0,26.0,0.0,890.0,1.0,0.0,6.0,119.0,1860502080.0,0.6587301587301587,256.0,1.0,0.0,0.0,835.0,1.0,644.3973700000001
5.0,12.0,1802791563.0,16.0,12.0,1692.0,6.0,45.0,78.0,0.5,1360702369.0,335.0,26.0,0.0,889.0,4.0,0.0,6.0,110.0,1424883716.0,0.6841269841269841,273.0,1.0,0.0,0.0,801.0,1.0,644.3973700000001
7.0,11.0,1800934677.0,37.0,12.0,1606.0,6.0,22.0,43.0,0.5,1369221005.0,335.0,26.0,0.0,889.0,4.0,0.0,6.0,110.0,1471026304.0,0.6841269841269841,455.0,0.0,0.0,0.0,904.0,1.0,644.3973700000001
5.0,11.0,1795587585.0,52.0,8.0,1614.0,6.0,20.0,72.0,0.5,1362929550.0,335.0,26.0,0.0,889.0,4.0,0.0,6.0,119.0,1434862146.0,0.6523809523809524,273.0,1.0,0.0,0.0,800.0,1.0,644.3973700000001
6.0,10.0,1795550997.0,39.0,12.0,1606.0,6.0,22.0,92.0,0.5,1365027734.0,335.0,26.0,0.0,889.0,4.0,0.0,6.0,110.0,1476305472.0,0.6841269841269841,455.0,0.0,0.0,0.0,968.0,1.0,644.3973700000001
7.0,11.0,1796564353.0,52.0,11.0,1608.0,6.0,23.0,66.0,0.5,1903961856.0,335.0,26.0,0.0,889.0,4.0,0.0,6.0,110.0,1472108098.0,0.6841269841269841,473.0,0.0,0.0,0.0,804.0,1.0,644.3973700000001
4.0,10.0,1795468964.0,5.0,11.0,1271.0,6.0,22.0,40.0,0.5,2031396462.0,340.0,26.0,0.0,889.0,3.0,0.0,6.0,122.0,2013237438.0,0.6777777777777778,273.0,1.0,0.0,0.0,800.0,1.0,644.3973700000001
6.0,14.0,1803906945.0,19.0,8.0,1099.0,6.0,16.0,66.0,0.5,1346119572.0,335.0,26.0,0.0,883.0,4.0,1.0,6.0,119.0,1323631331.0,0.6841269841269841,455.0,0.0,0.0,0.0,904.0,1.0,644.3973700000001
5.0,14.0,1804344651.0,9.0,11.0,1683.0,6.0,22.0,68.0,0.5,1904028349.0,326.0,25.0,0.0,889.0,4.0,0.0,6.0,119.0,1416904897.0,0.6968253968253968,274.0,1.0,0.0,0.0,800.0,1.0,644.3973700000001
7.0,11.0,1799398960.0,52.0,11.0,1750.0,6.0,29.0,65.0,0.5,1369221005.0,335.0,26.0,1.0,889.0,4.0,0.0,6.0,119.0,1425294336.0,0.6841269841269841,273.0,1.0,0.0,0.0,900.0,1.0,644.3973700000001
5.0,10.0,1802987149.0,19.0,11.0,1365.0,6.0,45.0,72.0,0.5,1359798159.0,316.0,25.0,0.0,889.0,4.0,0.0,6.0,119.0,1860666946.0,0.6841269841269841,455.0,0.0,0.0,0.0,920.0,1.0,644.3973700000001
6.0,8.0,1804343057.0,34.0,8.0,1089.0,6.0,16.0,66.0,0.5,1362897806.0,344.0,26.0,1.0,889.0,4.0,0.0,8.0,117.0,1858929344.0,0.6841269841269841,256.0,1.0,0.0,0.0,776.0,1.0,644.3973700000001
6.0,14.0,1804343057.0,34.0,8.0,1089.0,6.0,16.0,66.0,0.5,1362897806.0,344.0,26.0,1.0,889.0,4.0,0.0,6.0,119.0,1411298434.0,0.6841269841269841,256.0,1.0,0.0,0.0,776.0,1.0,644.3973700000001
6.0,11.0,1796261183.0,47.0,11.0,1611.0,6.0,21.0,68.0,0.5,1897704674.0,316.0,26.0,0.0,889.0,4.0,0.0,6.0,110.0,1416610056.0,0.6841269841269841,455.0,0.0,0.0,0.0,904.0,1.0,644.3973700000001
