spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.shuffle.compress,runtime
6.0,11.0,12.0,1.0,262.35608
7.0,11.0,13.0,1.0,260.724
6.0,14.0,10.0,1.0,254.27583
7.0,12.0,13.0,1.0,260.724
6.0,14.0,10.0,1.0,254.27583
7.0,14.0,10.0,1.0,254.27632
6.0,14.0,10.0,1.0,254.27583
7.0,8.0,8.0,1.0,262.53873
6.0,9.0,8.0,1.0,262.53873
6.0,8.0,8.0,1.0,262.53873
6.0,13.0,10.0,1.0,254.27583
6.0,10.0,8.0,1.0,262.53873
7.0,10.0,8.0,1.0,262.53873
6.0,9.0,8.0,1.0,262.53873
6.0,8.0,8.0,1.0,262.53873
7.0,10.0,8.0,1.0,262.53873
6.0,10.0,8.0,1.0,262.53873
7.0,10.0,8.0,1.0,262.53873
6.0,8.0,8.0,1.0,262.53873
6.0,8.0,8.0,1.0,262.53873
6.0,9.0,8.0,1.0,262.53873
6.0,10.0,8.0,1.0,262.53873
6.0,8.0,8.0,1.0,262.53873
7.0,8.0,8.0,1.0,262.53873
6.0,8.0,8.0,1.0,262.53873
6.0,8.0,8.0,1.0,262.53873
6.0,9.0,8.0,1.0,262.53873
6.0,8.0,8.0,1.0,262.53873
7.0,10.0,8.0,1.0,262.53873
6.0,10.0,8.0,1.0,262.53873
