spark.executor.memory,spark.executor.cores,runtime
14.0,7.0,275.4674
13.0,7.0,275.4674
13.0,6.0,275.4674
14.0,7.0,275.4674
13.0,6.0,275.4674
14.0,6.0,275.4674
14.0,6.0,275.4674
14.0,7.0,275.4674
14.0,7.0,275.4674
13.0,6.0,275.4674
14.0,7.0,275.4674
13.0,7.0,275.4674
14.0,7.0,275.4674
13.0,6.0,275.4674
14.0,7.0,275.4674
13.0,7.0,275.4674
13.0,6.0,275.4674
14.0,7.0,275.4674
13.0,6.0,275.4674
13.0,7.0,275.4674
13.0,6.0,275.4674
14.0,7.0,275.4674
14.0,7.0,275.4674
13.0,7.0,275.4674
13.0,7.0,275.4674
13.0,7.0,275.4674
13.0,7.0,275.4674
13.0,7.0,275.4674
13.0,6.0,275.4674
13.0,7.0,275.4674
