spark.executor.memory,spark.executor.cores,spark.memory.fraction,spark.executor.memoryOverhead,spark.shuffle.compress,spark.kryoserializer.buffer,spark.scheduler.revive.interval,spark.shuffle.sort.bypassMergeThreshold,runtime
11.0,6.0,0.734920634920635,1259.0,1.0,58.0,760.0,340.0,596.9973329175949
13.0,6.0,0.7730158730158729,1237.0,1.0,40.0,587.0,417.0,599.3871927550099
11.0,6.0,0.6587301587301587,1253.0,1.0,46.0,770.0,346.0,598.3117555885209
11.0,6.0,0.7603174603174603,1253.0,1.0,46.0,770.0,346.0,596.8787621896334
12.0,5.0,0.7222222222222222,1239.0,1.0,42.0,766.0,340.0,598.5337445728466
12.0,6.0,0.734920634920635,1260.0,1.0,45.0,520.0,340.0,597.4996798317426
14.0,6.0,0.753968253968254,1252.0,1.0,43.0,614.0,355.0,597.6326779452675
10.0,6.0,0.7412698412698413,1697.0,1.0,49.0,658.0,415.0,598.0374599562845
14.0,4.0,0.7603174603174603,1228.0,1.0,55.0,547.0,343.0,596.4741288291822
11.0,6.0,0.7158730158730159,1228.0,1.0,55.0,547.0,343.0,597.6534560761469
14.0,5.0,0.7603174603174603,1349.0,1.0,49.0,557.0,102.0,597.1977854036712
10.0,6.0,0.734920634920635,1245.0,1.0,54.0,776.0,368.0,596.9973329175949
14.0,7.0,0.7412698412698413,1230.0,1.0,51.0,801.0,163.0,597.0932321477793
10.0,4.0,0.7412698412698413,1245.0,1.0,51.0,776.0,368.0,596.9955185940829
8.0,4.0,0.6777777777777778,1250.0,1.0,49.0,768.0,419.0,597.4539074714127
14.0,4.0,0.7603174603174603,1245.0,1.0,43.0,767.0,364.0,597.0135746266703
12.0,4.0,0.7603174603174603,1245.0,1.0,52.0,551.0,163.0,596.3764152754858
13.0,5.0,0.7476190476190476,1245.0,1.0,49.0,535.0,116.0,596.6400173911223
14.0,5.0,0.7603174603174603,1251.0,1.0,49.0,672.0,117.0,596.0209140725252
11.0,4.0,0.753968253968254,1243.0,1.0,49.0,750.0,365.0,596.6400173911223
14.0,6.0,0.7476190476190476,1251.0,1.0,49.0,761.0,398.0,596.6400173911223
11.0,4.0,0.7285714285714285,1251.0,1.0,49.0,631.0,117.0,596.6418317146343
8.0,4.0,0.7603174603174603,1262.0,1.0,49.0,631.0,123.0,596.0209140725252
13.0,7.0,0.7285714285714285,1248.0,1.0,49.0,631.0,376.0,596.6418317146343
9.0,7.0,0.7285714285714285,1229.0,1.0,49.0,662.0,165.0,596.6418317146343
11.0,7.0,0.753968253968254,1230.0,1.0,49.0,913.0,165.0,596.6400173911223
10.0,6.0,0.7285714285714285,1257.0,1.0,49.0,777.0,390.0,596.6418317146343
10.0,6.0,0.7285714285714285,1257.0,1.0,49.0,620.0,390.0,596.6418317146343
11.0,5.0,0.7476190476190476,1257.0,1.0,53.0,776.0,168.0,596.9955185940829
11.0,5.0,0.7412698412698413,1240.0,1.0,49.0,676.0,163.0,596.6400173911223
