spark.executor.cores,spark.executor.memory,spark.shuffle.compress,runtime
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
7.0,12.0,1.0,258.73404
