spark.executor.memory,spark.executor.cores,spark.kryoserializer.buffer,spark.shuffle.compress,spark.executor.memoryOverhead,runtime
12.0,6.0,126.0,0.0,1450.0,252.87407305547447
10.0,6.0,128.0,1.0,1486.0,246.31870415359035
10.0,6.0,128.0,1.0,837.0,246.31870415359035
10.0,6.0,128.0,0.0,1513.0,246.31870415359035
14.0,6.0,128.0,1.0,799.0,249.56546430578243
10.0,6.0,128.0,0.0,758.0,246.31870415359035
10.0,6.0,40.0,1.0,1199.0,252.0637994443561
14.0,6.0,128.0,0.0,1511.0,249.56546430578243
14.0,6.0,128.0,0.0,625.0,249.56546430578243
13.0,6.0,128.0,0.0,1243.0,249.05026881445565
10.0,7.0,128.0,0.0,1334.0,244.95052868170228
10.0,6.0,128.0,1.0,1555.0,246.31870415359035
11.0,7.0,128.0,0.0,1384.0,248.64541749369508
10.0,7.0,124.0,1.0,668.0,248.7743329227212
14.0,7.0,128.0,0.0,807.0,248.1972888338943
14.0,7.0,128.0,0.0,785.0,248.1972888338943
10.0,7.0,128.0,1.0,1489.0,244.95052868170228
10.0,7.0,41.0,1.0,868.0,250.69562397246804
14.0,7.0,128.0,0.0,1663.0,248.1972888338943
14.0,7.0,128.0,0.0,1006.0,248.1972888338943
11.0,7.0,128.0,0.0,1348.0,248.64541749369508
10.0,7.0,128.0,1.0,663.0,244.95052868170228
14.0,7.0,128.0,1.0,495.0,248.1972888338943
10.0,7.0,43.0,1.0,1478.0,251.13510852668506
10.0,7.0,46.0,1.0,712.0,252.10405625618432
10.0,7.0,124.0,0.0,421.0,248.7743329227212
10.0,7.0,127.0,0.0,797.0,248.7743329227212
10.0,7.0,124.0,1.0,1646.0,248.7743329227212
10.0,7.0,124.0,1.0,1247.0,248.7743329227212
10.0,7.0,127.0,0.0,924.0,248.7743329227212
