spark.executor.memoryOverhead,spark.shuffle.sort.bypassMergeThreshold,spark.maxRemoteBlockSizeFetchToMem,spark.executor.memory,runtime
1273.0,271.0,1421714943.0,11.0,175.10260619557138
1235.0,413.0,1628626033.0,10.0,243.60958335235998
1232.0,271.0,2121648352.0,11.0,175.10260619557138
590.0,217.0,1315916246.0,8.0,379.76571969187273
1330.0,271.0,1179755804.0,11.0,179.66795402651096
596.0,242.0,1128546243.0,10.0,379.76571969187273
1235.0,152.0,1504015239.0,12.0,182.2174148549626
823.0,116.0,2054842691.0,14.0,379.76571969187273
1235.0,170.0,1173264745.0,11.0,182.2174148549626
871.0,130.0,1661498260.0,8.0,379.76571969187273
1275.0,185.0,1148504331.0,12.0,182.2174148549626
1043.0,418.0,1770730554.0,10.0,435.02264671521453
1246.0,170.0,1550750888.0,11.0,182.2174148549626
818.0,430.0,2064147829.0,11.0,441.8874138441163
1257.0,195.0,1703255339.0,12.0,182.2174148549626
1056.0,480.0,1099786969.0,11.0,435.02264671521453
1235.0,170.0,1937097297.0,11.0,182.2174148549626
821.0,430.0,2073655666.0,11.0,441.8874138441163
1233.0,183.0,1181586687.0,11.0,182.2174148549626
1054.0,466.0,1318152158.0,11.0,435.02264671521453
1235.0,170.0,2125830815.0,12.0,182.2174148549626
1056.0,429.0,1183930373.0,9.0,435.02264671521453
1235.0,183.0,1986958604.0,11.0,182.2174148549626
1035.0,491.0,1240494671.0,9.0,435.02264671521453
1257.0,170.0,1416537164.0,10.0,182.2174148549626
1032.0,417.0,1749571667.0,11.0,435.02264671521453
1235.0,145.0,2120588524.0,10.0,182.2174148549626
1056.0,493.0,1123117272.0,12.0,435.02264671521453
1235.0,107.0,1198429435.0,11.0,182.2174148549626
1054.0,417.0,1114724693.0,8.0,435.02264671521453
