,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
1,429.469,52.0,0.0,1.0,375.0,4.0,8.0,10.0,924.0,110.0,91.0,3.0,2092619550.0,0.74,0.0,55.0,0.67,0.0,1800439150.0,1235428171.0,67.0,1.0,691.0,1.0,25.0,1.0,271.0,2.0
2,1025.263,43.0,0.0,0.0,431.0,4.0,10.0,8.0,573.0,59.0,103.0,3.0,1846702027.0,0.81,0.0,981.0,0.89,1.0,1763880880.0,1965213118.0,33.0,0.0,934.0,0.0,30.0,1.0,179.0,5.0
3,1266.588,27.0,0.0,1.0,225.0,5.0,10.0,8.0,408.0,64.0,57.0,4.0,1855667397.0,0.78,0.0,793.0,0.85,1.0,1725347619.0,1402515797.0,50.0,0.0,774.0,1.0,40.0,1.0,201.0,4.0
4,559.71,52.0,0.0,1.0,376.0,4.0,8.0,8.0,877.0,108.0,91.0,4.0,2122759808.0,0.7400000095367432,0.0,58.0,0.6600000262260437,0.0,1813726976.0,1252214528.0,66.0,1.0,704.0,1.0,23.0,1.0,270.0,2.0
5,2675.329,52.0,0.0,1.0,383.0,4.0,8.0,8.0,877.0,112.0,92.0,4.0,2117626880.0,0.75,0.0,41.0,0.6700000166893005,0.0,1822685696.0,1166581504.0,71.0,1.0,706.0,1.0,23.0,1.0,273.0,2.0
6,258.666,52.0,0.0,1.0,379.0,4.0,7.0,8.0,791.0,96.0,93.0,4.0,1854500352.0,0.7300000190734863,0.0,69.0,0.6800000071525574,0.0,1754293632.0,1408794752.0,60.0,1.0,684.0,1.0,24.0,1.0,272.0,2.0
7,567.86,53.0,0.0,1.0,374.0,4.0,7.0,7.0,786.0,99.0,93.0,4.0,1846247936.0,0.7400000095367432,0.0,66.0,0.6700000166893005,0.0,1765145856.0,1413669120.0,60.0,1.0,677.0,1.0,25.0,1.0,278.0,2.0
8,343.802,51.0,0.0,1.0,372.0,4.0,7.0,7.0,777.0,100.0,94.0,4.0,1847043840.0,0.7200000286102295,0.0,86.0,0.6700000166893005,0.0,1765570304.0,1409865856.0,61.0,1.0,680.0,1.0,26.0,1.0,279.0,2.0
9,1011.79,50.0,0.0,1.0,363.0,3.0,7.0,7.0,736.0,89.0,88.0,5.0,1765745408.0,0.7200000286102295,0.0,86.0,0.6499999761581421,0.0,1723671808.0,1533608704.0,57.0,1.0,714.0,1.0,29.0,1.0,269.0,2.0
10,358.172,44.0,1.0,0.0,209.0,4.0,12.0,11.0,1747.0,88.0,99.0,3.0,1702704391.0,0.57,0.0,855.0,0.77,0.0,1343244898.0,1782200054.0,56.0,0.0,975.0,0.0,24.0,2.0,253.0,6.0
