spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
32.0,1.0,0.0,430.0,5.0,10.0,8.0,531.0,46.0,125.0,2.0,1107508600.0,0.59,1.0,226.0,0.71,0.0,1110015500.0,1492187100.0,65.0,1.0,691.0,1.0,25.0,1.0,350.0,6.0,10.017,0.07,1.0,0.213,66.757
32.0,1.0,0.0,436.0,5.0,10.0,8.0,512.0,45.0,126.0,2.0,1115415800.0,0.6,1.0,200.0,0.73,0.0,1084533000.0,1523948000.0,65.0,1.0,677.0,1.0,24.0,1.0,350.0,6.0,12.104,0.069,1.0,0.257,56.025
32.0,1.0,0.0,431.0,5.0,10.0,8.0,539.0,46.0,123.0,2.0,1101184900.0,0.59,1.0,214.0,0.72,0.0,1114479400.0,1520780400.0,66.0,1.0,693.0,1.0,25.0,1.0,350.0,6.0,7.924,0.068,0.999,0.266,55.283
32.0,1.0,0.0,433.0,5.0,10.0,8.0,541.0,47.0,126.0,2.0,1110227700.0,0.6,1.0,247.0,0.73,0.0,1124457700.0,1475965200.0,65.0,1.0,680.0,1.0,25.0,1.0,350.0,6.0,14.071,0.075,1.0,0.244,54.346
32.0,1.0,0.0,431.0,5.0,10.0,8.0,530.0,47.0,123.0,2.0,1150482600.0,0.6,1.0,241.0,0.72,0.0,1091912600.0,1495841000.0,64.0,1.0,681.0,1.0,25.0,1.0,350.0,6.0,12.063,0.073,1.0,0.252,54.095
32.0,1.0,0.0,421.0,5.0,10.0,8.0,538.0,46.0,124.0,2.0,1132761600.0,0.59,1.0,256.0,0.72,0.0,1106284400.0,1486200000.0,65.0,1.0,686.0,1.0,25.0,1.0,350.0,6.0,9.992,0.076,1.0,0.246,53.459
32.0,1.0,0.0,432.0,5.0,10.0,8.0,518.0,46.0,123.0,2.0,1127222700.0,0.59,1.0,235.0,0.72,0.0,1133560300.0,1471870700.0,64.0,1.0,685.0,1.0,25.0,1.0,350.0,6.0,14.159,0.074,1.0,0.276,49.205
32.0,1.0,0.0,431.0,5.0,10.0,8.0,537.0,46.0,123.0,2.0,1154675700.0,0.59,1.0,255.0,0.72,0.0,1134043600.0,1484403000.0,65.0,1.0,687.0,1.0,25.0,1.0,350.0,6.0,14.039,0.077,0.999,0.274,47.283
32.0,1.0,0.0,434.0,5.0,10.0,8.0,530.0,47.0,125.0,2.0,1107745800.0,0.59,1.0,256.0,0.72,0.0,1109776100.0,1445864600.0,66.0,1.0,684.0,1.0,25.0,1.0,350.0,6.0,12.02,0.078,0.999,0.281,45.726
32.0,1.0,0.0,435.0,5.0,10.0,8.0,522.0,45.0,123.0,2.0,1146988400.0,0.6,1.0,227.0,0.73,0.0,1095429900.0,1493086200.0,66.0,1.0,678.0,1.0,25.0,1.0,350.0,6.0,12.181,0.071,1.0,0.309,45.462
