spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,range,dissimilarity_value,cos_distance,Euclidean_distance,distance
45.0,1.0,0.0,449.0,4.0,8.0,5.0,403.0,41.0,49.0,6.0,1209903700.0,0.65,1.0,912.0,0.79,0.0,2112099200.0,1393381900.0,61.0,1.0,948.0,1.0,16.0,5.0,159.0,2.0,4.139,0.004,0.999,0.211,1174.159
45.0,1.0,0.0,458.0,4.0,8.0,5.0,415.0,41.0,49.0,6.0,1219520400.0,0.64,1.0,898.0,0.81,0.0,2147483600.0,1392659100.0,63.0,1.0,937.0,1.0,16.0,5.0,161.0,2.0,2.293,0.004,0.999,0.223,1053.838
45.0,1.0,0.0,460.0,4.0,8.0,5.0,395.0,40.0,49.0,6.0,1194801000.0,0.65,1.0,919.0,0.8,0.0,2118360600.0,1361607000.0,62.0,1.0,941.0,1.0,16.0,5.0,157.0,2.0,6.496,0.006,0.998,0.284,612.119
45.0,1.0,0.0,451.0,4.0,8.0,5.0,410.0,43.0,48.0,6.0,1199460400.0,0.64,1.0,877.0,0.8,0.0,2077881000.0,1365512200.0,62.0,1.0,945.0,1.0,16.0,5.0,155.0,2.0,2.323,0.009,0.998,0.255,458.732
46.0,1.0,0.0,455.0,4.0,8.0,5.0,387.0,43.0,50.0,6.0,1182878700.0,0.64,1.0,910.0,0.8,0.0,2087482900.0,1375985200.0,61.0,1.0,960.0,1.0,16.0,5.0,158.0,2.0,4.216,0.009,0.998,0.254,456.417
45.0,1.0,0.0,456.0,4.0,8.0,5.0,398.0,38.0,49.0,6.0,1209172500.0,0.64,1.0,904.0,0.8,0.0,2107423600.0,1374723500.0,61.0,1.0,937.0,1.0,16.0,5.0,159.0,2.0,6.348,0.007,0.997,0.332,436.425
44.0,1.0,0.0,465.0,4.0,8.0,5.0,403.0,40.0,49.0,6.0,1162809300.0,0.64,1.0,945.0,0.82,0.0,2139366000.0,1352432400.0,62.0,1.0,943.0,1.0,16.0,5.0,152.0,2.0,6.411,0.009,0.999,0.265,430.459
45.0,1.0,0.0,447.0,4.0,8.0,5.0,392.0,42.0,48.0,6.0,1212345700.0,0.64,1.0,878.0,0.79,0.0,2081850200.0,1391503400.0,61.0,1.0,933.0,1.0,16.0,5.0,159.0,2.0,2.07,0.009,0.998,0.273,415.438
45.0,1.0,0.0,457.0,4.0,8.0,5.0,397.0,39.0,50.0,6.0,1247769200.0,0.64,1.0,916.0,0.82,0.0,2136920800.0,1407992800.0,62.0,1.0,927.0,1.0,16.0,5.0,165.0,2.0,0.091,0.008,0.998,0.306,404.236
45.0,1.0,0.0,445.0,4.0,8.0,5.0,425.0,43.0,47.0,6.0,1176242400.0,0.63,1.0,900.0,0.82,0.0,2147483600.0,1371287600.0,62.0,1.0,962.0,1.0,16.0,5.0,164.0,2.0,2.364,0.01,0.998,0.255,378.975
44.0,1.0,0.0,459.0,4.0,8.0,5.0,399.0,44.0,48.0,6.0,1173071700.0,0.64,1.0,902.0,0.8,0.0,2123019500.0,1387091600.0,63.0,1.0,940.0,1.0,16.0,5.0,162.0,2.0,2.274,0.009,0.997,0.311,369.182
45.0,1.0,0.0,455.0,4.0,8.0,5.0,405.0,38.0,50.0,6.0,1202326100.0,0.65,1.0,948.0,0.79,0.0,2127908000.0,1411792600.0,60.0,1.0,953.0,1.0,16.0,5.0,167.0,2.0,6.128,0.01,0.998,0.28,353.717
45.0,1.0,0.0,446.0,4.0,8.0,5.0,397.0,43.0,49.0,6.0,1192656500.0,0.64,1.0,872.0,0.8,0.0,2108232300.0,1350651000.0,61.0,1.0,951.0,1.0,16.0,5.0,167.0,2.0,2.181,0.009,0.998,0.307,347.186
44.0,1.0,0.0,455.0,4.0,8.0,5.0,399.0,40.0,51.0,6.0,1211123000.0,0.63,1.0,917.0,0.82,0.0,2076259100.0,1372675100.0,64.0,1.0,928.0,1.0,16.0,5.0,159.0,2.0,2.318,0.009,0.997,0.32,341.516
44.0,1.0,0.0,453.0,4.0,8.0,5.0,395.0,38.0,51.0,6.0,1191307300.0,0.64,1.0,928.0,0.8,0.0,2141707900.0,1406553100.0,61.0,1.0,931.0,1.0,16.0,5.0,162.0,2.0,6.347,0.01,0.997,0.301,339.913
44.0,1.0,0.0,445.0,4.0,8.0,5.0,397.0,44.0,49.0,6.0,1207358000.0,0.64,1.0,905.0,0.81,0.0,2080396300.0,1391679600.0,61.0,1.0,922.0,1.0,16.0,5.0,156.0,2.0,0.131,0.009,0.998,0.322,330.824
43.0,1.0,0.0,458.0,4.0,8.0,5.0,411.0,43.0,49.0,6.0,1175332700.0,0.63,1.0,878.0,0.81,0.0,2147483600.0,1375751400.0,63.0,1.0,928.0,1.0,16.0,5.0,163.0,2.0,2.191,0.01,0.997,0.308,326.441
44.0,1.0,0.0,458.0,4.0,8.0,5.0,414.0,41.0,52.0,6.0,1175894100.0,0.62,1.0,928.0,0.82,0.0,2099809800.0,1388277800.0,61.0,1.0,929.0,1.0,16.0,5.0,157.0,2.0,6.391,0.01,0.997,0.308,322.343
45.0,1.0,0.0,447.0,4.0,8.0,5.0,414.0,45.0,49.0,6.0,1178721500.0,0.62,1.0,906.0,0.81,0.0,2098063900.0,1408604200.0,63.0,1.0,947.0,1.0,16.0,5.0,153.0,2.0,0.391,0.011,0.998,0.285,321.377
45.0,1.0,0.0,468.0,4.0,8.0,5.0,389.0,37.0,48.0,6.0,1185189400.0,0.64,1.0,942.0,0.81,0.0,2147483600.0,1402522800.0,63.0,1.0,950.0,1.0,16.0,5.0,158.0,2.0,6.685,0.01,0.999,0.311,319.521
45.0,1.0,0.0,456.0,4.0,8.0,5.0,389.0,39.0,47.0,6.0,1188790100.0,0.63,1.0,936.0,0.82,0.0,2136519600.0,1411406700.0,64.0,1.0,961.0,1.0,16.0,5.0,154.0,2.0,4.517,0.01,0.998,0.312,304.784
44.0,1.0,0.0,458.0,4.0,8.0,5.0,386.0,42.0,46.0,6.0,1164614100.0,0.63,1.0,915.0,0.81,0.0,2136439000.0,1341491100.0,62.0,1.0,950.0,1.0,16.0,5.0,150.0,2.0,4.666,0.011,0.998,0.295,299.337
43.0,1.0,0.0,460.0,4.0,8.0,5.0,384.0,37.0,50.0,6.0,1190366300.0,0.64,1.0,945.0,0.8,0.0,2147483600.0,1392482600.0,62.0,1.0,930.0,1.0,16.0,5.0,163.0,2.0,6.387,0.012,0.998,0.276,299.126
45.0,1.0,0.0,460.0,4.0,8.0,5.0,397.0,42.0,50.0,6.0,1155333400.0,0.63,1.0,941.0,0.84,0.0,2147483600.0,1356876900.0,62.0,1.0,945.0,1.0,16.0,5.0,154.0,2.0,6.565,0.01,0.998,0.341,296.851
46.0,1.0,0.0,445.0,4.0,8.0,5.0,422.0,38.0,49.0,6.0,1236525000.0,0.64,1.0,911.0,0.81,0.0,2110806100.0,1402700300.0,61.0,1.0,951.0,1.0,18.0,5.0,161.0,2.0,0.093,0.014,0.999,0.252,291.405
45.0,1.0,0.0,462.0,4.0,8.0,5.0,392.0,41.0,49.0,6.0,1152739300.0,0.63,1.0,960.0,0.84,0.0,2147483600.0,1378697900.0,62.0,1.0,947.0,1.0,16.0,5.0,150.0,2.0,8.898,0.01,0.999,0.346,290.477
44.0,1.0,0.0,448.0,4.0,8.0,5.0,408.0,38.0,49.0,6.0,1236032300.0,0.63,1.0,875.0,0.8,0.0,2090308100.0,1389860900.0,61.0,1.0,916.0,1.0,16.0,5.0,160.0,2.0,0.036,0.011,0.998,0.314,286.805
45.0,1.0,0.0,450.0,4.0,8.0,5.0,428.0,37.0,51.0,6.0,1193593700.0,0.63,1.0,889.0,0.82,0.0,2099333000.0,1373891600.0,61.0,1.0,947.0,1.0,16.0,5.0,161.0,2.0,0.063,0.012,0.998,0.297,278.071
46.0,1.0,0.0,466.0,4.0,8.0,5.0,384.0,41.0,50.0,6.0,1159637800.0,0.65,1.0,925.0,0.8,0.0,2147483600.0,1407499300.0,63.0,1.0,959.0,1.0,16.0,5.0,163.0,2.0,8.887,0.009,0.996,0.393,276.106
45.0,1.0,0.0,455.0,4.0,8.0,5.0,410.0,43.0,48.0,6.0,1140527100.0,0.63,1.0,913.0,0.82,0.0,2134260500.0,1324704900.0,62.0,1.0,963.0,1.0,16.0,5.0,152.0,2.0,4.827,0.01,0.998,0.365,273.45
46.0,1.0,0.0,443.0,4.0,8.0,5.0,430.0,44.0,51.0,6.0,1165587500.0,0.64,1.0,917.0,0.81,0.0,2132000800.0,1405280400.0,62.0,1.0,965.0,1.0,16.0,5.0,168.0,2.0,0.021,0.012,0.998,0.303,266.667
45.0,1.0,0.0,449.0,4.0,8.0,5.0,433.0,40.0,49.0,6.0,1230344400.0,0.64,1.0,880.0,0.8,0.0,2147483600.0,1378632400.0,62.0,1.0,938.0,1.0,16.0,5.0,173.0,2.0,2.294,0.011,0.997,0.343,265.92
45.0,1.0,0.0,462.0,4.0,8.0,5.0,392.0,44.0,49.0,6.0,1142980900.0,0.65,1.0,941.0,0.82,0.0,2147483600.0,1380870300.0,63.0,1.0,951.0,1.0,16.0,5.0,162.0,2.0,4.865,0.01,0.997,0.384,264.897
45.0,1.0,0.0,459.0,4.0,8.0,5.0,384.0,39.0,46.0,6.0,1221723000.0,0.65,1.0,889.0,0.81,0.0,2147483600.0,1361920800.0,63.0,1.0,945.0,1.0,16.0,5.0,163.0,2.0,6.71,0.011,0.997,0.343,262.778
45.0,1.0,0.0,451.0,4.0,8.0,5.0,392.0,44.0,48.0,6.0,1213320600.0,0.65,1.0,905.0,0.8,0.0,2147085200.0,1401527300.0,62.0,1.0,936.0,1.0,16.0,5.0,171.0,2.0,4.266,0.01,0.996,0.371,257.571
44.0,1.0,0.0,462.0,4.0,8.0,5.0,403.0,44.0,53.0,6.0,1188148400.0,0.62,1.0,894.0,0.81,0.0,2096958000.0,1357057900.0,62.0,1.0,914.0,1.0,16.0,5.0,162.0,2.0,4.256,0.013,0.997,0.299,255.574
