spark.memory.storageFraction,spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.memory.fraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.executor.memoryOverhead,range,dissimilarity_value
0.6,4.0,3.0,8.0,0.64,36.0,1620121300.0,388.0,61.0,608.0,0.0,0.26616721954722516
0.61,4.0,3.0,8.0,0.67,36.0,1632631600.0,385.0,61.0,615.0,0.0,0.3441326791601135
0.58,4.0,3.0,8.0,0.64,37.0,1621932300.0,398.0,63.0,606.0,0.0,0.16269348173873474
0.58,4.0,3.0,8.0,0.65,37.0,1624366000.0,394.0,60.0,611.0,0.0,0.21981754831589184
0.56,4.0,3.0,8.0,0.64,36.0,1618248600.0,398.0,61.0,610.0,0.0,0.1850005230306753
0.58,4.0,3.0,8.0,0.66,35.0,1627851400.0,382.0,60.0,612.0,0.0,0.31964350557233995
0.61,4.0,3.0,8.0,0.64,36.0,1648984400.0,397.0,63.0,618.0,0.0,0.2517944600163545
0.58,4.0,3.0,8.0,0.65,36.0,1633501400.0,398.0,62.0,614.0,0.0,0.22050135857774159
0.62,4.0,3.0,8.0,0.66,37.0,1603617300.0,382.0,59.0,610.0,0.0,0.367936062905834
0.62,4.0,3.0,8.0,0.63,36.0,1614305700.0,383.0,62.0,615.0,0.0,0.30036364370532703
0.57,4.0,3.0,8.0,0.65,37.0,1633502000.0,405.0,63.0,614.0,0.0,0.17694301636400753
0.56,4.0,3.0,8.0,0.66,36.0,1639671000.0,397.0,63.0,610.0,0.0,0.17038075994397867
0.56,4.0,3.0,8.0,0.65,35.0,1633460500.0,391.0,61.0,618.0,0.0,0.23431276125745662
0.59,4.0,3.0,8.0,0.64,37.0,1613355600.0,390.0,63.0,610.0,0.0,0.19185534075609104
0.61,4.0,3.0,8.0,0.64,35.0,1615975000.0,376.0,62.0,606.0,0.0,0.33287547718867366
0.6,4.0,3.0,8.0,0.63,36.0,1603899100.0,384.0,62.0,608.0,0.0,0.2549296878377225
0.6,4.0,3.0,8.0,0.65,37.0,1603643300.0,382.0,59.0,607.0,0.0,0.31266657070839143
0.59,4.0,3.0,8.0,0.65,37.0,1621834800.0,396.0,63.0,609.0,0.0,0.19078584560210446
0.57,4.0,3.0,8.0,0.65,36.0,1613164300.0,387.0,61.0,606.0,0.0,0.2355004282288722
0.56,4.0,3.0,8.0,0.65,36.0,1625509600.0,389.0,62.0,600.0,0.0,0.1985239439871861
0.57,4.0,3.0,8.0,0.65,37.0,1625839900.0,397.0,62.0,607.0,0.0,0.16852367885505473
0.57,4.0,3.0,8.0,0.65,36.0,1637319000.0,399.0,62.0,607.0,0.0,0.19361316215882585
0.6,4.0,3.0,8.0,0.64,37.0,1632524000.0,401.0,64.0,615.0,0.0,0.19440379389695853
0.57,4.0,3.0,8.0,0.65,37.0,1613673200.0,392.0,63.0,600.0,0.0,0.17460398218050077
0.62,4.0,3.0,8.0,0.65,36.0,1602244100.0,378.0,59.0,615.0,0.0,0.39827772894995567
0.58,4.0,3.0,8.0,0.64,36.0,1604982700.0,380.0,61.0,604.0,0.0,0.2644960833210784
0.6,4.0,3.0,8.0,0.64,37.0,1624435000.0,397.0,63.0,612.0,0.0,0.1996609330094911
0.59,4.0,3.0,8.0,0.65,36.0,1618880100.0,391.0,61.0,612.0,0.0,0.2629131960972491
0.58,4.0,3.0,8.0,0.64,36.0,1612584200.0,389.0,62.0,607.0,0.0,0.21675647556180583
0.61,4.0,3.0,8.0,0.64,37.0,1633413600.0,396.0,61.0,618.0,0.0,0.2511589862243123
0.6,4.0,3.0,8.0,0.64,36.0,1634364900.0,397.0,64.0,613.0,0.0,0.2068920521571056
0.61,4.0,3.0,8.0,0.65,37.0,1615222300.0,390.0,59.0,614.0,0.0,0.31244327231152635
0.58,4.0,3.0,8.0,0.65,35.0,1636372000.0,389.0,61.0,614.0,0.0,0.26875728011607747
0.6,4.0,3.0,8.0,0.67,37.0,1619603200.0,388.0,59.0,611.0,0.0,0.32277873267867896
0.62,4.0,3.0,8.0,0.65,36.0,1606531200.0,372.0,58.0,616.0,0.0,0.42788236552815645
0.64,4.0,3.0,8.0,0.63,36.0,1621648300.0,380.0,62.0,616.0,0.0,0.3428610815628821
0.57,4.0,3.0,8.0,0.65,35.0,1609642400.0,380.0,61.0,603.0,0.0,0.2873311087583793
0.59,4.0,3.0,8.0,0.66,37.0,1617253000.0,389.0,62.0,604.0,0.0,0.24243028651802104
0.6,4.0,3.0,8.0,0.66,37.0,1627203500.0,392.0,59.0,616.0,0.0,0.3003676427911033
0.6,4.0,3.0,8.0,0.64,36.0,1624443600.0,392.0,62.0,608.0,0.0,0.23801996528756117
