,target,spark.default.parallelism,spark.executor.cores,spark.executor.instances
1,209.646,308.0,3.0,6.0
2,300.603,358.0,1.0,8.0
3,210.803,360.0,2.0,8.0
4,207.942,342.0,2.0,8.0
5,220.532,346.0,2.0,8.0
6,216.546,339.0,2.0,8.0
7,463.057,281.0,1.0,5.0
8,261.291,378.0,3.0,4.0
9,217.651,415.0,2.0,8.0
10,218.302,340.0,2.0,8.0
11,211.907,344.0,2.0,8.0
12,215.583,341.0,2.0,8.0
13,458.204,441.0,1.0,5.0
14,355.582,431.0,1.0,7.0
15,238.41,267.0,2.0,7.0
16,202.15,335.0,2.0,8.0
17,213.448,348.0,2.0,8.0
18,218.702,333.0,2.0,8.0
19,249.5,437.0,3.0,4.0
20,210.039,425.0,3.0,6.0
21,382.999,444.0,1.0,6.0
22,212.629,330.0,2.0,8.0
23,216.353,333.0,2.0,8.0
24,214.035,336.0,2.0,8.0
25,515.218,357.0,1.0,4.0
26,299.594,355.0,2.0,5.0
27,332.861,494.0,2.0,4.0
28,232.895,422.0,3.0,6.0
29,224.474,423.0,3.0,6.0
30,211.437,423.0,3.0,6.0
31,239.92143000000016,274.83980140433425,2.4427975297555853,7.017865030752074
32,375.59742999999986,379.38240570002705,1.2697670600298694,7.058365924525123
33,297.09091999999987,443.53677493091465,3.7895533004251187,5.403342205755328
34,235.33760999999976,326.0080096563102,2.4563103329341622,7.0779025981354495
35,242.77659999999997,285.1219631290355,2.40268917472412,7.150825298279992
36,235.33760999999976,328.38016390834855,2.477496611075221,7.136043823955129
37,236.15840999999992,291.2519030974987,2.3222335717259766,6.943274587902382
38,292.18137057142843,256.7833532402316,1.8795107133173734,4.760536711001487
39,245.66714999999996,298.7061487140347,2.283030581546464,7.186828500207218
40,239.57380999999978,304.8443911431873,2.3764262590716756,7.119136498624327
41,282.96462999999983,476.28144304830164,2.787494330500481,5.579107089811977
42,275.59240273809536,318.98633334760166,3.2967033064810876,4.215740502178182
43,247.7125299999998,302.2247717664737,2.299461469162858,7.048708934414978
44,247.7125299999998,302.2338522301222,2.2557147254291725,7.1202869071591035
45,268.0809749999997,366.5943515949409,2.961607565629231,7.104602235075667
