spark.broadcast.blockSize,spark.broadcast.compress,spark.shuffle.io.numConnectionsPerPeer,spark.executor.instances,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.kryoserializer.buffer,spark.default.parallelism,spark.scheduler.revive.interval,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.offHeap.size,spark.executor.memoryOverhead,spark.shuffle.sort.bypassMergeThreshold,spark.executor.memory,spark.reducer.maxBlocksInFlightPerAddress,spark.memory.storageFraction,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.offHeap.enabled,spark.scheduler.mode,spark.broadcast.checksum,spark.shuffle.file.buffer,spark.executor.cores,spark.storage.memoryMapThreshold,spark.rdd.compress,spark.shuffle.compress,runtime
57.0,0.0,1.0,4.0,1911636299.0,63.0,122.0,357.0,776.0,33.0,0.6460317460317461,616.0,384.0,274.0,3.0,2124065958.0,0.5952380952380952,5.0,1672891559.0,1.0,0.0,1.0,29.0,1.0,2.0,0.0,0.0,261.291
57.0,0.0,3.0,4.0,1391016049.0,64.0,58.0,431.0,966.0,46.0,0.5253968253968254,448.0,384.0,206.0,3.0,1892423136.0,0.753968253968254,7.0,1535308075.0,0.0,0.0,0.0,33.0,2.0,2.0,0.0,0.0,261.291
49.0,1.0,5.0,8.0,1699676336.0,29.0,49.0,333.0,908.0,41.0,0.6777777777777778,1.0,779.0,274.0,7.0,1696880630.0,0.607936507936508,4.0,1334243553.0,0.0,0.0,1.0,25.0,2.0,2.0,0.0,0.0,253.43033333333332
44.0,0.0,5.0,7.0,1129973190.0,54.0,71.0,336.0,792.0,39.0,0.6587301587301587,64.0,475.0,239.0,5.0,1789089920.0,0.6396825396825396,6.0,1582286975.0,0.0,0.0,1.0,18.0,2.0,2.0,0.0,0.0,253.43033333333332
44.0,1.0,5.0,7.0,1833402559.0,53.0,49.0,336.0,792.0,34.0,0.6587301587301587,68.0,471.0,239.0,5.0,2057525376.0,0.6396825396825396,6.0,1582041087.0,0.0,0.0,1.0,18.0,2.0,2.0,0.0,0.0,253.43033333333332
49.0,1.0,3.0,6.0,1464994244.0,40.0,46.0,336.0,792.0,40.0,0.6587301587301587,68.0,392.0,225.0,6.0,1642019089.0,0.7603174603174603,5.0,1586338566.0,0.0,0.0,1.0,41.0,2.0,2.0,0.0,0.0,253.43033333333332
48.0,1.0,3.0,5.0,1464994278.0,64.0,46.0,336.0,792.0,40.0,0.6587301587301587,0.0,392.0,227.0,6.0,1642019089.0,0.7603174603174603,5.0,1582285951.0,0.0,0.0,1.0,17.0,2.0,2.0,0.0,0.0,253.43033333333332
40.0,1.0,3.0,5.0,1117995154.0,25.0,72.0,345.0,766.0,39.0,0.6587301587301587,1.0,747.0,226.0,5.0,1855628495.0,0.5952380952380952,5.0,1674561641.0,0.0,0.0,1.0,17.0,2.0,2.0,0.0,0.0,253.43033333333332
50.0,0.0,2.0,7.0,1204420754.0,25.0,72.0,345.0,766.0,39.0,0.6841269841269841,1.0,855.0,226.0,5.0,1855627471.0,0.5888888888888889,6.0,1317903178.0,0.0,0.0,0.0,42.0,2.0,2.0,0.0,0.0,253.43033333333332
36.0,1.0,3.0,5.0,1967268035.0,39.0,103.0,268.0,852.0,40.0,0.6841269841269841,84.0,423.0,225.0,6.0,1654271170.0,0.5952380952380952,7.0,1674954737.0,0.0,0.0,0.0,41.0,2.0,4.0,0.0,0.0,253.43033333333332
