spark.shuffle.io.numConnectionsPerPeer,spark.broadcast.compress,spark.broadcast.blockSize,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memory,spark.executor.memoryOverhead,spark.reducer.maxSizeInFlight,spark.reducer.maxReqsInFlight,spark.memory.offHeap.size,spark.executor.cores,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer,spark.executor.instances,spark.scheduler.revive.interval,spark.kryoserializer.buffer.max,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.locality.wait,spark.memory.storageFraction,spark.scheduler.mode,spark.default.parallelism,runtime
4.0,1.0,39.0,1085153271.0,6.0,497.0,53.0,1768916002.0,934.0,3.0,243.0,95.0,6.0,744.0,126.0,1334243553.0,0.7857142857142857,4.0,0.607936507936508,0.0,307.0,210.07462641454555
4.0,0.0,54.0,1818667520.0,5.0,449.0,51.0,1646180096.0,16.0,2.0,217.0,74.0,8.0,771.0,65.0,1621138175.0,0.6460317460317461,5.0,0.626984126984127,1.0,334.0,209.74540310814504
4.0,0.0,57.0,1827248640.0,5.0,396.0,54.0,1658725888.0,2.0,2.0,165.0,74.0,8.0,876.0,64.0,1620198831.0,0.626984126984127,5.0,0.5952380952380952,1.0,341.0,209.60691437192355
4.0,0.0,38.0,1814440449.0,5.0,726.0,57.0,1175082633.0,823.0,2.0,260.0,92.0,8.0,572.0,70.0,1638924287.0,0.626984126984127,5.0,0.626984126984127,1.0,334.0,210.24705720120502
4.0,0.0,38.0,1275569663.0,5.0,449.0,59.0,1681597696.0,541.0,2.0,159.0,44.0,8.0,572.0,61.0,1609695364.0,0.5063492063492063,7.0,0.8873015873015873,1.0,334.0,210.19632504753565
4.0,0.0,38.0,1292346887.0,5.0,460.0,54.0,1657153156.0,10.0,4.0,152.0,74.0,8.0,876.0,92.0,1747820899.0,0.5063492063492063,7.0,0.8873015873015873,1.0,339.0,210.19632504753565
5.0,1.0,48.0,1820245600.0,5.0,478.0,69.0,1111357956.0,10.0,2.0,248.0,121.0,8.0,758.0,61.0,1351408559.0,0.6460317460317461,5.0,0.665079365079365,1.0,316.0,209.75410975978795
4.0,1.0,48.0,1820311135.0,4.0,603.0,56.0,1630151683.0,224.0,3.0,200.0,79.0,8.0,747.0,61.0,1351408559.0,0.6460317460317461,5.0,0.6714285714285715,1.0,316.0,209.74839077143756
4.0,0.0,50.0,1820212744.0,6.0,596.0,29.0,1658234049.0,16.0,4.0,225.0,79.0,8.0,747.0,49.0,1102282911.0,0.6206349206349207,7.0,0.9,0.0,417.0,209.74839077143756
4.0,0.0,39.0,1820212814.0,6.0,596.0,29.0,1658234028.0,8.0,2.0,164.0,72.0,8.0,747.0,66.0,1542823680.0,0.6460317460317461,5.0,0.5634920634920635,1.0,316.0,209.6473478742732
5.0,0.0,53.0,1828132440.0,4.0,572.0,58.0,1937387844.0,74.0,2.0,206.0,98.0,8.0,758.0,65.0,1619034399.0,0.7730158730158729,6.0,0.626984126984127,0.0,332.0,209.72537871834427
4.0,1.0,48.0,1823418250.0,7.0,483.0,63.0,1649277860.0,8.0,2.0,164.0,48.0,8.0,621.0,66.0,1542839171.0,0.6460317460317461,5.0,0.665079365079365,1.0,315.0,210.07485916350433
4.0,1.0,48.0,1832853062.0,5.0,730.0,60.0,1649015716.0,11.0,2.0,164.0,48.0,8.0,621.0,66.0,1542839171.0,0.6460317460317461,5.0,0.665079365079365,1.0,316.0,209.63408913897234
4.0,0.0,34.0,1345795648.0,5.0,446.0,55.0,1178418091.0,72.0,2.0,164.0,48.0,8.0,621.0,66.0,1351123044.0,0.6206349206349207,7.0,0.9,0.0,404.0,210.19632504753565
4.0,0.0,42.0,1819652824.0,4.0,586.0,58.0,1676816659.0,778.0,4.0,192.0,79.0,6.0,505.0,36.0,1747300563.0,0.5444444444444444,5.0,0.665079365079365,1.0,316.0,209.77498918680462
4.0,0.0,35.0,1345795137.0,4.0,493.0,58.0,1743925523.0,266.0,4.0,192.0,79.0,6.0,505.0,35.0,1747300486.0,0.6206349206349207,7.0,0.9,0.0,404.0,210.19632504753565
4.0,0.0,34.0,1283404865.0,4.0,493.0,58.0,1744187685.0,153.0,1.0,159.0,72.0,6.0,876.0,114.0,1534425989.0,0.6460317460317461,5.0,0.665079365079365,1.0,275.0,210.19632504753565
