spark.executor.memoryOverhead,spark.kryoserializer.buffer.max,spark.shuffle.io.numConnectionsPerPeer,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,runtime
396.0,64.0,4.0,5.0,1620198783.0,225.95484989477325
877.0,128.0,2.0,9.0,1582284759.0,241.06179743995895
384.0,34.0,3.0,5.0,1672891559.0,225.95484989477325
877.0,111.0,2.0,7.0,1632354370.0,241.06179743995895
398.0,61.0,4.0,5.0,1636710400.0,225.95484989477325
819.0,95.0,4.0,8.0,1636813950.0,241.06179743995895
473.0,47.0,2.0,10.0,1632550014.0,225.95484989477325
863.0,99.0,4.0,5.0,1636710399.0,241.06179743995895
448.0,62.0,2.0,10.0,2028981291.0,225.95484989477325
788.0,116.0,2.0,10.0,1565472782.0,241.06179743995895
448.0,62.0,2.0,10.0,2028981291.0,225.95484989477325
877.0,126.0,3.0,5.0,1632550014.0,241.06179743995895
448.0,61.0,4.0,5.0,1640922247.0,225.95484989477325
865.0,102.0,3.0,5.0,1670282698.0,241.06179743995895
396.0,58.0,3.0,5.0,1636728274.0,225.95484989477325
869.0,126.0,4.0,5.0,1628364244.0,241.06179743995895
398.0,40.0,3.0,5.0,1687144307.0,225.95484989477325
877.0,99.0,4.0,5.0,1653530059.0,241.06179743995895
407.0,34.0,2.0,10.0,1619970049.0,225.95484989477325
804.0,126.0,2.0,8.0,1628360192.0,241.06179743995895
457.0,40.0,3.0,5.0,1670281077.0,225.95484989477325
788.0,126.0,2.0,5.0,1674561398.0,241.06179743995895
457.0,37.0,4.0,5.0,1670293495.0,225.95484989477325
850.0,126.0,1.0,5.0,1653503865.0,241.06179743995895
457.0,37.0,4.0,10.0,1091467777.0,225.95484989477325
804.0,120.0,3.0,5.0,1674495988.0,241.06179743995895
473.0,34.0,2.0,10.0,1645137403.0,225.95484989477325
804.0,126.0,3.0,5.0,1091554945.0,241.06179743995895
473.0,34.0,1.0,5.0,1636726782.0,225.95484989477325
804.0,126.0,3.0,5.0,1674508277.0,241.06179743995895
