spark.shuffle.io.numConnectionsPerPeer,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer,spark.broadcast.blockSize,spark.executor.instances,runtime
5.0,1458157745.0,58.0,38.0,7.0,239.2371499999999
5.0,1241101457.0,52.0,38.0,7.0,224.08921000000007
4.0,1598451861.0,52.0,33.0,8.0,224.10075
5.0,1902361627.0,46.0,47.0,6.0,224.16930000000008
4.0,1755500201.0,33.0,64.0,8.0,221.39889000000005
4.0,1174525792.0,38.0,38.0,6.0,220.9064400000001
5.0,1248453871.0,39.0,51.0,5.0,220.3281300000001
4.0,1994705287.0,42.0,39.0,8.0,220.02095000000008
4.0,1461998171.0,41.0,51.0,8.0,219.44083000000006
5.0,2132382341.0,40.0,45.0,8.0,219.42929000000012
5.0,1713084211.0,40.0,61.0,5.0,219.42929000000012
4.0,1804196820.0,39.0,45.0,6.0,220.33967000000004
4.0,2100544524.0,41.0,44.0,6.0,219.44083000000006
5.0,1912817503.0,40.0,53.0,6.0,219.42929000000012
5.0,2070467647.0,44.0,46.0,5.0,220.6383100000001
5.0,1347704016.0,44.0,37.0,5.0,220.6383100000001
5.0,2065302464.0,44.0,60.0,7.0,220.6383100000001
5.0,1535210453.0,39.0,45.0,6.0,220.3281300000001
4.0,1538355853.0,42.0,57.0,7.0,220.02095000000008
5.0,1650451364.0,44.0,34.0,4.0,220.6383100000001
4.0,1541224963.0,40.0,57.0,5.0,219.44083000000006
4.0,2071826953.0,40.0,32.0,6.0,219.44083000000006
4.0,1598880126.0,40.0,32.0,6.0,219.44083000000006
5.0,1857772443.0,40.0,34.0,7.0,219.42929000000012
5.0,1318137324.0,40.0,44.0,7.0,219.42929000000012
5.0,1901223016.0,43.0,57.0,4.0,220.61587000000011
5.0,1962954480.0,42.0,41.0,4.0,220.00941000000014
5.0,1235333655.0,40.0,43.0,5.0,219.42929000000012
4.0,1217646669.0,40.0,38.0,7.0,219.44083000000006
4.0,1869845110.0,43.0,40.0,5.0,220.62741000000008
