spark.shuffle.io.numConnectionsPerPeer,spark.broadcast.compress,spark.kryoserializer.buffer,spark.memory.offHeap.size,spark.kryoserializer.buffer.max,spark.executor.instances,spark.broadcast.blockSize,spark.rdd.compress,spark.default.parallelism,spark.scheduler.mode,spark.scheduler.revive.interval,spark.memory.storageFraction,spark.shuffle.file.buffer,spark.reducer.maxReqsInFlight,spark.shuffle.sort.bypassMergeThreshold,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memoryOverhead,spark.locality.wait,spark.memory.fraction,spark.reducer.maxSizeInFlight,spark.executor.cores,spark.storage.memoryMapThreshold,spark.executor.memory,spark.shuffle.compress,runtime
4.0,0.0,76.0,0.0,63.0,8.0,56.0,0.0,340.0,0.0,764.0,0.5952380952380952,21.0,1646034688.0,221.0,1582273151.0,1775949568.0,392.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.35617
3.0,1.0,76.0,0.0,70.0,8.0,55.0,0.0,270.0,1.0,784.0,0.5507936507936508,45.0,1682233105.0,264.0,1620002980.0,1697167256.0,458.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
3.0,1.0,76.0,1.0,64.0,8.0,57.0,0.0,341.0,1.0,775.0,0.6142857142857143,24.0,1655123456.0,225.0,1620002980.0,1697167256.0,458.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
2.0,1.0,76.0,4.0,63.0,8.0,54.0,0.0,339.0,1.0,758.0,0.626984126984127,21.0,1668868992.0,218.0,1611314175.0,1739004166.0,384.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
1.0,0.0,76.0,33.0,62.0,7.0,38.0,0.0,334.0,1.0,771.0,0.626984126984127,24.0,1646147328.0,223.0,1609564293.0,1863329920.0,442.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
4.0,1.0,76.0,17.0,126.0,8.0,54.0,0.0,349.0,1.0,775.0,0.6142857142857143,24.0,1655123456.0,225.0,1620002980.0,1863329920.0,442.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
3.0,1.0,75.0,2.0,58.0,7.0,42.0,0.0,208.0,1.0,841.0,0.626984126984127,24.0,1646147328.0,223.0,1609577472.0,1739044760.0,458.0,5.0,0.665079365079365,52.0,2.0,2.0,5.0,0.0,249.18085
3.0,1.0,75.0,29.0,63.0,8.0,53.0,0.0,339.0,1.0,841.0,0.626984126984127,24.0,1646147328.0,223.0,1609577472.0,1739044760.0,458.0,5.0,0.665079365079365,52.0,2.0,2.0,5.0,0.0,249.18085
2.0,0.0,76.0,17.0,89.0,8.0,38.0,0.0,280.0,1.0,838.0,0.6142857142857143,24.0,1655123456.0,223.0,1609564293.0,1873221760.0,442.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
3.0,1.0,76.0,626.0,56.0,8.0,40.0,0.0,317.0,1.0,838.0,0.6142857142857143,23.0,1646147328.0,223.0,1609566375.0,1697167256.0,442.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
