spark.reducer.maxSizeInFlight,spark.default.parallelism,spark.reducer.maxBlocksInFlightPerAddress,spark.maxRemoteBlockSizeFetchToMem,spark.executor.instances,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer.max,spark.shuffle.file.buffer,spark.executor.memory,spark.executor.memoryOverhead,spark.memory.storageFraction,runtime
53.0,307.0,1085153271.0,1334243553.0,6.0,1768916002.0,126.0,46.0,6.0,497.0,0.607936507936508,212.31433333333334
32.0,305.0,1086201719.0,1200546185.0,6.0,1751893024.0,127.0,46.0,6.0,442.0,0.607936507936508,212.61107692307695
56.0,304.0,1252663284.0,1199759841.0,6.0,1655669866.0,126.0,46.0,6.0,434.0,0.734920634920635,212.5801
54.0,307.0,1445067269.0,1875569861.0,6.0,1723018853.0,120.0,29.0,6.0,497.0,0.6587301587301587,212.5182142857143
52.0,300.0,1084543541.0,1173551347.0,6.0,1922007404.0,128.0,45.0,6.0,442.0,0.6523809523809524,212.5182142857143
54.0,299.0,1118620710.0,2060888769.0,6.0,1718346792.0,124.0,45.0,6.0,443.0,0.5507936507936508,212.5182142857143
52.0,312.0,1375951669.0,1849717211.0,6.0,2005922978.0,126.0,44.0,3.0,627.0,0.6523809523809524,212.5182142857143
45.0,290.0,1317861940.0,2088788850.0,8.0,1871139272.0,124.0,47.0,6.0,439.0,0.5507936507936508,212.61107692307695
24.0,306.0,1310784565.0,1491627849.0,5.0,1856755368.0,113.0,46.0,6.0,442.0,0.5825396825396826,212.61107692307695
51.0,311.0,1139724686.0,1511050453.0,6.0,1790530732.0,119.0,46.0,6.0,443.0,0.5444444444444444,212.61107692307695
35.0,317.0,1119508645.0,2081447768.0,5.0,1756100233.0,124.0,39.0,7.0,438.0,0.6714285714285715,212.61107692307695
54.0,311.0,1117329562.0,1528876463.0,4.0,2028830920.0,119.0,48.0,4.0,627.0,0.5507936507936508,212.5182142857143
53.0,310.0,1150884286.0,1912604740.0,5.0,1789756616.0,119.0,48.0,4.0,504.0,0.5634920634920635,212.31433333333334
53.0,328.0,1393476285.0,1310229356.0,6.0,1757410184.0,124.0,37.0,6.0,407.0,0.6968253968253968,212.31433333333334
40.0,321.0,1152387493.0,1276185820.0,5.0,1788986562.0,120.0,48.0,5.0,504.0,0.5634920634920635,212.61107692307695
44.0,313.0,1149818565.0,1913193187.0,7.0,1787332258.0,116.0,45.0,3.0,424.0,0.6904761904761905,212.61107692307695
54.0,322.0,1124250501.0,1116248178.0,6.0,2103204429.0,124.0,21.0,6.0,407.0,0.6968253968253968,212.5182142857143
52.0,330.0,1184086634.0,2072980820.0,5.0,1803473629.0,127.0,37.0,6.0,408.0,0.6841269841269841,212.5182142857143
26.0,301.0,1091744260.0,1117176771.0,6.0,1753338088.0,120.0,35.0,6.0,407.0,0.6968253968253968,212.61107692307695
33.0,295.0,1093049229.0,1395328924.0,4.0,1795160539.0,115.0,27.0,4.0,535.0,0.9,212.61107692307695
38.0,321.0,1437608417.0,1647251048.0,6.0,1778357850.0,127.0,24.0,6.0,409.0,0.6904761904761905,212.61107692307695
32.0,297.0,1504798447.0,1993820439.0,6.0,1760017927.0,122.0,47.0,3.0,592.0,0.8873015873015873,212.61107692307695
29.0,312.0,1322563957.0,1309609288.0,5.0,1661546899.0,127.0,24.0,6.0,785.0,0.5825396825396826,212.61107692307695
41.0,297.0,1491822287.0,1120274765.0,7.0,1787077232.0,120.0,20.0,5.0,500.0,0.9,212.61107692307695
56.0,298.0,1491823055.0,1112410447.0,7.0,1787200048.0,120.0,28.0,5.0,500.0,0.6968253968253968,212.5801
56.0,298.0,1491823055.0,1649294543.0,7.0,1854308912.0,120.0,28.0,5.0,500.0,0.6968253968253968,212.61107692307695
49.0,322.0,1474394290.0,1570873928.0,7.0,1755227891.0,128.0,46.0,4.0,403.0,0.8809523809523809,212.61107692307695
53.0,316.0,1127359785.0,1523700553.0,7.0,1705755475.0,127.0,23.0,3.0,471.0,0.7920634920634921,212.31433333333334
34.0,306.0,1187625454.0,1078888571.0,6.0,2041590349.0,120.0,23.0,5.0,496.0,0.6968253968253968,212.61107692307695
32.0,306.0,1095815690.0,1573805122.0,7.0,1816119159.0,118.0,22.0,5.0,492.0,0.9,212.61107692307695
