spark.reducer.maxSizeInFlight,spark.default.parallelism,spark.shuffle.file.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.scheduler.revive.interval,spark.executor.memoryOverhead,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.reducer.maxReqsInFlight,spark.broadcast.compress,spark.memory.fraction,spark.shuffle.sort.bypassMergeThreshold,runtime
64.0,415.0,34.0,2100041469.0,1363244891.0,813.0,384.0,107.0,44.0,1628542065.0,0.0,0.6587301587301587,267.0,226.30721198974803
66.0,277.0,31.0,1672890775.0,2123243455.0,748.0,404.0,126.0,39.0,1768916002.0,1.0,0.7857142857142857,243.0,225.34232131554708
61.0,268.0,22.0,1741498961.0,1483894255.0,809.0,415.0,107.0,42.0,1827440905.0,0.0,0.5952380952380952,268.0,226.45547918968043
61.0,260.0,30.0,1674393361.0,1182154101.0,668.0,430.0,107.0,42.0,1693223177.0,0.0,0.5952380952380952,268.0,225.20186626813683
69.0,344.0,42.0,1978474481.0,1316109684.0,660.0,415.0,105.0,42.0,1693223176.0,0.0,0.5952380952380952,268.0,223.869421370771
61.0,294.0,44.0,1892562494.0,1182678388.0,668.0,434.0,107.0,42.0,1693221129.0,0.0,0.5952380952380952,300.0,225.21410480429347
67.0,306.0,22.0,1816779847.0,1133047681.0,660.0,423.0,114.0,39.0,1752139426.0,1.0,0.7730158730158729,243.0,225.589842531674
70.0,427.0,35.0,1718185542.0,1589110247.0,958.0,434.0,107.0,42.0,1688995081.0,0.0,0.6460317460317461,274.0,223.98218636757744
58.0,437.0,19.0,1718169158.0,1312702051.0,684.0,434.0,107.0,42.0,1688995597.0,0.0,0.6460317460317461,274.0,222.19918405791833
67.0,205.0,21.0,1667948267.0,1283334645.0,710.0,400.0,123.0,39.0,1768800546.0,1.0,0.7603174603174603,243.0,225.4370510321796
58.0,202.0,20.0,1720300456.0,1336408293.0,967.0,437.0,109.0,42.0,1769784736.0,1.0,0.8492063492063492,274.0,223.45116452219395
72.0,455.0,25.0,1988734953.0,1336211685.0,967.0,437.0,115.0,42.0,1769784802.0,1.0,0.7603174603174603,217.0,223.9927924464661
58.0,452.0,20.0,2127483505.0,1312760569.0,649.0,696.0,115.0,40.0,1768869917.0,0.0,0.6460317460317461,274.0,225.39222158779097
60.0,340.0,18.0,2129556080.0,1847002105.0,805.0,711.0,126.0,39.0,1634635779.0,0.0,0.6206349206349207,274.0,225.7816754375291
57.0,495.0,18.0,2129556082.0,1310135293.0,680.0,634.0,120.0,37.0,1634635779.0,0.0,0.6206349206349207,274.0,225.1395497665874
58.0,269.0,16.0,2033827842.0,2038330732.0,642.0,402.0,114.0,40.0,1747899422.0,0.0,0.8365079365079365,274.0,225.40282766667963
67.0,440.0,39.0,1951947295.0,1321636828.0,646.0,524.0,105.0,39.0,1701826588.0,0.0,0.6460317460317461,174.0,225.57923645278535
66.0,368.0,43.0,1947752992.0,1859556316.0,716.0,462.0,105.0,39.0,1701828636.0,0.0,0.6460317460317461,174.0,225.48450673615284
58.0,423.0,20.0,2084657032.0,1859556316.0,716.0,462.0,105.0,39.0,1978585435.0,0.0,0.8492063492063492,274.0,225.40282766667963
57.0,388.0,18.0,2051787765.0,1923046125.0,518.0,834.0,124.0,39.0,2037370892.0,1.0,0.8492063492063492,274.0,225.49520862133085
60.0,473.0,20.0,2135530293.0,1654470313.0,705.0,834.0,115.0,39.0,2036846604.0,1.0,0.6460317460317461,274.0,225.40559289181067
60.0,477.0,28.0,2018272556.0,1564346188.0,738.0,588.0,114.0,40.0,1752092716.0,1.0,0.6460317460317461,274.0,225.40559289181067
58.0,435.0,18.0,1776118361.0,1750005943.0,756.0,835.0,111.0,39.0,1773131796.0,1.0,0.8936507936507936,274.0,225.40282766667963
60.0,339.0,24.0,1674111797.0,1791961788.0,709.0,869.0,116.0,40.0,1752077500.0,1.0,0.8238095238095238,174.0,225.40396043454268
58.0,416.0,48.0,1942604534.0,2059887340.0,659.0,496.0,114.0,39.0,1898827788.0,1.0,0.6460317460317461,324.0,225.39222158779097
60.0,500.0,28.0,1833713683.0,2063542958.0,710.0,869.0,126.0,40.0,1752085692.0,1.0,0.8238095238095238,174.0,225.27564600736156
58.0,485.0,20.0,1935537944.0,1311711725.0,738.0,841.0,123.0,40.0,2100155580.0,1.0,0.8238095238095238,271.0,225.26227470334186
66.0,497.0,46.0,1813408119.0,1832667703.0,738.0,780.0,123.0,40.0,2100158140.0,1.0,0.8238095238095238,174.0,225.35455985170373
57.0,333.0,27.0,1885277712.0,1394344429.0,737.0,777.0,114.0,38.0,1774605358.0,1.0,0.6396825396825396,274.0,225.621611940316
67.0,411.0,18.0,1930005214.0,1714291073.0,741.0,452.0,120.0,42.0,1248777389.0,1.0,0.8238095238095238,174.0,222.39680500180137
