spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.file.buffer,spark.default.parallelism,runtime
64.0,923.0,1707870217.0,34.0,267.0,212.16134713747155
30.0,969.0,1629741560.0,43.0,275.0,237.77167481654197
59.0,744.0,1334986179.0,29.0,355.0,212.16134713747155
40.0,750.0,1582267646.0,43.0,354.0,237.77167481654197
61.0,750.0,1638957008.0,21.0,346.0,212.16134713747155
35.0,992.0,1676508138.0,39.0,354.0,237.77167481654197
64.0,771.0,1623949315.0,21.0,346.0,212.16134713747155
35.0,992.0,1582267695.0,26.0,351.0,237.77167481654197
61.0,750.0,1611825174.0,21.0,346.0,212.16134713747155
35.0,750.0,1609399528.0,43.0,354.0,237.77167481654197
61.0,758.0,2099691378.0,21.0,346.0,212.16134713747155
35.0,757.0,1607417080.0,39.0,354.0,237.77167481654197
61.0,744.0,1318223948.0,21.0,346.0,212.16134713747155
32.0,729.0,1582267646.0,43.0,354.0,237.77167481654197
64.0,744.0,1074184294.0,21.0,346.0,212.16134713747155
32.0,760.0,1517108544.0,39.0,354.0,237.77167481654197
64.0,771.0,1611710486.0,21.0,346.0,212.16134713747155
35.0,756.0,2128182431.0,43.0,354.0,237.77167481654197
61.0,759.0,1628618704.0,21.0,346.0,212.16134713747155
35.0,757.0,1373207856.0,43.0,354.0,237.77167481654197
64.0,771.0,1091747904.0,21.0,346.0,212.16134713747155
35.0,855.0,1517124878.0,39.0,354.0,237.77167481654197
61.0,775.0,1077051525.0,21.0,346.0,212.16134713747155
32.0,730.0,1324956987.0,47.0,354.0,237.77167481654197
64.0,771.0,1823915986.0,21.0,346.0,212.16134713747155
35.0,729.0,2143911065.0,43.0,354.0,237.77167481654197
64.0,767.0,2041757568.0,21.0,346.0,212.16134713747155
32.0,730.0,2129476732.0,43.0,354.0,237.77167481654197
61.0,747.0,2031255457.0,21.0,346.0,212.16134713747155
32.0,730.0,2119138463.0,43.0,354.0,237.77167481654197
