spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.default.parallelism,spark.executor.instances,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.reducer.maxReqsInFlight,spark.shuffle.io.numConnectionsPerPeer,spark.broadcast.blockSize,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.scheduler.revive.interval,spark.locality.wait,spark.memory.storageFraction,spark.executor.memory,spark.memory.offHeap.size,runtime
69.0,27.0,360.0,8.0,1439489438.0,1364761151.0,445.0,92.0,1141528201.0,4.0,48.0,161.0,117.0,0.7095238095238096,594.0,5.0,0.8682539682539683,4.0,535.0,233.81199999999998
66.0,26.0,348.0,7.0,1704759623.0,1739004160.0,430.0,74.0,1668869004.0,4.0,56.0,228.0,70.0,0.665079365079365,784.0,5.0,0.626984126984127,5.0,1.0,229.30648999999994
58.0,30.0,336.0,8.0,1589854340.0,1749609989.0,485.0,70.0,1681813248.0,3.0,58.0,212.0,64.0,0.626984126984127,766.0,5.0,0.5317460317460317,5.0,0.0,229.88597999999993
58.0,30.0,277.0,4.0,1796353774.0,1815693409.0,485.0,70.0,1681813248.0,3.0,50.0,212.0,58.0,0.626984126984127,516.0,5.0,0.5317460317460317,5.0,0.0,229.88597999999993
58.0,20.0,336.0,7.0,1606631240.0,1229497989.0,459.0,74.0,1648998208.0,5.0,39.0,222.0,49.0,0.5380952380952381,527.0,7.0,0.7158730158730159,5.0,2.0,230.06076000000002
64.0,20.0,298.0,7.0,1606665032.0,1097508481.0,459.0,74.0,1648965439.0,5.0,39.0,222.0,49.0,0.5380952380952381,527.0,7.0,0.7158730158730159,5.0,2.0,229.76417999999998
64.0,30.0,386.0,6.0,1472414436.0,1093379721.0,459.0,74.0,1648965439.0,5.0,39.0,222.0,49.0,0.5380952380952381,510.0,7.0,0.8365079365079365,7.0,0.0,230.35308
64.0,28.0,208.0,6.0,1687456943.0,1787978065.0,397.0,46.0,1668336578.0,2.0,52.0,222.0,80.0,0.6396825396825396,809.0,4.0,0.7158730158730159,5.0,16.0,233.40276999999998
70.0,28.0,208.0,7.0,1150586159.0,2022859088.0,397.0,46.0,1668336578.0,2.0,52.0,222.0,80.0,0.6396825396825396,778.0,5.0,0.7158730158730159,5.0,527.0,232.99964999999997
64.0,18.0,235.0,6.0,2057733104.0,1544095934.0,457.0,58.0,1681829908.0,4.0,51.0,239.0,65.0,0.626984126984127,723.0,4.0,0.7158730158730159,5.0,13.0,232.87276999999997
