spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.default.parallelism,spark.reducer.maxReqsInFlight,spark.memory.offHeap.size,spark.broadcast.blockSize,spark.kryoserializer.buffer.max,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.executor.instances,spark.shuffle.sort.bypassMergeThreshold,spark.scheduler.revive.interval,spark.memory.fraction,spark.memory.storageFraction,spark.locality.wait,spark.rdd.compress,spark.scheduler.mode,spark.broadcast.checksum,spark.broadcast.compress,spark.shuffle.io.numConnectionsPerPeer,spark.storage.memoryMapThreshold,spark.memory.offHeap.enabled,spark.executor.cores,spark.executor.memory,spark.shuffle.compress,runtime
64.0,36.0,1535308075.0,431.0,1458157745.0,0.0,38.0,46.0,1925973984.0,384.0,58.0,7.0,206.0,903.0,0.5380952380952381,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,3.0,1.0,218.76277
64.0,33.0,1306648712.0,404.0,1242838785.0,8.0,39.0,80.0,1965315584.0,781.0,73.0,6.0,267.0,538.0,0.7222222222222222,0.9,7.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,3.0,7.0,1.0,218.68094
70.0,17.0,1172430914.0,404.0,1242838534.0,1.0,38.0,59.0,1818514948.0,781.0,61.0,6.0,267.0,538.0,0.7222222222222222,0.9,7.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,3.0,7.0,1.0,218.68094
67.0,23.0,1356914710.0,366.0,1211414022.0,1.0,38.0,66.0,1818633734.0,781.0,61.0,6.0,267.0,538.0,0.7222222222222222,0.9,7.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,3.0,7.0,1.0,218.68094
59.0,21.0,1803827191.0,492.0,1210682902.0,1.0,38.0,59.0,1826899461.0,780.0,61.0,6.0,273.0,538.0,0.7222222222222222,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.65262
57.0,22.0,1804326097.0,225.0,2057025288.0,50.0,55.0,78.0,1816920929.0,631.0,70.0,6.0,268.0,534.0,0.7222222222222222,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.65262
54.0,29.0,1258685217.0,457.0,1115895322.0,410.0,58.0,66.0,1818506752.0,655.0,73.0,6.0,254.0,538.0,0.7222222222222222,0.9,7.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,3.0,7.0,1.0,218.38754
58.0,29.0,1493568225.0,457.0,1250145850.0,410.0,56.0,66.0,1818505764.0,631.0,76.0,6.0,268.0,536.0,0.7222222222222222,0.9,7.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,3.0,7.0,1.0,218.38754
67.0,47.0,1277430585.0,430.0,1115895578.0,475.0,58.0,66.0,1420846687.0,564.0,60.0,5.0,268.0,534.0,0.7476190476190476,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.3584
70.0,35.0,1545865981.0,432.0,1115895642.0,475.0,59.0,67.0,1678641013.0,642.0,60.0,5.0,268.0,534.0,0.7476190476190476,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.3584
67.0,20.0,1503333096.0,304.0,1317091162.0,465.0,58.0,63.0,1826489189.0,392.0,49.0,6.0,273.0,914.0,0.7222222222222222,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.3584
32.0,42.0,2132165219.0,306.0,1317737770.0,472.0,45.0,108.0,1759875685.0,639.0,37.0,6.0,270.0,538.0,0.7222222222222222,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,218.3584
39.0,35.0,1543834361.0,467.0,1919129202.0,474.0,45.0,63.0,1818240803.0,534.0,60.0,5.0,268.0,534.0,0.7476190476190476,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,218.3584
67.0,43.0,1372696347.0,415.0,2087793887.0,478.0,63.0,64.0,1678247779.0,522.0,59.0,6.0,265.0,534.0,0.7222222222222222,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.3584
62.0,27.0,1116343920.0,208.0,1854609388.0,464.0,58.0,77.0,1819214837.0,471.0,79.0,7.0,214.0,597.0,0.7476190476190476,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.3584
54.0,37.0,1134672700.0,373.0,1484094203.0,478.0,63.0,40.0,1679296381.0,642.0,60.0,6.0,265.0,534.0,0.7222222222222222,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.3584
29.0,37.0,1230229451.0,359.0,1572382965.0,478.0,56.0,64.0,1821003301.0,521.0,127.0,5.0,318.0,534.0,0.7222222222222222,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,218.3584
41.0,42.0,1628515828.0,205.0,1854480348.0,496.0,58.0,101.0,1835992675.0,552.0,114.0,5.0,273.0,550.0,0.8428571428571429,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,218.3584
37.0,40.0,1184509526.0,205.0,1854906308.0,479.0,54.0,58.0,1680410619.0,521.0,109.0,6.0,273.0,538.0,0.7476190476190476,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.3584
72.0,43.0,1641517001.0,448.0,1438202224.0,501.0,62.0,125.0,1921519401.0,659.0,61.0,6.0,316.0,534.0,0.7222222222222222,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,213.56497
57.0,46.0,1289408854.0,410.0,1499146454.0,469.0,58.0,101.0,1298858722.0,514.0,58.0,6.0,273.0,538.0,0.7476190476190476,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,218.3584
45.0,21.0,1557846294.0,410.0,1499080918.0,501.0,58.0,104.0,1298858722.0,514.0,58.0,6.0,273.0,538.0,0.7476190476190476,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,213.56497
59.0,40.0,1323291471.0,415.0,2021271766.0,502.0,58.0,104.0,1299120866.0,514.0,58.0,6.0,272.0,534.0,0.7476190476190476,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,213.56497
37.0,30.0,1083890584.0,490.0,2021263510.0,501.0,58.0,100.0,1730217701.0,522.0,82.0,8.0,167.0,534.0,0.7222222222222222,0.8238095238095238,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,213.56497
46.0,17.0,1228886949.0,396.0,2021263510.0,501.0,59.0,101.0,1308242542.0,512.0,91.0,6.0,192.0,534.0,0.7095238095238096,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,213.56497
70.0,30.0,1421540455.0,485.0,2019174550.0,501.0,54.0,101.0,1730348772.0,553.0,82.0,8.0,155.0,532.0,0.7222222222222222,0.8174603174603174,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,213.56497
37.0,16.0,1132123004.0,415.0,1945767382.0,501.0,57.0,128.0,1227575980.0,389.0,85.0,6.0,167.0,534.0,0.7095238095238096,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,213.56497
36.0,48.0,1766464805.0,373.0,1483536626.0,501.0,50.0,95.0,1303085632.0,575.0,58.0,6.0,273.0,534.0,0.7222222222222222,0.8238095238095238,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,213.56497
69.0,41.0,1562678071.0,475.0,1416654580.0,502.0,58.0,84.0,1427408612.0,553.0,89.0,6.0,273.0,534.0,0.7222222222222222,0.8238095238095238,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,1.0,213.56497
43.0,44.0,1292549574.0,382.0,1350322385.0,501.0,51.0,95.0,1303281760.0,575.0,71.0,8.0,155.0,538.0,0.7476190476190476,0.9,7.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,7.0,0.0,213.56497
