spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.memory.fraction,spark.executor.memoryOverhead,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.kryoserializer.buffer,spark.executor.instances,spark.shuffle.io.numConnectionsPerPeer,spark.memory.offHeap.size,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer.max,spark.reducer.maxReqsInFlight,runtime
1559216093.0,1625752830.0,0.7095238095238096,384.0,280.0,61.0,74.0,5.0,2.0,777.0,188.0,32.0,1917350354.0,211.84982352941174
1450109087.0,1923303552.0,0.6587301587301587,475.0,298.0,52.0,74.0,8.0,4.0,512.0,343.0,65.0,1629108544.0,211.28212499999998
1598957695.0,1889949834.0,0.6841269841269841,428.0,298.0,54.0,74.0,8.0,4.0,512.0,343.0,65.0,1629108544.0,211.15625
1296966024.0,1895225354.0,0.6841269841269841,421.0,336.0,54.0,74.0,8.0,4.0,512.0,293.0,65.0,1629108297.0,211.15625
1119240706.0,1860471083.0,0.8746031746031746,477.0,451.0,52.0,74.0,8.0,2.0,512.0,341.0,68.0,1796881197.0,211.15625
1454532232.0,1952809258.0,0.8873015873015873,425.0,450.0,52.0,74.0,8.0,4.0,546.0,345.0,108.0,1710555977.0,211.15625
1452467791.0,1885798666.0,0.6841269841269841,425.0,451.0,52.0,74.0,6.0,4.0,512.0,265.0,65.0,1802830657.0,211.15625
1587676850.0,2026820901.0,0.8873015873015873,401.0,460.0,39.0,74.0,8.0,4.0,547.0,348.0,120.0,1964662424.0,211.15625
1567105644.0,1992233112.0,0.6968253968253968,384.0,455.0,52.0,74.0,6.0,2.0,216.0,215.0,83.0,1704701712.0,211.15625
1432920684.0,1924862489.0,0.6968253968253968,401.0,455.0,49.0,74.0,6.0,2.0,164.0,265.0,108.0,1704701712.0,211.15625
1202393822.0,1947472304.0,0.6968253968253968,401.0,455.0,29.0,74.0,6.0,4.0,512.0,221.0,125.0,1964639096.0,211.15625
1222409772.0,1894667611.0,0.8936507936507936,399.0,462.0,34.0,74.0,7.0,5.0,729.0,206.0,65.0,1248856392.0,211.15625
1594621169.0,1982871793.0,0.7984126984126985,423.0,474.0,26.0,74.0,6.0,4.0,517.0,168.0,63.0,1872376152.0,211.15625
1595164627.0,1910644571.0,0.8936507936507936,402.0,474.0,26.0,74.0,6.0,4.0,517.0,168.0,63.0,1872378192.0,211.15625
1352486139.0,2005664831.0,0.8936507936507936,386.0,236.0,28.0,68.0,7.0,4.0,730.0,246.0,81.0,1683512986.0,211.17499999999998
1377635015.0,1988953213.0,0.8936507936507936,448.0,422.0,28.0,68.0,6.0,4.0,728.0,246.0,81.0,1683632731.0,211.17499999999998
1503452211.0,2005713462.0,0.8936507936507936,425.0,424.0,25.0,68.0,7.0,3.0,730.0,221.0,81.0,1683512986.0,211.17499999999998
1313065967.0,1980053472.0,0.7984126984126985,442.0,273.0,55.0,64.0,6.0,4.0,566.0,181.0,35.0,1432109722.0,211.17499999999998
1529531086.0,1980515982.0,0.8301587301587301,441.0,274.0,48.0,68.0,8.0,5.0,677.0,227.0,83.0,1181900442.0,211.17499999999998
1602456313.0,2047030776.0,0.8936507936507936,442.0,350.0,54.0,64.0,8.0,4.0,575.0,227.0,35.0,1696206428.0,211.17499999999998
1526351381.0,1930008350.0,0.8047619047619048,454.0,287.0,32.0,43.0,5.0,4.0,161.0,227.0,37.0,1475881621.0,211.17499999999998
1292509043.0,1977751433.0,0.8047619047619048,470.0,327.0,58.0,58.0,5.0,2.0,728.0,245.0,33.0,1146774104.0,211.17499999999998
1525322961.0,1898364873.0,0.8873015873015873,393.0,370.0,56.0,37.0,5.0,2.0,237.0,233.0,37.0,2012756917.0,211.17499999999998
1587065698.0,1980442006.0,0.7920634920634921,441.0,371.0,56.0,61.0,6.0,4.0,566.0,227.0,85.0,1867844957.0,211.17499999999998
1576425359.0,1944527791.0,0.7158730158730159,400.0,382.0,50.0,35.0,6.0,4.0,256.0,329.0,86.0,2012941917.0,211.17499999999998
1337293658.0,1990431733.0,0.8238095238095238,469.0,389.0,42.0,40.0,6.0,4.0,229.0,177.0,34.0,1333998429.0,211.17499999999998
1334141712.0,1979945981.0,0.8238095238095238,469.0,483.0,42.0,34.0,6.0,4.0,229.0,177.0,34.0,1333998429.0,211.17499999999998
1441246816.0,1921115935.0,0.7603174603174603,464.0,298.0,48.0,43.0,5.0,1.0,189.0,189.0,103.0,1336095581.0,211.17499999999998
1440886368.0,1921640223.0,0.7603174603174603,476.0,279.0,61.0,43.0,6.0,1.0,221.0,189.0,103.0,1337225504.0,211.17499999999998
1485333064.0,1921295725.0,0.8428571428571429,427.0,410.0,49.0,38.0,5.0,2.0,410.0,192.0,43.0,1270353502.0,211.17499999999998
