spark.shuffle.io.numConnectionsPerPeer,spark.executor.memoryOverhead,spark.memory.fraction,spark.reducer.maxBlocksInFlightPerAddress,spark.kryoserializer.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxSizeInFlight,spark.reducer.maxReqsInFlight,spark.default.parallelism,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.memory.storageFraction,spark.memory.offHeap.size,spark.scheduler.mode,runtime
4.0,449.0,0.6460317460317461,1818634752.0,74.0,1621138175.0,232.0,51.0,1646180096.0,334.0,65.0,54.0,771.0,24.0,0.626984126984127,0.0,1.0,204.23167435271745
4.0,531.0,0.5698412698412698,1965301248.0,74.0,1591485160.0,275.0,66.0,1231044633.0,425.0,80.0,39.0,592.0,44.0,0.8365079365079365,0.0,0.0,211.71228956937466
4.0,398.0,0.8873015873015873,1852189184.0,74.0,1621869314.0,237.0,54.0,1943937408.0,341.0,64.0,57.0,766.0,20.0,0.5952380952380952,0.0,1.0,207.47568030351036
5.0,507.0,0.5952380952380952,1976556562.0,73.0,1620189153.0,275.0,66.0,1214267545.0,425.0,80.0,39.0,592.0,44.0,0.8365079365079365,0.0,0.0,208.43942433473146
4.0,462.0,0.7920634920634921,1832459233.0,74.0,1611317987.0,301.0,42.0,1231110171.0,425.0,80.0,38.0,771.0,25.0,0.6206349206349207,64.0,0.0,212.97423598302706
4.0,791.0,0.5,1987454975.0,74.0,1611805411.0,326.0,65.0,1298153497.0,414.0,80.0,39.0,592.0,43.0,0.8301587301587301,0.0,0.0,213.0442384926109
4.0,399.0,0.7285714285714285,2133401376.0,48.0,1611313892.0,275.0,62.0,1831616665.0,425.0,80.0,39.0,592.0,44.0,0.8365079365079365,0.0,0.0,210.415719901452
4.0,435.0,0.5253968253968254,2122129152.0,48.0,1074410339.0,275.0,66.0,1231093787.0,425.0,80.0,39.0,592.0,44.0,0.8365079365079365,0.0,0.0,207.91577563145486
5.0,438.0,0.7158730158730159,2142136383.0,74.0,1611805411.0,301.0,65.0,1215852992.0,339.0,78.0,35.0,548.0,20.0,0.8365079365079365,128.0,0.0,207.42674225065022
5.0,438.0,0.5,2142136383.0,74.0,1611805411.0,301.0,65.0,1215844801.0,339.0,78.0,35.0,548.0,20.0,0.8365079365079365,128.0,0.0,208.15733266464943
4.0,487.0,0.5063492063492063,1971191152.0,74.0,1612361443.0,282.0,60.0,1092682777.0,415.0,68.0,37.0,592.0,44.0,0.8365079365079365,0.0,0.0,209.43109027562568
4.0,497.0,0.7285714285714285,2120644383.0,74.0,1611805412.0,334.0,65.0,1299235209.0,488.0,80.0,39.0,592.0,36.0,0.8301587301587301,0.0,0.0,206.28093177124384
4.0,389.0,0.5,1985871200.0,74.0,1610752755.0,282.0,60.0,1226900505.0,415.0,116.0,41.0,592.0,44.0,0.8365079365079365,0.0,0.0,206.63822859948922
5.0,409.0,0.7793650793650794,2036978973.0,74.0,1611281135.0,282.0,57.0,1567336841.0,497.0,80.0,39.0,611.0,24.0,0.626984126984127,128.0,0.0,211.8637915505201
5.0,489.0,0.6333333333333333,2116314529.0,68.0,1610752755.0,282.0,65.0,1298710537.0,391.0,80.0,39.0,611.0,44.0,0.8301587301587301,0.0,0.0,210.23172421658646
4.0,489.0,0.6460317460317461,2116052321.0,43.0,1610752755.0,282.0,65.0,1298710589.0,391.0,78.0,35.0,611.0,44.0,0.8301587301587301,0.0,0.0,210.23172421658646
5.0,458.0,0.5444444444444444,2116183521.0,43.0,1610752755.0,282.0,65.0,1296613437.0,410.0,78.0,35.0,611.0,44.0,0.8301587301587301,0.0,0.0,208.5356289130602
5.0,504.0,0.6460317460317461,2116035937.0,117.0,1616261858.0,158.0,65.0,1242072074.0,423.0,80.0,40.0,622.0,44.0,0.8301587301587301,8.0,0.0,209.8165338664992
4.0,441.0,0.6396825396825396,1960716354.0,46.0,1616261858.0,257.0,66.0,1073759242.0,423.0,80.0,40.0,622.0,44.0,0.8873015873015873,0.0,0.0,216.29970563615174
5.0,435.0,0.5317460317460317,1908239721.0,74.0,1620222705.0,282.0,66.0,1094914313.0,392.0,80.0,39.0,595.0,44.0,0.8365079365079365,128.0,0.0,204.92586448696395
4.0,464.0,0.5063492063492063,1910369513.0,71.0,1150985057.0,292.0,60.0,1095247128.0,471.0,78.0,38.0,716.0,44.0,0.8365079365079365,128.0,0.0,207.63016009903822
4.0,479.0,0.5126984126984127,1910353257.0,80.0,1611801331.0,292.0,60.0,1103635736.0,471.0,78.0,38.0,748.0,44.0,0.8365079365079365,129.0,0.0,208.05199802790096
5.0,406.0,0.8047619047619048,1549659393.0,80.0,1612083939.0,257.0,66.0,1237855256.0,471.0,78.0,38.0,748.0,44.0,0.8365079365079365,129.0,0.0,215.15417916869472
