spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.kryoserializer.buffer.max,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxReqsInFlight,spark.executor.memoryOverhead,spark.scheduler.revive.interval,spark.kryoserializer.buffer,spark.executor.instances,spark.memory.storageFraction,spark.broadcast.blockSize,runtime
1443441566.0,1576144181.0,437.0,64.0,61.0,279.0,1487481044.0,692.0,589.0,71.0,4.0,0.5571428571428572,40.0,220.52722661272094
1886503145.0,1117206132.0,259.0,64.0,68.0,202.0,1887427713.0,764.0,756.0,65.0,6.0,0.7920634920634921,57.0,222.73603310624003
1259083715.0,1085153271.0,307.0,53.0,126.0,243.0,1768916002.0,384.0,759.0,32.0,5.0,0.5380952380952381,64.0,220.52722661272094
1284521339.0,1595472640.0,420.0,35.0,119.0,268.0,1588641790.0,779.0,597.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
2099703853.0,1363244891.0,412.0,61.0,32.0,188.0,1917351029.0,497.0,510.0,74.0,5.0,0.5190476190476191,48.0,219.8355928845752
1284521339.0,1595465728.0,420.0,32.0,128.0,312.0,1302400556.0,813.0,597.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1620197326.0,1625752830.0,284.0,61.0,32.0,193.0,1675528576.0,384.0,948.0,74.0,8.0,0.626984126984127,55.0,223.01225273025727
1662008609.0,1595472640.0,420.0,35.0,119.0,268.0,1588641790.0,877.0,687.0,40.0,4.0,0.5063492063492063,33.0,222.81566584620785
1559216093.0,1625752830.0,280.0,61.0,41.0,232.0,1648914937.0,384.0,759.0,35.0,8.0,0.8936507936507936,63.0,223.6242537184352
1961901274.0,1595472640.0,417.0,35.0,119.0,268.0,1588624382.0,778.0,729.0,86.0,7.0,0.861904761904762,32.0,224.1040969787635
2096086877.0,1625752830.0,312.0,53.0,126.0,244.0,1634698273.0,483.0,771.0,74.0,5.0,0.5380952380952381,44.0,224.52945421379977
1961901274.0,1595472640.0,417.0,35.0,119.0,269.0,1572286206.0,778.0,729.0,128.0,7.0,0.861904761904762,32.0,224.1040969787635
1265614882.0,1625752830.0,283.0,61.0,41.0,188.0,1632162082.0,384.0,759.0,32.0,5.0,0.5190476190476191,42.0,225.2210879419455
1961901274.0,1595472640.0,417.0,35.0,119.0,257.0,1452326910.0,778.0,729.0,86.0,7.0,0.861904761904762,32.0,224.1040969787635
1259323428.0,1625752830.0,283.0,61.0,41.0,231.0,1766818816.0,483.0,771.0,74.0,5.0,0.5126984126984127,64.0,225.2210879419455
1961901274.0,1595465728.0,417.0,34.0,34.0,256.0,1586527230.0,778.0,729.0,86.0,7.0,0.861904761904762,32.0,224.1040969787635
1265614882.0,1625752830.0,280.0,56.0,65.0,237.0,1766818849.0,387.0,759.0,50.0,5.0,0.5190476190476191,42.0,225.2210879419455
1961901274.0,1595472640.0,417.0,35.0,119.0,263.0,1435942910.0,877.0,737.0,86.0,7.0,0.861904761904762,32.0,224.1040969787635
1259323428.0,1625752830.0,280.0,56.0,65.0,237.0,1632601121.0,387.0,759.0,32.0,5.0,0.5380952380952381,57.0,225.2210879419455
1961901274.0,1595465728.0,420.0,35.0,119.0,268.0,1588624349.0,874.0,741.0,110.0,7.0,0.8809523809523809,48.0,224.1040969787635
1259323428.0,1625752830.0,280.0,59.0,126.0,244.0,1634698240.0,483.0,771.0,74.0,5.0,0.5380952380952381,57.0,225.2210879419455
1961901274.0,1595472640.0,420.0,40.0,95.0,263.0,1588640733.0,874.0,741.0,128.0,7.0,0.861904761904762,39.0,224.1040969787635
1259323428.0,1625752830.0,280.0,56.0,65.0,244.0,1634681880.0,482.0,761.0,74.0,5.0,0.5380952380952381,64.0,225.2210879419455
1961901274.0,1595472640.0,417.0,35.0,119.0,263.0,1588624349.0,874.0,745.0,86.0,7.0,0.861904761904762,39.0,224.1040969787635
1259323428.0,1625759742.0,283.0,61.0,41.0,231.0,1766818848.0,482.0,761.0,74.0,5.0,0.5380952380952381,64.0,225.2210879419455
1955609820.0,1595472640.0,417.0,35.0,119.0,269.0,1454406622.0,779.0,741.0,128.0,7.0,0.8809523809523809,54.0,224.1040969787635
1259323428.0,1625759742.0,283.0,68.0,65.0,237.0,1768476673.0,480.0,511.0,74.0,5.0,0.5380952380952381,64.0,225.2210879419455
1961901274.0,1595465728.0,420.0,47.0,119.0,269.0,1454423005.0,874.0,741.0,110.0,7.0,0.8873015873015873,32.0,224.1040969787635
1259323428.0,1625752830.0,280.0,49.0,41.0,231.0,1766802465.0,387.0,759.0,74.0,5.0,0.5380952380952381,64.0,225.2210879419455
1961901274.0,1595472640.0,417.0,35.0,119.0,269.0,1454406622.0,781.0,991.0,128.0,7.0,0.8873015873015873,32.0,224.1040969787635
