spark.shuffle.io.numConnectionsPerPeer,spark.executor.instances,spark.memory.storageFraction,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.default.parallelism,spark.broadcast.blockSize,spark.reducer.maxBlocksInFlightPerAddress,spark.shuffle.file.buffer,spark.scheduler.revive.interval,spark.kryoserializer.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.executor.memoryOverhead,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer.max,spark.reducer.maxSizeInFlight,spark.memory.offHeap.size,spark.locality.wait,spark.executor.memory,spark.scheduler.mode,spark.storage.memoryMapThreshold,spark.shuffle.compress,spark.broadcast.compress,runtime
1.0,5.0,0.5380952380952381,1259224103.0,0.8492063492063492,441.0,64.0,2104019338.0,37.0,759.0,32.0,298.0,384.0,1333797757.0,92.0,32.0,0.0,5.0,3.0,0.0,4.0,0.0,1.0,216.46442
4.0,8.0,0.626984126984127,1621211903.0,0.6460317460317461,334.0,54.0,1818634752.0,24.0,771.0,74.0,232.0,447.0,1767915545.0,80.0,66.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,215.1777
3.0,5.0,0.607936507936508,1317971013.0,0.6396825396825396,339.0,56.0,1739004290.0,36.0,806.0,95.0,243.0,497.0,1768916002.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.35997
5.0,5.0,0.607936507936508,1317446757.0,0.6460317460317461,334.0,54.0,1835411968.0,24.0,771.0,74.0,232.0,447.0,1768391714.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.36002
2.0,6.0,0.607936507936508,1283908685.0,0.626984126984127,341.0,55.0,2019760386.0,37.0,759.0,95.0,243.0,497.0,1768916002.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.35997
1.0,6.0,0.607936507936508,1300685897.0,0.626984126984127,341.0,55.0,2015574274.0,37.0,759.0,95.0,243.0,497.0,1768916002.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.35997
4.0,7.0,0.607936507936508,1317442661.0,0.6333333333333333,333.0,55.0,1084692616.0,37.0,759.0,95.0,243.0,497.0,1768916350.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.35997
4.0,7.0,0.607936507936508,1317444709.0,0.6333333333333333,333.0,55.0,1084692488.0,37.0,759.0,94.0,243.0,497.0,1768916351.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.35997
5.0,5.0,0.607936507936508,1250333813.0,0.6333333333333333,338.0,55.0,1218910216.0,37.0,759.0,94.0,243.0,497.0,1768916319.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.35997
3.0,5.0,0.607936507936508,1250333813.0,0.6333333333333333,338.0,55.0,1216547330.0,27.0,770.0,74.0,231.0,497.0,1232045407.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.09564
4.0,5.0,0.607936507936508,1251399289.0,0.6841269841269841,333.0,55.0,1084697090.0,23.0,759.0,95.0,243.0,497.0,1836025214.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.35997
5.0,4.0,0.607936507936508,1251972725.0,0.6333333333333333,332.0,55.0,1084697110.0,23.0,759.0,95.0,243.0,497.0,1836025214.0,126.0,53.0,934.0,4.0,6.0,0.0,4.0,0.0,1.0,212.35997
