spark.executor.memoryOverhead,spark.maxRemoteBlockSizeFetchToMem,spark.default.parallelism,spark.kryoserializer.buffer.max,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.memory.fraction,spark.scheduler.revive.interval,runtime
544.0,1707870217.0,267.0,99.0,268.0,1515335152.0,1827440905.0,0.5952380952380952,923.0,229.17268828875325
764.0,1886981149.0,391.0,80.0,233.0,1168132606.0,1968208860.0,0.6142857142857143,756.0,232.787191491205
384.0,1535308075.0,425.0,51.0,268.0,1523320800.0,1458157745.0,0.5952380952380952,923.0,228.99499895156922
453.0,1620905982.0,277.0,80.0,229.0,1174120958.0,1771490046.0,0.8746031746031746,962.0,236.72397329176758
384.0,1535308075.0,425.0,55.0,268.0,1523320800.0,1458157745.0,0.5952380952380952,923.0,228.99499895156922
717.0,1513353240.0,277.0,80.0,229.0,1174288414.0,1771489998.0,0.8746031746031746,963.0,236.72397329176758
391.0,1600322812.0,425.0,51.0,268.0,1523431296.0,1248442545.0,0.5380952380952381,903.0,228.99499895156922
453.0,1620381666.0,275.0,80.0,229.0,1174288894.0,1830177022.0,0.8746031746031746,962.0,236.72397329176758
808.0,1546513680.0,423.0,80.0,272.0,1967916544.0,1248408881.0,0.5952380952380952,923.0,229.19754714933288
453.0,1674907605.0,275.0,80.0,229.0,1174288894.0,1830177022.0,0.8746031746031746,962.0,236.72397329176758
808.0,1545792809.0,425.0,80.0,271.0,2046842368.0,1256797489.0,0.5952380952380952,923.0,229.19754714933288
453.0,1620381694.0,277.0,80.0,228.0,1253308926.0,1939262158.0,0.8746031746031746,962.0,236.72397329176758
391.0,1600843008.0,423.0,80.0,275.0,1965315584.0,1281996977.0,0.5380952380952381,903.0,229.19754714933288
453.0,1620381694.0,277.0,80.0,225.0,1188801022.0,2039925454.0,0.8746031746031746,962.0,236.72397329176758
808.0,1609230394.0,423.0,80.0,275.0,2032424448.0,1453602048.0,0.5380952380952381,903.0,229.19754714933288
700.0,1620250622.0,277.0,80.0,225.0,1188801022.0,1767623373.0,0.8746031746031746,965.0,236.72397329176758
391.0,1600843011.0,423.0,80.0,275.0,2032424448.0,1449735472.0,0.5253968253968254,535.0,229.7873537675673
700.0,1620119550.0,277.0,80.0,225.0,1188702718.0,1830176973.0,0.8746031746031746,965.0,236.72397329176758
808.0,1609362686.0,423.0,80.0,272.0,2030425600.0,1453602048.0,0.5253968253968254,537.0,229.7873537675673
870.0,1620119550.0,277.0,80.0,229.0,1255909886.0,2036255486.0,0.8746031746031746,965.0,236.72397329176758
808.0,1600843008.0,423.0,80.0,275.0,2030327296.0,1391047936.0,0.5253968253968254,538.0,229.7873537675673
870.0,1620381694.0,277.0,80.0,250.0,1188801022.0,1830177534.0,0.8746031746031746,965.0,236.72397329176758
808.0,1600843008.0,423.0,80.0,275.0,2032424448.0,1181332737.0,0.5253968253968254,538.0,229.7873537675673
855.0,1620381694.0,277.0,80.0,225.0,1188801022.0,1830177534.0,0.8746031746031746,965.0,236.72397329176758
422.0,1600843008.0,423.0,80.0,275.0,2032424448.0,1181299968.0,0.5253968253968254,535.0,229.7873537675673
453.0,1620381694.0,277.0,80.0,225.0,1188801022.0,2098645198.0,0.8746031746031746,962.0,236.72397329176758
391.0,1600843008.0,423.0,80.0,275.0,2032424448.0,1181299968.0,0.5253968253968254,535.0,229.7873537675673
453.0,1620381694.0,277.0,80.0,225.0,1188801022.0,2107034366.0,0.8746031746031746,962.0,236.72397329176758
808.0,1600843008.0,423.0,80.0,275.0,2030327296.0,1185167152.0,0.5253968253968254,538.0,229.7873537675673
870.0,1620381694.0,277.0,80.0,225.0,1188801022.0,2098645246.0,0.8746031746031746,965.0,236.72397329176758
