spark.executor.instances,spark.memory.fraction,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.executor.memoryOverhead,spark.shuffle.sort.bypassMergeThreshold,spark.default.parallelism,spark.reducer.maxBlocksInFlightPerAddress,spark.scheduler.revive.interval,spark.reducer.maxSizeInFlight,spark.memory.storageFraction,runtime
8.0,0.7095238095238096,1439489438.0,1141528201.0,117.0,48.0,445.0,161.0,360.0,1364761151.0,594.0,69.0,0.8682539682539683,210.88106
8.0,0.6777777777777778,1620460415.0,1675440772.0,64.0,57.0,396.0,212.0,341.0,1827248640.0,766.0,54.0,0.5952380952380952,211.43184
8.0,0.5952380952380952,1624741378.0,1640739874.0,71.0,63.0,460.0,228.0,329.0,1823546448.0,771.0,51.0,0.626984126984127,207.1676
8.0,0.5761904761904761,1114328441.0,1617371816.0,65.0,56.0,428.0,200.0,343.0,1096292920.0,594.0,35.0,0.6460317460317461,213.41179
8.0,0.7793650793650794,1393848700.0,1682074256.0,105.0,42.0,385.0,219.0,375.0,1749984768.0,771.0,51.0,0.626984126984127,204.8603
8.0,0.6777777777777778,1152555774.0,1699347322.0,83.0,46.0,509.0,155.0,330.0,1355646632.0,895.0,61.0,0.7666666666666666,209.25435
8.0,0.5317460317460317,1540643161.0,1078095515.0,95.0,62.0,509.0,231.0,329.0,1413164544.0,784.0,61.0,0.753968253968254,203.25989
8.0,0.5380952380952381,1251176262.0,1936643611.0,126.0,62.0,510.0,234.0,479.0,1413029032.0,905.0,61.0,0.6142857142857143,203.9059
8.0,0.5444444444444444,1335095076.0,1934287504.0,102.0,55.0,426.0,228.0,329.0,1145874080.0,909.0,66.0,0.6206349206349207,204.02675
8.0,0.5444444444444444,1318317864.0,2067981200.0,102.0,55.0,673.0,228.0,329.0,1145841312.0,909.0,66.0,0.6206349206349207,204.24052
8.0,0.5698412698412698,1093943610.0,1192023050.0,114.0,56.0,488.0,226.0,329.0,1882930346.0,905.0,64.0,0.753968253968254,203.0779
8.0,0.7984126984126985,1454470958.0,1644571275.0,127.0,42.0,508.0,203.0,451.0,1280288392.0,790.0,61.0,0.5571428571428572,204.86234
8.0,0.7984126984126985,1367665026.0,1637950136.0,114.0,36.0,508.0,219.0,367.0,1145317048.0,968.0,48.0,0.753968253968254,205.30127
8.0,0.8301587301587301,1184889042.0,2101562122.0,96.0,61.0,540.0,235.0,450.0,1410415784.0,897.0,61.0,0.7031746031746031,204.06136
8.0,0.753968253968254,1074679772.0,1772169985.0,128.0,52.0,457.0,227.0,498.0,1418804904.0,893.0,61.0,0.7031746031746031,203.80911
8.0,0.7793650793650794,1118591313.0,1995922314.0,96.0,64.0,508.0,304.0,458.0,1813068973.0,893.0,61.0,0.5,203.77513
8.0,0.8809523809523809,1388103995.0,1791343656.0,117.0,55.0,486.0,230.0,451.0,1280238155.0,854.0,37.0,0.5888888888888889,203.63907
8.0,0.5698412698412698,1426807537.0,1118052387.0,89.0,42.0,486.0,203.0,479.0,1955675304.0,862.0,67.0,0.5571428571428572,205.41052
8.0,0.5,1613713117.0,1911106309.0,125.0,52.0,457.0,235.0,449.0,1351686825.0,894.0,67.0,0.7031746031746031,203.52829
8.0,0.5,1680824644.0,1755588607.0,101.0,60.0,490.0,310.0,449.0,1888688809.0,902.0,64.0,0.7031746031746031,206.57913
8.0,0.5190476190476191,1204361153.0,1697188863.0,126.0,63.0,465.0,247.0,486.0,1351690941.0,957.0,67.0,0.5571428571428572,204.24069
8.0,0.5,1143888587.0,1218455551.0,117.0,48.0,490.0,310.0,450.0,1955830505.0,902.0,64.0,0.7031746031746031,199.26141
8.0,0.8873015873015873,1459112081.0,2021654596.0,108.0,63.0,480.0,304.0,458.0,2106670315.0,854.0,42.0,0.5571428571428572,203.77307
8.0,0.6142857142857143,1381570338.0,1273147948.0,114.0,54.0,465.0,235.0,299.0,1456683753.0,853.0,63.0,0.5888888888888889,213.06607
8.0,0.5825396825396826,1397828241.0,2038646115.0,127.0,53.0,467.0,203.0,311.0,1955732136.0,925.0,61.0,0.5507936507936508,203.9036
8.0,0.6015873015873016,1387911423.0,1879263716.0,111.0,63.0,479.0,329.0,454.0,1385372393.0,956.0,61.0,0.5888888888888889,204.21918
8.0,0.5444444444444444,1392236704.0,1135850156.0,111.0,49.0,396.0,247.0,489.0,1343437485.0,925.0,61.0,0.5888888888888889,203.49924
8.0,0.5,1357498631.0,1879262167.0,111.0,42.0,397.0,236.0,457.0,2106142125.0,944.0,61.0,0.5952380952380952,204.08263
8.0,0.8301587301587301,1455020701.0,1910624588.0,126.0,52.0,471.0,301.0,219.0,1596988152.0,925.0,61.0,0.5888888888888889,203.78412
8.0,0.8365079365079365,1141398934.0,1879140806.0,111.0,64.0,486.0,329.0,454.0,1417812713.0,940.0,61.0,0.5888888888888889,203.77513
