spark.executor.cores,spark.executor.memory,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.instances,spark.shuffle.file.buffer,spark.reducer.maxReqsInFlight,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxSizeInFlight,runtime
3.0,6.0,1889193221.0,8.0,20.0,1346906111.0,1078559276.0,45.0,189.7081111111111
3.0,6.0,1989419024.0,8.0,27.0,1166178688.0,1874842093.0,44.0,189.7081111111111
3.0,6.0,1915014148.0,8.0,25.0,1449911040.0,1383193316.0,45.0,189.7081111111111
3.0,6.0,1888669071.0,8.0,32.0,1212491776.0,1572507611.0,45.0,189.7081111111111
3.0,5.0,1894313863.0,8.0,24.0,1483057712.0,1899733561.0,45.0,189.7081111111111
3.0,5.0,1964345065.0,8.0,29.0,1601940223.0,1866301996.0,45.0,189.7081111111111
4.0,7.0,1922232266.0,8.0,27.0,1398516388.0,1765413805.0,45.0,189.7081111111111
4.0,7.0,1913483242.0,8.0,27.0,1381743140.0,1765413809.0,45.0,189.7081111111111
4.0,5.0,1926962316.0,8.0,36.0,1578871460.0,1757712308.0,43.0,189.7081111111111
4.0,6.0,1924326710.0,8.0,40.0,1466283909.0,1497104837.0,64.0,189.7081111111111
4.0,6.0,1916665835.0,8.0,34.0,1594858278.0,1764889553.0,44.0,189.7081111111111
3.0,5.0,2006800514.0,8.0,26.0,1392424803.0,1266291883.0,45.0,190.02560000000003
3.0,5.0,1987243629.0,8.0,27.0,1121487014.0,1801752489.0,45.0,189.7081111111111
4.0,6.0,1837592450.0,8.0,34.0,1590885012.0,1236670031.0,38.0,189.7081111111111
3.0,6.0,1857206905.0,8.0,26.0,2063514260.0,2041976176.0,38.0,189.7081111111111
3.0,5.0,1991942822.0,8.0,46.0,1138230439.0,1801753132.0,32.0,189.7081111111111
3.0,7.0,1945280035.0,8.0,20.0,1461448838.0,1240408220.0,38.0,189.7081111111111
4.0,7.0,1958230877.0,8.0,19.0,1325176651.0,1495198709.0,35.0,189.7081111111111
4.0,7.0,1910745944.0,8.0,42.0,1557919893.0,1283333935.0,38.0,189.7081111111111
3.0,6.0,1951918430.0,8.0,20.0,1859902726.0,1836217005.0,38.0,189.7081111111111
4.0,5.0,1863738043.0,7.0,43.0,1289484437.0,1240899337.0,38.0,190.31978571428567
3.0,5.0,1872126138.0,8.0,18.0,1113261213.0,1295505055.0,26.0,189.7081111111111
3.0,6.0,1930653443.0,7.0,19.0,1113192593.0,1238553757.0,38.0,189.98488888888883
3.0,5.0,1849374737.0,8.0,21.0,2096768029.0,1279192814.0,37.0,189.98488888888883
3.0,6.0,1851161095.0,8.0,18.0,1281791580.0,1345887933.0,47.0,189.7081111111111
3.0,6.0,1948548739.0,8.0,33.0,1549364231.0,1852623284.0,44.0,189.7081111111111
4.0,6.0,1948524434.0,8.0,33.0,1549364487.0,1852623272.0,32.0,189.7081111111111
3.0,5.0,1961130923.0,8.0,42.0,1213819927.0,1852623113.0,44.0,189.7081111111111
4.0,4.0,1863829149.0,8.0,33.0,2086208690.0,1169691616.0,32.0,190.31978571428567
4.0,5.0,1853867932.0,8.0,33.0,2135125389.0,1633995007.0,26.0,189.98488888888883
