spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.reducer.maxReqsInFlight,spark.reducer.maxBlocksInFlightPerAddress,spark.maxRemoteBlockSizeFetchToMem,spark.kryoserializer.buffer,spark.shuffle.file.buffer,spark.broadcast.blockSize,spark.reducer.maxSizeInFlight,spark.default.parallelism,runtime
3.0,6.0,8.0,1339052416.0,1875235968.0,1131467903.0,42.0,20.0,60.0,45.0,309.0,294.3650368703274
4.0,6.0,8.0,1304810112.0,2016638976.0,1772832032.0,89.0,32.0,32.0,61.0,318.0,200.89913364824474
4.0,5.0,7.0,1396378432.0,1732986500.0,1672910079.0,83.0,28.0,45.0,45.0,350.0,204.30073412025925
4.0,7.0,8.0,1359485696.0,1703609856.0,1671177471.0,83.0,28.0,41.0,45.0,350.0,201.37160473187143
4.0,7.0,7.0,1370813260.0,1776410433.0,1638614336.0,89.0,32.0,32.0,61.0,314.0,204.14530798890993
4.0,7.0,8.0,1315724526.0,1889192192.0,1328219424.0,95.0,28.0,45.0,69.0,302.0,198.48924447626533
4.0,4.0,7.0,1449666364.0,1934314284.0,1553240811.0,95.0,28.0,45.0,69.0,350.0,201.35099722777514
4.0,5.0,8.0,1384979450.0,1629152268.0,1553215785.0,83.0,28.0,45.0,45.0,350.0,201.1684168558154
4.0,7.0,8.0,1393036798.0,1891289828.0,1567242726.0,119.0,20.0,47.0,45.0,350.0,201.81309265107973
4.0,6.0,8.0,1116576730.0,1889199116.0,1567242727.0,107.0,28.0,45.0,45.0,350.0,198.75480098028268
4.0,4.0,8.0,1384844735.0,1337253703.0,1544843563.0,83.0,27.0,45.0,70.0,350.0,198.21867996333123
4.0,7.0,8.0,1653447646.0,2067062624.0,1336564254.0,107.0,27.0,45.0,45.0,350.0,200.18666806443798
4.0,7.0,8.0,1653447646.0,2067062624.0,1336564254.0,107.0,27.0,45.0,45.0,350.0,200.18666806443798
4.0,7.0,8.0,1393047534.0,2070277108.0,1435806055.0,117.0,20.0,47.0,45.0,350.0,199.70564691020772
4.0,3.0,8.0,1525387259.0,1658505956.0,1436744101.0,83.0,27.0,47.0,45.0,350.0,199.68383961654845
4.0,3.0,8.0,1376589741.0,2070277109.0,1168783788.0,82.0,40.0,45.0,69.0,279.0,198.66879800936974
4.0,5.0,8.0,1393366957.0,2070277109.0,1168781692.0,95.0,36.0,47.0,45.0,350.0,198.86893051034198
4.0,6.0,8.0,1418339262.0,1888643057.0,1168780677.0,125.0,20.0,45.0,69.0,228.0,196.6487085100161
4.0,4.0,8.0,1418340286.0,1351853820.0,1151080881.0,95.0,36.0,47.0,45.0,350.0,199.6477273863314
4.0,7.0,8.0,1407729573.0,1809572840.0,1435806051.0,125.0,27.0,47.0,45.0,274.0,199.9148053502481
4.0,7.0,8.0,1377408954.0,1990565865.0,1168783749.0,125.0,20.0,44.0,69.0,260.0,196.6487085100161
4.0,5.0,8.0,1405630243.0,1809572584.0,1167337901.0,80.0,40.0,45.0,69.0,277.0,198.66879800936974
4.0,5.0,8.0,1405629219.0,1808528104.0,1142172083.0,80.0,40.0,45.0,69.0,277.0,199.44759488535917
4.0,5.0,8.0,1377777558.0,1075037032.0,1166322067.0,119.0,24.0,41.0,33.0,275.0,201.46549604777908
4.0,5.0,8.0,1405662755.0,1776275298.0,1170127218.0,71.0,19.0,41.0,33.0,350.0,200.77454026820618
4.0,4.0,8.0,1405758261.0,1859899234.0,1170094450.0,71.0,19.0,41.0,33.0,350.0,200.77454026820618
4.0,7.0,8.0,1368929241.0,1477698545.0,1167383443.0,94.0,25.0,41.0,33.0,350.0,200.77454026820618
4.0,5.0,8.0,1467156385.0,1209263073.0,1167374707.0,58.0,27.0,33.0,33.0,347.0,200.84283516176157
4.0,5.0,8.0,1403656086.0,1075292136.0,1167561107.0,125.0,25.0,41.0,32.0,350.0,200.77454026820618
4.0,4.0,8.0,1975920389.0,1628956609.0,1167370659.0,101.0,25.0,41.0,45.0,273.0,197.7049549845868
