spark.default.parallelism,spark.rdd.compress,runtime
475.0,1.0,240.01984752308238
350.0,0.0,240.01984752308238
250.0,0.0,240.01984752308238
442.0,0.0,240.01984752308238
475.0,1.0,240.01984752308238
477.0,0.0,240.01984752308238
283.0,0.0,240.01984752308238
283.0,0.0,240.01984752308238
439.0,0.0,240.01984752308238
486.0,0.0,240.01984752308238
256.0,0.0,240.01984752308238
486.0,0.0,240.01984752308238
331.0,0.0,240.01984752308238
293.0,0.0,240.01984752308238
453.0,0.0,240.01984752308238
293.0,1.0,240.01984752308238
293.0,1.0,240.01984752308238
500.0,1.0,240.01984752308238
434.0,1.0,240.01984752308238
443.0,0.0,240.01984752308238
453.0,1.0,240.01984752308238
350.0,0.0,240.01984752308238
490.0,0.0,240.01984752308238
481.0,0.0,240.01984752308238
500.0,0.0,240.01984752308238
499.0,0.0,240.01984752308238
434.0,0.0,240.01984752308238
237.0,0.0,240.01984752308238
291.0,1.0,240.01984752308238
490.0,1.0,240.01984752308238
