spark.executor.cores,spark.executor.memory,spark.executor.memoryOverhead,spark.executor.instances,spark.reducer.maxBlocksInFlightPerAddress,spark.kryoserializer.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxReqsInFlight,runtime
3.0,6.0,497.0,7.0,1972017536.0,86.0,1763204351.0,1117628928.0,202.34605000000002
3.0,6.0,505.0,7.0,1922488537.0,55.0,1303944356.0,1300658560.0,202.33083000000002
3.0,7.0,524.0,8.0,1855202560.0,78.0,1771883121.0,1440333824.0,203.24932000000007
4.0,6.0,608.0,7.0,1972270592.0,110.0,1511195453.0,1168283648.0,203.29162000000008
4.0,7.0,470.0,8.0,1845769472.0,78.0,1771880033.0,1373224960.0,202.86766000000003
4.0,6.0,440.0,7.0,1950286848.0,37.0,1702546546.0,1440596033.0,201.98338
3.0,6.0,659.0,7.0,1949288704.0,71.0,1513543808.0,1738578240.0,203.04291000000012
4.0,7.0,530.0,7.0,1949156416.0,100.0,1738908951.0,1446451263.0,201.49235000000007
3.0,7.0,455.0,7.0,1854301452.0,71.0,1411796788.0,1352613903.0,203.6071500000001
3.0,6.0,596.0,8.0,1959642368.0,78.0,1266081402.0,1740353793.0,201.32543000000004
3.0,6.0,596.0,7.0,1992769033.0,46.0,1538416186.0,1740353793.0,202.45578000000006
4.0,6.0,527.0,7.0,1931723870.0,98.0,1903949511.0,1454856263.0,202.82745000000003
3.0,7.0,622.0,7.0,2007223902.0,84.0,1696957553.0,1386780753.0,205.28307000000012
4.0,7.0,627.0,7.0,1931658304.0,52.0,1756548343.0,1105311935.0,202.9987100000001
3.0,6.0,459.0,6.0,2074463426.0,112.0,1228074857.0,1589454856.0,207.22506000000004
3.0,6.0,491.0,7.0,2006767903.0,122.0,1451903545.0,1413331201.0,203.91309
3.0,7.0,398.0,7.0,2064605064.0,94.0,1151266066.0,1413310529.0,204.1744700000001
3.0,6.0,398.0,7.0,2064605064.0,94.0,1151331602.0,1446864961.0,203.48174000000003
3.0,6.0,398.0,7.0,2064605064.0,94.0,1184230666.0,1081976898.0,204.14906000000002
4.0,6.0,491.0,6.0,1915540878.0,80.0,1083059741.0,1790265666.0,202.20859000000004
4.0,6.0,398.0,7.0,1936702346.0,81.0,1237249340.0,1996108609.0,203.05924999999996
3.0,7.0,425.0,7.0,2064514525.0,117.0,1629733455.0,1161797633.0,203.8798600000001
3.0,7.0,522.0,7.0,1936693653.0,95.0,1237249342.0,1996108735.0,202.36943000000008
3.0,7.0,490.0,7.0,2126800620.0,46.0,1217167907.0,1755689311.0,203.58008000000007
3.0,7.0,643.0,8.0,1915021288.0,46.0,1087659647.0,1989030017.0,204.37676000000008
3.0,6.0,488.0,7.0,2061952667.0,122.0,1638122063.0,1996108735.0,202.39183
4.0,6.0,455.0,8.0,1989161924.0,53.0,1083998787.0,1787441503.0,202.17787
3.0,6.0,488.0,8.0,2049240797.0,80.0,1638253143.0,1996108671.0,201.77172000000007
4.0,6.0,486.0,7.0,1990383434.0,97.0,1218221546.0,2125565969.0,200.64746
3.0,6.0,428.0,8.0,1923274570.0,97.0,1217167846.0,1756475744.0,201.44648999999998
