spark.executor.cores,spark.executor.instances,runtime
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
4.0,8.0,179.75833
4.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
4.0,8.0,179.75833
4.0,8.0,179.75833
4.0,8.0,179.75833
4.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
4.0,8.0,179.75833
3.0,8.0,179.75833
4.0,8.0,179.75833
3.0,8.0,179.75833
3.0,8.0,179.75833
4.0,8.0,179.75833
4.0,8.0,179.75833
4.0,8.0,179.75833
