spark.executor.cores,spark.reducer.maxSizeInFlight,spark.executor.instances,spark.executor.memory,runtime
3.0,57.0,7.0,6.0,194.0725666666667
4.0,63.0,7.0,5.0,194.0725666666667
4.0,51.0,7.0,4.0,194.0725666666667
4.0,62.0,7.0,4.0,194.0725666666667
3.0,33.0,8.0,7.0,194.0725666666667
3.0,42.0,7.0,3.0,194.0725666666667
3.0,48.0,7.0,5.0,194.0725666666667
4.0,59.0,8.0,6.0,194.0725666666667
4.0,25.0,7.0,6.0,194.0725666666667
3.0,49.0,8.0,5.0,194.0725666666667
3.0,54.0,7.0,4.0,194.0725666666667
4.0,27.0,8.0,6.0,194.0725666666667
3.0,64.0,7.0,6.0,194.0725666666667
3.0,32.0,8.0,6.0,194.0725666666667
4.0,56.0,7.0,4.0,194.0725666666667
3.0,24.0,7.0,5.0,194.0725666666667
3.0,29.0,8.0,6.0,194.0725666666667
4.0,49.0,8.0,7.0,194.0725666666667
4.0,52.0,7.0,3.0,194.0725666666667
4.0,61.0,7.0,6.0,194.0725666666667
3.0,27.0,7.0,4.0,194.0725666666667
3.0,53.0,7.0,4.0,194.0725666666667
4.0,67.0,8.0,4.0,194.0725666666667
4.0,35.0,7.0,6.0,194.0725666666667
3.0,59.0,8.0,7.0,194.0725666666667
3.0,53.0,7.0,4.0,194.0725666666667
4.0,47.0,7.0,3.0,194.0725666666667
4.0,54.0,8.0,4.0,194.0725666666667
4.0,50.0,7.0,6.0,194.0725666666667
3.0,45.0,8.0,6.0,194.0725666666667
