spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
1.0,955.0,6.0,3.0,384.0,5.0,48.0,0.0,1.0,439.0,102.0,83.0,6.0,1630459168.0,0.62,0.55,1.0,1865003856.0,1137766063.0,28.0,1.0,826.0,1.0,22.0,2.0,206.0,4.0,216.5
1.0,980.0,4.0,2.0,384.0,8.0,58.0,1.0,1.0,329.0,122.0,84.0,8.0,1909996507.0,0.79,0.57,0.0,1382553018.0,1485223326.0,67.0,1.0,709.0,0.0,36.0,5.0,329.0,3.0,213.128
1.0,647.0,6.0,3.0,620.0,4.0,34.0,0.0,0.0,274.0,32.0,102.0,7.0,1589848386.0,0.88,0.62,0.0,1417556296.0,1504123473.0,48.0,0.0,733.0,1.0,27.0,5.0,191.0,4.0,252.467
1.0,781.0,6.0,3.0,394.0,5.0,63.0,1.0,1.0,382.0,93.0,88.0,10.0,1596595712.0,0.82,0.86,1.0,1278646784.0,1244080512.0,27.0,1.0,647.0,1.0,18.0,5.0,206.0,3.0,215.932
1.0,786.0,6.0,3.0,415.0,5.0,60.0,1.0,1.0,384.0,90.0,88.0,10.0,1594771072.0,0.8,0.82,1.0,1317594880.0,1258306048.0,28.0,1.0,644.0,1.0,20.0,5.0,211.0,3.0,260.752
1.0,793.0,6.0,3.0,478.0,5.0,59.0,1.0,1.0,377.0,81.0,85.0,9.0,1624964608.0,0.74,0.78,1.0,1405624576.0,1382876288.0,32.0,1.0,668.0,1.0,22.0,4.0,215.0,3.0,259.792
1.0,579.0,4.0,2.0,419.0,7.0,35.0,0.0,0.0,289.0,97.0,105.0,8.0,1122837585.0,0.55,0.64,0.0,1086377582.0,1183980390.0,39.0,0.0,618.0,0.0,34.0,4.0,348.0,3.0,238.278
1.0,972.0,5.0,2.0,510.0,5.0,52.0,1.0,0.0,325.0,128.0,75.0,10.0,1441686691.0,0.54,0.61,0.0,1961157298.0,1216987052.0,30.0,1.0,606.0,0.0,36.0,3.0,313.0,2.0,258.936
1.0,660.0,3.0,1.0,384.0,8.0,33.0,0.0,1.0,313.0,85.0,74.0,6.0,1294850398.0,0.55,0.88,0.0,2010963189.0,1661303558.0,43.0,1.0,873.0,1.0,45.0,2.0,162.0,1.0,304.839
1.0,986.0,4.0,2.0,391.0,8.0,58.0,1.0,1.0,339.0,122.0,82.0,8.0,1937654784.0,0.79,0.57,0.0,1406290048.0,1499760384.0,68.0,0.0,711.0,0.0,35.0,5.0,322.0,3.0,213.58
