spark.executor.cores,spark.kryoserializer.buffer,runtime
3.0,95.0,254.282165951199
1.0,120.0,254.282165951199
2.0,77.0,254.282165951199
2.0,73.0,254.282165951199
2.0,69.0,254.282165951199
3.0,56.0,254.282165951199
4.0,56.0,254.282165951199
3.0,54.0,254.282165951199
3.0,56.0,254.282165951199
1.0,117.0,254.282165951199
3.0,80.0,254.282165951199
3.0,68.0,254.282165951199
1.0,76.0,254.282165951199
1.0,79.0,254.282165951199
1.0,77.0,254.282165951199
1.0,74.0,254.282165951199
1.0,77.0,254.282165951199
1.0,74.0,254.282165951199
1.0,77.0,254.282165951199
1.0,65.0,254.282165951199
1.0,76.0,254.282165951199
1.0,76.0,254.282165951199
1.0,77.0,254.282165951199
1.0,77.0,254.282165951199
4.0,35.0,254.282165951199
1.0,74.0,254.282165951199
1.0,74.0,254.282165951199
1.0,63.0,254.282165951199
1.0,62.0,254.282165951199
1.0,63.0,254.282165951199
