spark.executor.cores,spark.shuffle.io.numConnectionsPerPeer,spark.broadcast.compress,spark.executor.instances,spark.executor.memory,spark.memory.offHeap.size,spark.memory.storageFraction,runtime
2.0,4.0,0.0,8.0,5.0,0.0,0.5952380952380952,305.05545
4.0,4.0,0.0,6.0,5.0,0.0,0.5952380952380952,305.0433
3.0,4.0,0.0,8.0,7.0,8.0,0.5952380952380952,304.97324
4.0,4.0,1.0,6.0,7.0,8.0,0.5952380952380952,304.9595
3.0,4.0,0.0,6.0,7.0,0.0,0.5952380952380952,304.9595
3.0,5.0,1.0,6.0,7.0,0.0,0.5952380952380952,304.9595
1.0,5.0,1.0,6.0,7.0,0.0,0.5952380952380952,304.9595
4.0,4.0,0.0,6.0,7.0,0.0,0.5952380952380952,304.9595
3.0,3.0,1.0,5.0,7.0,128.0,0.5952380952380952,304.9595
4.0,4.0,0.0,5.0,7.0,256.0,0.5952380952380952,304.9595
1.0,5.0,1.0,6.0,7.0,0.0,0.5952380952380952,304.9595
2.0,4.0,1.0,6.0,7.0,0.0,0.5952380952380952,304.9595
4.0,4.0,1.0,6.0,7.0,64.0,0.5952380952380952,304.9595
4.0,5.0,0.0,6.0,7.0,0.0,0.5952380952380952,304.9595
1.0,4.0,1.0,6.0,7.0,0.0,0.5952380952380952,304.9595
3.0,4.0,1.0,6.0,7.0,0.0,0.5952380952380952,304.9595
2.0,4.0,1.0,6.0,7.0,130.0,0.5952380952380952,304.9595
4.0,3.0,0.0,5.0,7.0,64.0,0.5952380952380952,304.9595
4.0,3.0,0.0,6.0,7.0,34.0,0.5952380952380952,304.9595
2.0,5.0,0.0,5.0,7.0,2.0,0.5952380952380952,304.9595
4.0,4.0,1.0,6.0,7.0,2.0,0.5952380952380952,304.9595
4.0,3.0,1.0,6.0,7.0,330.0,0.5952380952380952,304.9595
1.0,4.0,1.0,6.0,7.0,36.0,0.5952380952380952,304.9595
2.0,4.0,1.0,4.0,7.0,128.0,0.5952380952380952,304.9595
4.0,5.0,0.0,6.0,7.0,546.0,0.5952380952380952,304.9595
2.0,4.0,0.0,5.0,7.0,32.0,0.5952380952380952,304.9595
3.0,4.0,0.0,4.0,7.0,32.0,0.5952380952380952,304.9595
4.0,3.0,0.0,5.0,7.0,100.0,0.5952380952380952,304.9595
2.0,5.0,1.0,4.0,7.0,321.0,0.5952380952380952,304.9595
1.0,3.0,1.0,5.0,7.0,320.0,0.5761904761904761,304.9595
