spark.executor.memory,spark.default.parallelism,spark.memory.storageFraction,spark.executor.cores,spark.executor.instances,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.shuffle.sort.bypassMergeThreshold,runtime
6.0,307.0,0.607936507936508,3.0,6.0,126.0,39.0,243.0,214.91041666666672
7.0,252.0,0.626984126984127,2.0,8.0,61.0,37.0,205.0,214.91041666666672
6.0,290.0,0.6015873015873016,3.0,6.0,74.0,38.0,205.0,214.91041666666672
6.0,331.0,0.6333333333333333,1.0,6.0,61.0,36.0,205.0,214.91041666666672
6.0,330.0,0.6396825396825396,3.0,7.0,46.0,38.0,205.0,214.91041666666672
6.0,256.0,0.734920634920635,4.0,5.0,71.0,39.0,155.0,214.91041666666672
7.0,431.0,0.5507936507936508,1.0,8.0,74.0,37.0,205.0,214.91041666666672
5.0,499.0,0.5761904761904761,1.0,6.0,74.0,37.0,205.0,214.91041666666672
7.0,273.0,0.7730158730158729,2.0,8.0,58.0,39.0,206.0,214.91041666666672
7.0,206.0,0.7285714285714285,1.0,8.0,56.0,36.0,206.0,214.91041666666672
6.0,431.0,0.5,2.0,4.0,74.0,44.0,155.0,214.91041666666672
6.0,432.0,0.6460317460317461,3.0,5.0,74.0,44.0,155.0,214.91041666666672
5.0,428.0,0.7285714285714285,3.0,6.0,92.0,37.0,181.0,214.91041666666672
6.0,218.0,0.7603174603174603,2.0,8.0,68.0,37.0,155.0,214.91041666666672
5.0,408.0,0.5,3.0,6.0,99.0,37.0,206.0,214.91041666666672
7.0,398.0,0.5126984126984127,3.0,4.0,73.0,36.0,153.0,214.91041666666672
6.0,450.0,0.5507936507936508,4.0,5.0,64.0,36.0,167.0,214.91041666666672
6.0,459.0,0.8746031746031746,1.0,4.0,71.0,36.0,161.0,214.91041666666672
6.0,307.0,0.8174603174603174,3.0,5.0,75.0,36.0,161.0,214.91041666666672
7.0,391.0,0.5,3.0,5.0,79.0,36.0,155.0,214.91041666666672
7.0,320.0,0.9,4.0,4.0,75.0,39.0,230.0,214.91041666666672
6.0,493.0,0.5571428571428572,3.0,5.0,61.0,36.0,155.0,214.91041666666672
5.0,277.0,0.9,2.0,5.0,79.0,44.0,155.0,214.91041666666672
6.0,216.0,0.734920634920635,4.0,7.0,73.0,37.0,216.0,214.91041666666672
5.0,371.0,0.7095238095238096,4.0,5.0,59.0,44.0,214.0,214.91041666666672
6.0,302.0,0.8555555555555556,2.0,7.0,121.0,36.0,199.0,214.91041666666672
6.0,289.0,0.8111111111111111,1.0,5.0,95.0,38.0,211.0,214.91041666666672
5.0,290.0,0.861904761904762,1.0,7.0,71.0,44.0,161.0,214.91041666666672
5.0,301.0,0.5952380952380952,4.0,5.0,117.0,37.0,192.0,214.91041666666672
5.0,452.0,0.5698412698412698,4.0,5.0,117.0,37.0,172.0,214.91041666666672
