spark.executor.cores,spark.executor.instances,runtime
2.0,8.0,214.01102
3.0,8.0,214.01102
2.0,8.0,214.01102
3.0,8.0,214.01102
3.0,8.0,214.01102
4.0,8.0,214.01102
4.0,8.0,214.01102
3.0,8.0,214.01102
3.0,8.0,214.01102
2.0,8.0,214.01102
3.0,8.0,214.01102
2.0,8.0,214.01102
4.0,8.0,214.01102
4.0,8.0,214.01102
2.0,8.0,214.01102
2.0,8.0,214.01102
4.0,8.0,214.01102
3.0,8.0,214.01102
4.0,8.0,214.01102
4.0,8.0,214.01102
3.0,8.0,214.01102
3.0,8.0,214.01102
3.0,8.0,214.01102
3.0,8.0,214.01102
2.0,8.0,214.01102
4.0,8.0,214.01102
3.0,8.0,214.01102
3.0,8.0,214.01102
3.0,8.0,214.01102
3.0,8.0,214.01102
