spark.memory.fraction,spark.scheduler.revive.interval,spark.executor.memoryOverhead,spark.shuffle.sort.bypassMergeThreshold,spark.executor.instances,spark.reducer.maxBlocksInFlightPerAddress,spark.kryoserializer.buffer.max,spark.reducer.maxSizeInFlight,spark.reducer.maxReqsInFlight,spark.maxRemoteBlockSizeFetchToMem,runtime
0.7095238095238096,510.0,384.0,188.0,5.0,1625752830.0,32.0,61.0,1917350354.0,1559216093.0,267.71727174548045
0.8936507936507936,969.0,459.0,214.0,4.0,1174288840.0,80.0,30.0,1990180837.0,1629739542.0,268.83393670390785
0.626984126984127,766.0,384.0,188.0,5.0,1625752830.0,32.0,61.0,1917329792.0,1610761601.0,268.83393670390785
0.8809523809523809,962.0,454.0,233.0,4.0,1357895550.0,97.0,42.0,1575206910.0,1600121993.0,271.6081906193488
0.6460317460317461,757.0,807.0,225.0,8.0,1784661246.0,32.0,61.0,1917329792.0,1610761729.0,268.83393670390785
0.753968253968254,729.0,825.0,233.0,6.0,1168178046.0,80.0,32.0,1588641790.0,1600086527.0,271.6081906193488
0.6206349206349207,523.0,805.0,188.0,5.0,1785136382.0,32.0,61.0,1917349376.0,1575113228.0,267.71727174548045
0.8809523809523809,962.0,454.0,234.0,4.0,1402600194.0,92.0,35.0,1303433854.0,1610463079.0,271.6081906193488
0.5190476190476191,538.0,804.0,232.0,6.0,2053097984.0,65.0,61.0,1917349376.0,1485980821.0,267.71727174548045
0.8809523809523809,962.0,454.0,234.0,4.0,1436563838.0,80.0,32.0,1968624254.0,1601026185.0,268.83393670390785
0.5190476190476191,538.0,807.0,229.0,6.0,2018116860.0,69.0,52.0,1917329792.0,1610761623.0,267.71727174548045
0.8238095238095238,717.0,778.0,271.0,6.0,1203256064.0,97.0,44.0,1968231038.0,1601039113.0,272.45765212001857
0.5190476190476191,538.0,807.0,229.0,6.0,2028410624.0,63.0,52.0,1924083072.0,1620198781.0,267.71727174548045
0.8238095238095238,717.0,778.0,271.0,6.0,1203256318.0,97.0,44.0,1968231038.0,1602071305.0,272.45765212001857
0.5190476190476191,538.0,807.0,232.0,8.0,1625801982.0,63.0,52.0,1254629760.0,1610761623.0,268.88790425653605
0.8809523809523809,962.0,453.0,268.0,4.0,1595468544.0,128.0,32.0,1968231038.0,1601022849.0,272.45765212001857
0.5190476190476191,538.0,730.0,229.0,6.0,2017924864.0,32.0,64.0,1252601216.0,1619150229.0,268.88790425653605
0.8809523809523809,962.0,457.0,271.0,6.0,1192814846.0,97.0,44.0,1968624254.0,1610460031.0,272.45765212001857
0.5190476190476191,507.0,730.0,232.0,8.0,1783088256.0,63.0,52.0,1246309760.0,1610761623.0,268.88790425653605
0.8809523809523809,993.0,473.0,268.0,4.0,1429852670.0,128.0,32.0,1968627326.0,1602087665.0,272.45765212001857
0.5190476190476191,538.0,730.0,232.0,6.0,1783088256.0,32.0,64.0,1246309760.0,1610761623.0,268.88790425653605
0.8809523809523809,962.0,457.0,271.0,6.0,1192770430.0,121.0,44.0,1968624254.0,1610463103.0,272.45765212001857
0.5190476190476191,538.0,788.0,232.0,8.0,1617423490.0,63.0,52.0,1252598144.0,1620198805.0,268.88790425653605
0.8809523809523809,993.0,457.0,271.0,6.0,1192770430.0,128.0,32.0,1974915710.0,1601025897.0,272.45765212001857
0.5190476190476191,507.0,804.0,232.0,6.0,1793529726.0,63.0,52.0,1246306688.0,1610761615.0,268.88790425653605
0.8809523809523809,962.0,457.0,268.0,6.0,1436029246.0,97.0,44.0,1968627326.0,1610463079.0,272.45765212001857
0.5190476190476191,507.0,730.0,229.0,6.0,2061964416.0,39.0,52.0,1252601216.0,1610761623.0,268.88790425653605
0.8809523809523809,993.0,469.0,268.0,4.0,1438137214.0,128.0,32.0,1968624254.0,1610463079.0,272.45765212001857
0.5190476190476191,507.0,726.0,232.0,6.0,1793528990.0,63.0,52.0,1252601216.0,1610761623.0,268.88790425653605
0.8809523809523809,962.0,457.0,271.0,6.0,1159261054.0,128.0,32.0,1974915710.0,1610463079.0,272.45765212001857
