spark.executor.cores,spark.executor.memory,spark.shuffle.io.numConnectionsPerPeer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.kryoserializer.buffer.max,spark.maxRemoteBlockSizeFetchToMem,spark.memory.storageFraction,spark.kryoserializer.buffer,spark.executor.instances,spark.memory.offHeap.size,spark.executor.memoryOverhead,spark.locality.wait,spark.reducer.maxReqsInFlight,spark.broadcast.blockSize,spark.shuffle.file.buffer,spark.memory.fraction,spark.shuffle.sort.bypassMergeThreshold,spark.broadcast.checksum,spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.memory.offHeap.enabled,spark.broadcast.compress,spark.storage.memoryMapThreshold,spark.shuffle.compress,spark.scheduler.mode,spark.rdd.compress,runtime
2.0,4.0,2.0,1898122589.0,355.0,49.0,1954837750.0,0.5571428571428572,108.0,5.0,0.0,384.0,7.0,2143729355.0,45.0,39.0,0.5952380952380952,350.0,1.0,51.0,591.0,0.0,1.0,4.0,0.0,1.0,0.0,242.35648999999998
4.0,6.0,1.0,1898646876.0,356.0,49.0,1954864374.0,0.5571428571428572,108.0,5.0,0.0,449.0,5.0,1646180096.0,54.0,24.0,0.6460317460317461,232.0,1.0,51.0,779.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
2.0,7.0,2.0,1890662400.0,348.0,44.0,1100976445.0,0.626984126984127,74.0,8.0,1.0,458.0,5.0,1766437891.0,61.0,37.0,0.5952380952380952,350.0,1.0,51.0,841.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
1.0,6.0,2.0,1630963195.0,388.0,48.0,1887492663.0,0.5698412698412698,77.0,8.0,0.0,392.0,5.0,1646032256.0,45.0,38.0,0.5952380952380952,350.0,1.0,51.0,843.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
1.0,5.0,2.0,1974125979.0,356.0,49.0,2023766671.0,0.8873015873015873,127.0,8.0,0.0,808.0,7.0,1273057539.0,51.0,26.0,0.5761904761904761,237.0,1.0,51.0,591.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
4.0,6.0,2.0,2049351130.0,383.0,101.0,1887984183.0,0.5698412698412698,100.0,6.0,2.0,808.0,7.0,1273877920.0,40.0,47.0,0.5698412698412698,279.0,1.0,63.0,843.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
3.0,5.0,2.0,1768068603.0,388.0,48.0,1343065819.0,0.5253968253968254,85.0,7.0,0.0,481.0,8.0,1744916755.0,51.0,26.0,0.5761904761904761,237.0,1.0,51.0,591.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
3.0,6.0,2.0,1619151107.0,351.0,55.0,1756368494.0,0.5126984126984127,77.0,8.0,2.0,497.0,8.0,1753305355.0,51.0,26.0,0.5952380952380952,237.0,1.0,51.0,591.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
4.0,5.0,3.0,1901214043.0,374.0,108.0,2046842881.0,0.5698412698412698,100.0,5.0,1.0,815.0,7.0,1274593370.0,51.0,25.0,0.5952380952380952,312.0,1.0,57.0,591.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
4.0,7.0,3.0,2065952172.0,364.0,122.0,2038703877.0,0.8873015873015873,124.0,6.0,21.0,808.0,7.0,1273837788.0,40.0,47.0,0.5698412698412698,279.0,1.0,63.0,843.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
4.0,5.0,3.0,1911495962.0,360.0,114.0,2046893056.0,0.7984126984126985,52.0,4.0,2.0,808.0,7.0,1810683018.0,51.0,25.0,0.5952380952380952,312.0,1.0,57.0,591.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
3.0,5.0,3.0,1901107529.0,365.0,85.0,2038582243.0,0.5317460317460317,124.0,6.0,21.0,682.0,8.0,1745696860.0,40.0,38.0,0.7730158730158729,289.0,1.0,57.0,591.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
2.0,5.0,3.0,2036230765.0,375.0,60.0,1899509798.0,0.8873015873015873,100.0,7.0,21.0,808.0,7.0,1274593626.0,44.0,47.0,0.5952380952380952,325.0,1.0,57.0,528.0,0.0,1.0,4.0,0.0,1.0,0.0,241.49080999999998
3.0,5.0,2.0,1601929489.0,374.0,86.0,1249914558.0,0.5698412698412698,52.0,5.0,0.0,792.0,7.0,1206766798.0,52.0,27.0,0.5952380952380952,312.0,1.0,69.0,590.0,0.0,1.0,4.0,0.0,1.0,1.0,241.49080999999998
3.0,7.0,2.0,1635488019.0,384.0,98.0,1082142440.0,0.5698412698412698,98.0,5.0,4.0,792.0,6.0,1198340812.0,48.0,47.0,0.5952380952380952,325.0,1.0,55.0,621.0,0.0,1.0,4.0,0.0,1.0,1.0,241.49080999999998
1.0,5.0,3.0,1778356258.0,386.0,105.0,2114479056.0,0.5190476190476191,97.0,5.0,16.0,790.0,6.0,1198357468.0,48.0,47.0,0.5952380952380952,325.0,1.0,55.0,621.0,0.0,1.0,4.0,0.0,1.0,1.0,241.49080999999998
1.0,5.0,2.0,1434181922.0,383.0,95.0,1367346788.0,0.5571428571428572,123.0,6.0,28.0,753.0,7.0,1747013971.0,44.0,38.0,0.5952380952380952,279.0,1.0,61.0,843.0,0.0,1.0,4.0,0.0,1.0,1.0,241.10967
2.0,5.0,2.0,1434120481.0,421.0,95.0,1082271304.0,0.5571428571428572,123.0,6.0,28.0,753.0,7.0,2015449427.0,44.0,38.0,0.5952380952380952,279.0,1.0,61.0,843.0,0.0,1.0,4.0,0.0,1.0,1.0,241.1582
3.0,5.0,2.0,1810857141.0,377.0,80.0,2065342815.0,0.5507936507936508,123.0,6.0,28.0,753.0,7.0,2015385026.0,45.0,38.0,0.5952380952380952,319.0,1.0,61.0,843.0,0.0,1.0,4.0,0.0,1.0,1.0,241.10967
3.0,6.0,3.0,1522489680.0,357.0,68.0,2069536606.0,0.5507936507936508,123.0,6.0,28.0,769.0,7.0,1256559789.0,48.0,38.0,0.6968253968253968,319.0,1.0,71.0,843.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
3.0,6.0,3.0,1522358608.0,357.0,68.0,2069769501.0,0.5634920634920635,123.0,6.0,28.0,522.0,7.0,1256559789.0,48.0,38.0,0.6968253968253968,319.0,1.0,71.0,843.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
1.0,6.0,2.0,2004049851.0,386.0,36.0,1665306078.0,0.7730158730158729,96.0,6.0,28.0,759.0,5.0,1526545892.0,61.0,39.0,0.5952380952380952,281.0,1.0,35.0,843.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
3.0,7.0,2.0,2004047803.0,386.0,36.0,1128435285.0,0.8746031746031746,96.0,6.0,28.0,759.0,5.0,1526545892.0,61.0,37.0,0.5444444444444444,281.0,1.0,35.0,843.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
3.0,6.0,2.0,1123873248.0,381.0,56.0,1175724146.0,0.5634920634920635,123.0,5.0,28.0,520.0,7.0,1256296705.0,36.0,39.0,0.5952380952380952,268.0,1.0,71.0,969.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
3.0,6.0,2.0,1123872992.0,381.0,56.0,1175724144.0,0.5634920634920635,123.0,6.0,28.0,755.0,6.0,1256296705.0,36.0,39.0,0.5952380952380952,268.0,1.0,71.0,969.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
4.0,6.0,3.0,1255864688.0,363.0,71.0,2021932041.0,0.5825396825396826,92.0,6.0,28.0,767.0,7.0,1258142556.0,33.0,46.0,0.5952380952380952,306.0,1.0,35.0,961.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
3.0,7.0,2.0,1375295161.0,357.0,68.0,1633298339.0,0.5698412698412698,97.0,7.0,28.0,636.0,10.0,1256298753.0,40.0,39.0,0.5952380952380952,319.0,1.0,71.0,969.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
1.0,6.0,1.0,1481451979.0,378.0,59.0,1619234334.0,0.5190476190476191,97.0,7.0,28.0,636.0,10.0,1256553927.0,61.0,37.0,0.5444444444444444,347.0,1.0,70.0,969.0,0.0,0.0,4.0,0.0,1.0,0.0,241.10967
1.0,6.0,2.0,1358770874.0,353.0,74.0,1633652253.0,0.861904761904762,97.0,8.0,28.0,636.0,10.0,1123129611.0,40.0,39.0,0.5952380952380952,319.0,1.0,70.0,969.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
1.0,7.0,4.0,1346161130.0,363.0,105.0,1163439139.0,0.5698412698412698,35.0,5.0,25.0,389.0,10.0,1123129483.0,40.0,39.0,0.5952380952380952,319.0,1.0,70.0,969.0,0.0,1.0,4.0,0.0,1.0,0.0,241.10967
