spark.executor.memory,spark.shuffle.io.numConnectionsPerPeer,spark.executor.instances,runtime
7.0,5.0,6.0,225.23215
6.0,5.0,4.0,219.05766
6.0,5.0,8.0,219.05766
6.0,5.0,7.0,219.05766
6.0,5.0,8.0,219.05766
6.0,5.0,4.0,219.05766
7.0,5.0,4.0,225.23215
6.0,5.0,4.0,219.05766
6.0,5.0,6.0,219.05766
6.0,5.0,6.0,219.05766
6.0,5.0,4.0,219.05766
6.0,5.0,6.0,219.05766
6.0,5.0,7.0,219.05766
6.0,5.0,8.0,219.05766
6.0,5.0,8.0,219.05766
6.0,5.0,5.0,219.05766
6.0,5.0,5.0,219.05766
6.0,5.0,6.0,219.05766
6.0,5.0,5.0,219.05766
6.0,5.0,6.0,219.05766
6.0,5.0,4.0,219.05766
6.0,5.0,8.0,219.05766
6.0,2.0,5.0,228.08614
6.0,2.0,7.0,228.08614
6.0,5.0,6.0,219.05766
7.0,5.0,5.0,225.23215
6.0,2.0,7.0,228.08614
6.0,3.0,4.0,228.08614
6.0,5.0,6.0,219.05766
6.0,1.0,6.0,228.08614
