spark.executor.cores,spark.executor.memory,spark.kryoserializer.buffer.max,spark.reducer.maxBlocksInFlightPerAddress,spark.memory.storageFraction,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.executor.instances,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.sort.bypassMergeThreshold,spark.shuffle.io.numConnectionsPerPeer,spark.kryoserializer.buffer,spark.memory.fraction,spark.broadcast.blockSize,spark.executor.memoryOverhead,spark.storage.memoryMapThreshold,spark.shuffle.file.buffer,spark.memory.offHeap.size,spark.locality.wait,spark.default.parallelism,spark.scheduler.revive.interval,spark.broadcast.checksum,spark.broadcast.compress,spark.shuffle.compress,spark.scheduler.mode,spark.memory.offHeap.enabled,spark.rdd.compress,runtime
3.0,6.0,126.0,1085153271.0,0.607936507936508,1768916002.0,53.0,6.0,1334243553.0,243.0,4.0,95.0,0.7857142857142857,39.0,497.0,4.0,46.0,934.0,4.0,307.0,744.0,1.0,1.0,0.0,0.0,1.0,0.0,300.603
1.0,4.0,33.0,2124343378.0,0.626984126984127,1615427168.0,54.0,7.0,1637789823.0,228.0,4.0,74.0,0.6460317460317461,57.0,507.0,2.0,29.0,616.0,5.0,357.0,776.0,1.0,0.0,0.0,0.0,1.0,0.0,300.603
2.0,3.0,83.0,1527209092.0,0.5952380952380952,1935647766.0,45.0,8.0,1794728111.0,221.0,5.0,80.0,0.6396825396825396,57.0,384.0,2.0,33.0,1008.0,6.0,387.0,504.0,1.0,1.0,0.0,0.0,1.0,0.0,300.603
2.0,4.0,34.0,1653529088.0,0.8682539682539683,1782666929.0,61.0,7.0,1535668523.0,206.0,5.0,113.0,0.5380952380952381,54.0,430.0,2.0,36.0,0.0,7.0,431.0,903.0,0.0,0.0,1.0,1.0,0.0,0.0,300.603
2.0,6.0,81.0,1541295335.0,0.5571428571428572,2005502600.0,66.0,5.0,2145345628.0,225.0,4.0,74.0,0.6333333333333333,58.0,631.0,4.0,21.0,0.0,5.0,417.0,923.0,0.0,0.0,0.0,0.0,0.0,1.0,300.603
3.0,5.0,61.0,1218408379.0,0.5380952380952381,1132085512.0,70.0,6.0,1708100105.0,268.0,1.0,46.0,0.8492063492063492,34.0,540.0,3.0,34.0,0.0,5.0,341.0,766.0,1.0,0.0,0.0,1.0,0.0,0.0,300.603
4.0,4.0,112.0,1118499718.0,0.6841269841269841,1575566784.0,42.0,5.0,1608261347.0,167.0,1.0,95.0,0.5317460317460317,58.0,384.0,4.0,21.0,0.0,5.0,417.0,923.0,0.0,0.0,0.0,0.0,0.0,1.0,300.603
1.0,4.0,65.0,2048990493.0,0.6015873015873016,1133058795.0,51.0,8.0,1972547764.0,220.0,4.0,61.0,0.7095238095238096,59.0,416.0,2.0,25.0,0.0,5.0,417.0,923.0,0.0,0.0,0.0,0.0,0.0,1.0,300.603
4.0,3.0,62.0,1852083336.0,0.5190476190476191,1825801240.0,42.0,4.0,2010089922.0,343.0,1.0,73.0,0.8746031746031746,53.0,384.0,1.0,17.0,0.0,4.0,342.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,300.603
4.0,5.0,33.0,1230239684.0,0.7920634920634921,1988987047.0,42.0,5.0,2144280737.0,267.0,3.0,112.0,0.6333333333333333,45.0,507.0,3.0,34.0,0.0,4.0,267.0,784.0,1.0,1.0,0.0,1.0,0.0,0.0,300.603
1.0,3.0,33.0,1455923170.0,0.5634920634920635,1200139371.0,51.0,4.0,2002530883.0,268.0,1.0,93.0,0.7793650793650794,34.0,538.0,2.0,33.0,1008.0,9.0,387.0,672.0,0.0,0.0,0.0,1.0,0.0,0.0,300.603
