spark.executor.memory,spark.executor.cores,spark.executor.instances,spark.reducer.maxBlocksInFlightPerAddress,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,runtime
5.0,2.0,8.0,1863329920.0,1632619647.0,0.6396825396825396,208.01590330275565
5.0,3.0,8.0,1084626454.0,1590436584.0,0.5063492063492063,196.69604458789658
6.0,3.0,8.0,1091159667.0,1591485160.0,0.5063492063492063,195.9409443453131
5.0,3.0,8.0,1091166835.0,1591485160.0,0.5063492063492063,196.69604458789658
6.0,3.0,8.0,1219233389.0,1433658634.0,0.5063492063492063,200.60935702016945
4.0,3.0,8.0,1074526226.0,1612955871.0,0.5063492063492063,196.69604458789658
4.0,3.0,8.0,1100868540.0,1576230824.0,0.5063492063492063,197.36787451953506
6.0,4.0,8.0,1412627802.0,1590273220.0,0.5063492063492063,199.16416852572274
6.0,2.0,8.0,1412648827.0,1590527300.0,0.5063492063492063,199.99769811914535
7.0,4.0,8.0,1412548549.0,1219110742.0,0.5126984126984127,199.2974592208418
6.0,2.0,8.0,1412758996.0,1485317883.0,0.5126984126984127,200.9646307727213
7.0,4.0,8.0,1085274350.0,1550878098.0,0.5,196.634041793397
7.0,4.0,8.0,1085269667.0,1349559745.0,0.5,194.51269552339045
5.0,4.0,8.0,1085468045.0,1482646946.0,0.5,197.66297724147253
7.0,4.0,8.0,1085468032.0,1533617343.0,0.5,196.634041793397
6.0,4.0,8.0,1868848741.0,1219632967.0,0.5063492063492063,202.11099552146547
5.0,3.0,8.0,1324859528.0,1514614541.0,0.5,205.4508084148229
5.0,3.0,8.0,1168533329.0,1187233548.0,0.5063492063492063,195.24652824952852
4.0,4.0,8.0,1168536016.0,1276890559.0,0.5,195.24652824952852
5.0,3.0,8.0,1101230450.0,1276890543.0,0.5,195.24652824952852
7.0,4.0,8.0,1101607282.0,1276888504.0,0.5,194.51269552339045
6.0,2.0,8.0,1169495890.0,1293666635.0,0.5,195.65437407086944
4.0,4.0,8.0,1101624498.0,1278996206.0,0.5,195.24652824952852
7.0,4.0,7.0,1109944100.0,1278944718.0,0.5063492063492063,200.84271867659206
5.0,3.0,7.0,1110144176.0,1142678001.0,0.5063492063492063,201.57655140273013
5.0,2.0,8.0,1369506164.0,1076611105.0,0.5,204.16916526161071
6.0,2.0,7.0,1134625139.0,1109430047.0,0.5,201.98439722407105
6.0,4.0,8.0,1268842620.0,1107865391.0,0.8047619047619048,202.14370270504193
4.0,4.0,7.0,1174288937.0,1243787007.0,0.5,201.57655140273013
4.0,3.0,7.0,1103550295.0,1364043686.0,0.5,201.57655140273013
