spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.shuffle.compress,runtime
14.0,7.0,1691.0,110.0,1.0,255.68325000000004
12.0,6.0,1590.0,121.0,1.0,256.95126000000016
14.0,7.0,1684.0,116.0,1.0,257.38989999999995
14.0,7.0,1716.0,126.0,1.0,255.02316000000002
12.0,7.0,1728.0,126.0,1.0,256.0485700000001
12.0,7.0,1713.0,127.0,1.0,257.29816000000017
11.0,6.0,1688.0,113.0,1.0,257.4168800000001
14.0,7.0,1728.0,111.0,1.0,255.68325000000004
12.0,6.0,1553.0,125.0,1.0,255.5719900000002
12.0,6.0,1533.0,125.0,1.0,256.84013000000016
13.0,7.0,1704.0,124.0,1.0,254.71867000000017
14.0,7.0,1253.0,123.0,1.0,256.55935999999997
12.0,7.0,1693.0,114.0,1.0,258.59365
11.0,7.0,1704.0,126.0,1.0,259.0635200000001
14.0,7.0,1688.0,125.0,1.0,255.53391
13.0,6.0,1474.0,116.0,1.0,259.5118499999999
12.0,6.0,1257.0,125.0,1.0,256.33906000000013
12.0,6.0,1589.0,125.0,1.0,256.3751500000002
13.0,6.0,1555.0,118.0,1.0,255.47211000000013
12.0,6.0,1716.0,118.0,1.0,257.01745000000005
13.0,6.0,1580.0,118.0,1.0,255.47211000000013
14.0,6.0,1576.0,120.0,1.0,255.65449000000018
13.0,6.0,1667.0,120.0,1.0,254.82497000000018
12.0,6.0,1744.0,126.0,1.0,255.61476000000016
13.0,6.0,1676.0,120.0,1.0,254.82497000000018
14.0,6.0,1452.0,121.0,1.0,258.0870700000001
11.0,7.0,1688.0,111.0,1.0,257.5462600000001
14.0,6.0,860.0,51.0,1.0,261.26079000000004
13.0,7.0,1281.0,126.0,1.0,256.48765000000026
14.0,7.0,1753.0,123.0,1.0,255.83156000000002
