spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,spark.sql.shuffle.partitions,spark.sql.autoBroadcastJoinThreshold,spark.sql.inMemoryColumnarStorage.batchSize,spark.sql.inMemoryColumnarStorage.compressed,runtime
1.0,628.0,4.0,2.0,384.0,7.0,49.0,1.0,0.0,224.0,59.0,69.0,10.0,1227834553.0,0.69,0.62,1.0,1844455627.0,51.0,544.0,40.0,2.0,192.0,2.0,274.0,10791591.0,6820.0,1.0,1924.0
0.0,0.0,7.0,3.0,835.0,4.0,56.0,1.0,0.0,461.0,48.0,63.0,9.0,2081218485.0,0.85,0.56,0.0,1853304688.0,49.0,559.0,17.0,3.0,185.0,3.0,258.0,9466642.0,13253.0,1.0,1764.0
1.0,990.0,5.0,2.0,518.0,6.0,63.0,1.0,1.0,435.0,103.0,118.0,10.0,1793330031.0,0.52,0.57,0.0,1705565943.0,60.0,704.0,45.0,2.0,295.0,4.0,251.0,15549461.0,14867.0,0.0,1525.0
0.0,0.0,6.0,2.0,602.0,6.0,46.0,1.0,0.0,312.0,75.0,100.0,7.0,1805985280.0,0.67,0.66,1.0,1708320000.0,57.0,785.0,35.0,1.0,247.0,2.0,297.0,12464516.0,12058.0,0.0,2778.0
0.0,0.0,6.0,2.0,594.0,6.0,46.0,1.0,0.0,316.0,73.0,98.0,7.0,1765074688.0,0.66,0.66,1.0,1739513728.0,56.0,782.0,36.0,1.0,252.0,2.0,290.0,12671205.0,12031.0,0.0,2528.0
0.0,0.0,5.0,2.0,617.0,6.0,46.0,1.0,0.0,324.0,71.0,93.0,7.0,1769842432.0,0.67,0.69,1.0,1691703552.0,56.0,767.0,34.0,1.0,250.0,2.0,301.0,11662314.0,10759.0,0.0,2562.0
1.0,604.0,3.0,1.0,384.0,6.0,52.0,1.0,1.0,489.0,73.0,49.0,8.0,1202153945.0,0.82,0.76,0.0,1520917673.0,44.0,893.0,17.0,2.0,218.0,3.0,256.0,12193662.0,5987.0,0.0,2295.0
1.0,892.0,3.0,1.0,384.0,6.0,54.0,0.0,0.0,271.0,41.0,75.0,10.0,1189127367.0,0.61,0.52,0.0,1703661115.0,68.0,655.0,21.0,1.0,260.0,1.0,390.0,7390386.0,13873.0,0.0,2785.0
0.0,0.0,4.0,2.0,384.0,6.0,38.0,1.0,0.0,310.0,34.0,73.0,4.0,1137838443.0,0.51,0.57,0.0,1662568566.0,58.0,507.0,17.0,1.0,257.0,4.0,283.0,7783647.0,6347.0,0.0,2014.0
1.0,851.0,5.0,2.0,574.0,6.0,54.0,1.0,1.0,384.0,88.0,96.0,8.0,1685793024.0,0.61,0.65,0.0,1651262720.0,56.0,725.0,38.0,2.0,269.0,3.0,292.0,12602896.0,12151.0,0.0,1807.0
1.0,855.0,5.0,2.0,592.0,6.0,55.0,1.0,1.0,382.0,90.0,98.0,8.0,1698436352.0,0.64,0.65,0.0,1632263168.0,58.0,723.0,38.0,2.0,264.0,3.0,289.0,12758954.0,11700.0,0.0,1595.0
1.0,860.0,5.0,2.0,602.0,6.0,53.0,1.0,1.0,376.0,91.0,90.0,8.0,1686462464.0,0.63,0.65,0.0,1659272832.0,57.0,719.0,36.0,2.0,265.0,3.0,300.0,12453875.0,11652.0,0.0,1857.0
1.0,759.0,4.0,2.0,384.0,8.0,60.0,1.0,1.0,225.0,107.0,85.0,5.0,1794897596.0,0.58,0.71,0.0,1783420834.0,69.0,589.0,23.0,2.0,168.0,1.0,364.0,12206363.0,14430.0,1.0,2377.0
1.0,993.0,4.0,2.0,384.0,4.0,39.0,0.0,0.0,419.0,69.0,66.0,5.0,2044485724.0,0.85,0.52,0.0,1181179673.0,41.0,669.0,43.0,1.0,338.0,1.0,365.0,8353875.0,10163.0,0.0,2796.0
1.0,578.0,3.0,1.0,384.0,8.0,52.0,1.0,1.0,262.0,62.0,49.0,7.0,1782623922.0,0.58,0.7,0.0,1991908841.0,62.0,626.0,48.0,3.0,229.0,3.0,310.0,6390095.0,9940.0,1.0,2836.0
1.0,819.0,5.0,2.0,614.0,6.0,51.0,1.0,1.0,354.0,88.0,90.0,8.0,1644145152.0,0.67,0.68,0.0,1632290304.0,56.0,732.0,36.0,2.0,261.0,3.0,308.0,11614171.0,10931.0,0.0,1851.0
1.0,801.0,5.0,2.0,611.0,6.0,50.0,1.0,1.0,352.0,84.0,90.0,7.0,1650193536.0,0.68,0.68,0.0,1608280064.0,57.0,742.0,35.0,2.0,257.0,3.0,310.0,11279119.0,10686.0,0.0,2028.0
1.0,822.0,5.0,2.0,614.0,6.0,52.0,1.0,1.0,360.0,85.0,92.0,7.0,1684533504.0,0.67,0.67,0.0,1649432320.0,57.0,734.0,35.0,2.0,267.0,3.0,301.0,11675542.0,10941.0,0.0,2382.0
0.0,0.0,7.0,3.0,500.0,8.0,38.0,1.0,0.0,223.0,109.0,62.0,9.0,1810214962.0,0.67,0.84,1.0,1577508415.0,67.0,905.0,46.0,3.0,343.0,1.0,396.0,9097475.0,9449.0,0.0,1590.0
1.0,635.0,4.0,2.0,420.0,5.0,37.0,1.0,1.0,388.0,62.0,68.0,4.0,1293179970.0,0.54,0.83,0.0,1163437557.0,49.0,859.0,30.0,3.0,325.0,3.0,376.0,6501576.0,5181.0,1.0,2039.0
1.0,789.0,3.0,1.0,384.0,4.0,54.0,1.0,1.0,433.0,43.0,49.0,7.0,2069587709.0,0.79,0.72,1.0,1630542328.0,54.0,608.0,23.0,2.0,234.0,2.0,348.0,5801330.0,7539.0,0.0,4014.0
1.0,806.0,5.0,2.0,632.0,6.0,49.0,1.0,1.0,350.0,83.0,85.0,7.0,1633514240.0,0.68,0.69,0.0,1611083392.0,56.0,745.0,33.0,2.0,255.0,3.0,322.0,11133897.0,10523.0,0.0,1983.0
1.0,798.0,5.0,2.0,629.0,6.0,49.0,1.0,1.0,353.0,86.0,85.0,8.0,1627349248.0,0.69,0.69,0.0,1635094272.0,56.0,728.0,33.0,2.0,259.0,3.0,313.0,11074398.0,10486.0,0.0,1843.0
1.0,791.0,5.0,2.0,625.0,6.0,51.0,1.0,1.0,349.0,88.0,81.0,7.0,1599685888.0,0.7,0.69,0.0,1629091072.0,56.0,771.0,34.0,2.0,254.0,3.0,317.0,11077462.0,10198.0,0.0,1900.0
1.0,755.0,4.0,2.0,384.0,6.0,34.0,1.0,1.0,347.0,105.0,75.0,10.0,1509095946.0,0.7,0.87,1.0,1102978059.0,72.0,927.0,17.0,2.0,182.0,3.0,270.0,10888702.0,9909.0,0.0,1560.0
1.0,929.0,4.0,2.0,436.0,7.0,42.0,0.0,1.0,286.0,95.0,98.0,7.0,1615505849.0,0.67,0.65,1.0,1875059482.0,56.0,616.0,36.0,1.0,150.0,1.0,335.0,13692354.0,10815.0,1.0,1676.0
