spark.shuffle.sort.bypassMergeThreshold,spark.executor.memory,runtime
282.0,14.0,181.1497843518778
248.0,13.0,205.81570100957433
181.0,12.0,242.31758300202085
201.0,13.0,205.81570100957433
312.0,14.0,268.55559637087964
289.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
289.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
288.0,8.0,330.2988157861869
312.0,14.0,268.55559637087964
289.0,8.0,330.2988157861869
