spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
0.0,0.0,7.0,3.0,756.0,7.0,43.0,0.0,0.0,263.0,75.0,62.0,9.0,2025745926.0,0.6,0.57,0.0,1879816350.0,1637425766.0,51.0,0.0,927.0,0.0,31.0,4.0,173.0,4.0,176.259
0.0,0.0,6.0,3.0,474.0,6.0,48.0,1.0,0.0,270.0,53.0,76.0,6.0,1349688535.0,0.51,0.69,0.0,1494154825.0,1261809178.0,52.0,0.0,594.0,0.0,16.0,3.0,201.0,3.0,206.802
1.0,913.0,5.0,2.0,525.0,7.0,58.0,1.0,0.0,390.0,94.0,124.0,6.0,1078907461.0,0.85,0.68,1.0,1721875509.0,1483192690.0,45.0,0.0,773.0,0.0,35.0,3.0,261.0,4.0,201.158
0.0,0.0,6.0,3.0,502.0,6.0,59.0,0.0,1.0,363.0,82.0,109.0,4.0,1337101056.0,0.55,0.71,1.0,1709623808.0,1519155328.0,63.0,0.0,633.0,1.0,33.0,2.0,278.0,1.0,211.751
0.0,0.0,6.0,3.0,526.0,6.0,58.0,0.0,1.0,359.0,82.0,105.0,5.0,1377633792.0,0.57,0.71,1.0,1714401920.0,1529200128.0,61.0,0.0,646.0,1.0,33.0,2.0,276.0,1.0,203.701
0.0,0.0,6.0,3.0,550.0,6.0,55.0,0.0,1.0,356.0,82.0,97.0,5.0,1437671424.0,0.6,0.7,1.0,1676071424.0,1554294272.0,57.0,0.0,670.0,1.0,33.0,2.0,269.0,1.0,222.124
0.0,0.0,7.0,3.0,433.0,6.0,41.0,0.0,0.0,420.0,72.0,47.0,7.0,1136960095.0,0.86,0.71,1.0,1820259885.0,1455034852.0,28.0,0.0,901.0,0.0,32.0,3.0,317.0,1.0,204.828
0.0,0.0,6.0,3.0,633.0,8.0,32.0,0.0,1.0,367.0,50.0,126.0,5.0,1418395931.0,0.72,0.51,1.0,1285613460.0,1135932551.0,67.0,0.0,714.0,1.0,29.0,4.0,165.0,3.0,182.228
0.0,0.0,3.0,1.0,384.0,5.0,64.0,0.0,0.0,347.0,36.0,44.0,4.0,1841543163.0,0.63,0.77,1.0,1970927807.0,1276627399.0,42.0,0.0,802.0,0.0,29.0,5.0,161.0,4.0,451.77
0.0,0.0,7.0,3.0,747.0,7.0,43.0,0.0,0.0,269.0,75.0,63.0,9.0,1985731584.0,0.61,0.58,0.0,1846738048.0,1627785216.0,51.0,1.0,913.0,0.0,31.0,4.0,180.0,4.0,204.232
0.0,0.0,7.0,3.0,725.0,7.0,44.0,0.0,0.0,283.0,76.0,67.0,9.0,1924762368.0,0.63,0.6,0.0,1804026880.0,1629433600.0,50.0,1.0,886.0,0.0,31.0,4.0,192.0,4.0,169.507
