spark.kryoserializer.buffer.max,spark.shuffle.compress,spark.executor.memory,spark.executor.memoryOverhead,spark.reducer.maxSizeInFlight,runtime
114.0,1.0,10.0,639.0,38.0,363.647
113.0,0.0,14.0,649.0,55.0,369.4379
128.0,0.0,12.0,1673.0,35.0,369.5345
127.0,1.0,13.0,947.0,58.0,325.0562
118.0,1.0,13.0,1755.0,36.0,369.5345
117.0,0.0,14.0,1129.0,46.0,369.5345
128.0,1.0,9.0,962.0,26.0,345.157
128.0,1.0,11.0,1755.0,46.0,369.5345
110.0,0.0,10.0,1755.0,42.0,369.5345
104.0,1.0,10.0,621.0,54.0,365.0796666666667
128.0,1.0,14.0,1755.0,47.0,369.5345
128.0,1.0,14.0,640.0,56.0,341.1395
127.0,0.0,12.0,680.0,40.0,369.4379
128.0,1.0,10.0,640.0,24.0,369.4379
91.0,0.0,12.0,967.0,57.0,340.45126666666675
126.0,0.0,14.0,960.0,42.0,314.334
128.0,1.0,14.0,986.0,43.0,340.45126666666675
128.0,0.0,9.0,680.0,51.0,369.4379
128.0,1.0,14.0,731.0,43.0,369.4379
128.0,1.0,14.0,943.0,47.0,314.334
120.0,0.0,14.0,1755.0,45.0,369.5345
111.0,1.0,10.0,964.0,53.0,314.334
117.0,0.0,11.0,730.0,54.0,369.4379
126.0,1.0,14.0,1524.0,37.0,369.5345
128.0,1.0,8.0,982.0,53.0,361.4388333333334
128.0,0.0,10.0,982.0,53.0,361.4388333333334
128.0,1.0,14.0,1475.0,43.0,369.5345
128.0,0.0,10.0,1201.0,50.0,369.5345
128.0,1.0,10.0,1650.0,37.0,369.5345
128.0,0.0,10.0,624.0,51.0,363.647
