spark.executor.memory,spark.executor.cores,spark.kryoserializer.buffer.max,spark.shuffle.compress,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.executor.memoryOverhead,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,spark.memory.storageFraction,spark.default.parallelism,spark.locality.wait,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer,spark.scheduler.revive.interval,spark.broadcast.blockSize,runtime
13.0,7.0,48.0,0.0,1826642055.0,0.5380952380952381,1562.0,1143956712.0,62.0,299.0,0.607936507936508,457.0,10.0,1660272714.0,127.0,711.0,16.0,365.28274000000005
12.0,7.0,86.0,1.0,1693535668.0,0.6777777777777778,1534.0,1876129696.0,25.0,168.0,0.6333333333333333,500.0,10.0,2147483647.0,39.0,530.0,46.0,343.13888999999995
13.0,6.0,71.0,0.0,1113911381.0,0.6587301587301587,1755.0,1950260996.0,72.0,234.0,0.9,253.0,10.0,2147483647.0,65.0,818.0,23.0,351.91849999999994
14.0,7.0,43.0,0.0,1943219638.0,0.6015873015873016,880.0,1970096046.0,72.0,500.0,0.7285714285714285,500.0,8.0,1890652013.0,39.0,500.0,46.0,342.59012
14.0,6.0,78.0,1.0,1692487078.0,0.8047619047619048,865.0,1970096039.0,72.0,500.0,0.7285714285714285,500.0,8.0,1890670078.0,78.0,698.0,44.0,352.22702999999996
13.0,7.0,43.0,0.0,1942766298.0,0.734920634920635,1755.0,1265570020.0,72.0,500.0,0.7793650793650794,500.0,8.0,2147483647.0,65.0,525.0,46.0,346.38611
12.0,6.0,110.0,0.0,1927948665.0,0.6142857142857143,1755.0,1251193752.0,72.0,477.0,0.9,274.0,10.0,2147483647.0,49.0,986.0,44.0,346.68274999999994
14.0,6.0,104.0,0.0,1823222728.0,0.5380952380952381,570.0,1270334888.0,72.0,374.0,0.8492063492063493,500.0,4.0,2147483647.0,65.0,501.0,20.0,349.6590799999999
13.0,7.0,48.0,1.0,2100634204.0,0.665079365079365,1755.0,1858814886.0,54.0,500.0,0.7285714285714285,500.0,8.0,1890871366.0,65.0,596.0,10.0,349.78986
13.0,7.0,60.0,0.0,2109406276.0,0.6841269841269841,1755.0,1825778640.0,53.0,500.0,0.8492063492063493,500.0,10.0,2147483647.0,65.0,509.0,44.0,344.53002999999995
