spark.executor.memory,spark.executor.memoryOverhead,runtime
14.0,985.0,260.68514000000044
13.0,1111.0,264.33792999999963
13.0,586.0,287.80157999999983
14.0,978.0,261.09269000000046
14.0,1001.0,263.83173999999997
14.0,979.0,261.09269000000046
14.0,1287.0,274.92796000000027
13.0,1108.0,264.33792999999963
13.0,1018.0,265.0661399999999
13.0,1228.0,283.25679000000025
13.0,1330.0,275.59844000000044
13.0,969.0,261.15104000000053
13.0,981.0,261.07122000000055
14.0,1220.0,273.76244000000025
13.0,956.0,260.9697000000005
13.0,942.0,260.96671000000003
14.0,1127.0,265.4833499999997
14.0,1374.0,264.97536000000053
13.0,942.0,260.96671000000003
14.0,1097.0,262.52090999999973
14.0,1113.0,262.52090999999973
14.0,975.0,261.09269000000046
12.0,1095.0,265.1443099999996
13.0,942.0,260.96671000000003
14.0,965.0,261.22049000000044
14.0,1187.0,268.0389299999997
14.0,1068.0,262.06623999999977
14.0,954.0,264.8412900000004
14.0,1338.0,268.5097100000004
13.0,1069.0,263.91547999999966
