spark.executor.memory,spark.shuffle.compress,runtime
14.0,1.0,412.95874
14.0,1.0,412.95874
10.0,1.0,412.95874
11.0,0.0,412.95874
8.0,0.0,412.95874
10.0,0.0,412.95874
10.0,1.0,412.95874
14.0,0.0,412.95874
12.0,1.0,412.95874
10.0,0.0,412.95874
13.0,1.0,412.95874
10.0,0.0,412.95874
8.0,1.0,412.95874
13.0,0.0,412.95874
12.0,0.0,412.95874
14.0,1.0,412.95874
14.0,1.0,412.95874
10.0,1.0,412.95874
13.0,1.0,412.95874
12.0,0.0,412.95874
10.0,1.0,412.95874
14.0,1.0,412.95874
10.0,1.0,412.95874
12.0,1.0,412.95874
9.0,0.0,412.95874
11.0,0.0,412.95874
14.0,1.0,412.95874
8.0,0.0,412.95874
13.0,0.0,412.95874
14.0,1.0,412.95874
