spark.executor.cores,spark.executor.memory,spark.executor.memoryOverhead,spark.default.parallelism,spark.executor.instances,spark.memory.storageFraction,spark.shuffle.file.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.shuffle.sort.bypassMergeThreshold,runtime
3.0,7.0,676.0,348.0,8.0,0.6841269841269841,31.0,2084185534.0,1715522346.0,344.0,204.828
3.0,7.0,672.0,326.0,8.0,0.6841269841269841,31.0,2084185530.0,1717631120.0,278.0,204.828
4.0,4.0,703.0,344.0,8.0,0.6841269841269841,31.0,2084193722.0,1717622902.0,173.0,204.828
4.0,3.0,729.0,268.0,8.0,0.5825396825396826,32.0,1806450050.0,1874374672.0,334.0,204.828
3.0,7.0,417.0,242.0,8.0,0.8809523809523809,31.0,2045233978.0,1717621250.0,331.0,204.828
3.0,3.0,780.0,357.0,8.0,0.8174603174603174,24.0,1729035520.0,1717248612.0,210.0,204.828
3.0,5.0,597.0,220.0,8.0,0.6523809523809524,31.0,1821653768.0,1717248612.0,210.0,204.828
3.0,4.0,564.0,211.0,8.0,0.8809523809523809,31.0,2045118257.0,1840820223.0,346.0,204.828
4.0,3.0,518.0,356.0,8.0,0.6777777777777778,31.0,2036858120.0,1907928426.0,210.0,204.828
3.0,5.0,643.0,437.0,8.0,0.8111111111111111,26.0,1326381087.0,1738292933.0,280.0,204.828
4.0,4.0,753.0,334.0,8.0,0.8809523809523809,25.0,2042972928.0,1992257155.0,278.0,204.828
4.0,5.0,514.0,309.0,8.0,0.7158730158730159,27.0,2065628184.0,1979922230.0,210.0,204.828
4.0,5.0,665.0,481.0,8.0,0.8174603174603174,27.0,1243541248.0,1947985537.0,180.0,204.828
4.0,5.0,673.0,212.0,8.0,0.8809523809523809,31.0,1728884760.0,1989291649.0,280.0,204.828
4.0,3.0,386.0,428.0,8.0,0.8746031746031746,32.0,1743568895.0,1739990533.0,205.0,204.828
3.0,5.0,828.0,242.0,8.0,0.8936507936507936,31.0,1712124431.0,1732210183.0,153.0,204.828
4.0,5.0,519.0,255.0,8.0,0.8682539682539683,28.0,1918826720.0,1991421801.0,210.0,204.828
3.0,6.0,635.0,368.0,8.0,0.8047619047619048,47.0,2048653331.0,1714665704.0,275.0,204.828
4.0,6.0,523.0,490.0,8.0,0.8428571428571429,35.0,1599643312.0,1732209426.0,290.0,204.828
4.0,6.0,388.0,281.0,8.0,0.6396825396825396,26.0,1516003360.0,1998302091.0,180.0,204.828
3.0,6.0,636.0,372.0,8.0,0.6396825396825396,47.0,2119956566.0,1730916138.0,250.0,204.828
4.0,6.0,646.0,309.0,8.0,0.7476190476190476,43.0,1346583015.0,2008623170.0,275.0,204.828
3.0,3.0,842.0,354.0,8.0,0.8365079365079365,35.0,1368291475.0,1846783786.0,250.0,204.828
3.0,3.0,842.0,215.0,8.0,0.8936507936507936,43.0,1414773150.0,1979952938.0,254.0,204.828
4.0,5.0,480.0,405.0,8.0,0.8492063492063492,43.0,1347631958.0,2000496690.0,200.0,204.828
3.0,4.0,394.0,423.0,8.0,0.8365079365079365,41.0,1356036950.0,1999356696.0,277.0,204.828
3.0,4.0,466.0,472.0,8.0,0.8111111111111111,41.0,1356030806.0,1999342344.0,277.0,204.828
4.0,7.0,719.0,400.0,8.0,0.7666666666666666,31.0,2025489410.0,2117740073.0,268.0,204.828
4.0,7.0,700.0,400.0,8.0,0.7222222222222222,41.0,1354400770.0,2117742185.0,294.0,204.828
4.0,5.0,386.0,275.0,8.0,0.8238095238095238,41.0,1418944860.0,2126064405.0,206.0,204.828
