spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
3.0,7.0,7.0,211.943
4.0,7.0,7.0,204.76262499999996
2.0,4.0,7.0,211.943
4.0,6.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,4.0,7.0,204.76262499999996
4.0,6.0,7.0,204.76262499999996
4.0,7.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,4.0,7.0,204.76262499999996
4.0,6.0,7.0,204.76262499999996
4.0,6.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,6.0,7.0,204.76262499999996
4.0,4.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,6.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,6.0,7.0,204.76262499999996
4.0,6.0,7.0,204.76262499999996
4.0,3.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,5.0,7.0,204.76262499999996
4.0,4.0,7.0,204.76262499999996
4.0,4.0,7.0,204.76262499999996
4.0,4.0,7.0,204.76262499999996
