spark.executor.memory,spark.executor.cores,spark.executor.instances,runtime
6.0,3.0,8.0,255.01755480413465
5.0,4.0,8.0,195.9976712048939
4.0,4.0,8.0,195.9976712048939
7.0,4.0,8.0,195.9976712048939
3.0,4.0,8.0,195.9976712048939
5.0,4.0,8.0,195.9976712048939
5.0,4.0,8.0,195.9976712048939
6.0,4.0,8.0,195.9976712048939
5.0,4.0,8.0,195.9976712048939
5.0,4.0,8.0,195.9976712048939
6.0,4.0,8.0,195.9976712048939
5.0,4.0,8.0,195.9976712048939
6.0,4.0,7.0,207.56128454999234
4.0,4.0,8.0,195.9976712048939
4.0,4.0,8.0,195.9976712048939
6.0,4.0,8.0,195.9976712048939
3.0,4.0,8.0,195.9976712048939
4.0,4.0,8.0,195.9976712048939
6.0,4.0,8.0,195.9976712048939
3.0,4.0,8.0,195.9976712048939
3.0,4.0,8.0,195.9976712048939
7.0,4.0,8.0,195.9976712048939
7.0,4.0,8.0,195.9976712048939
5.0,4.0,8.0,195.9976712048939
4.0,4.0,8.0,195.9976712048939
4.0,4.0,8.0,195.9976712048939
6.0,4.0,8.0,195.9976712048939
4.0,4.0,8.0,195.9976712048939
3.0,4.0,8.0,195.9976712048939
7.0,4.0,8.0,195.9976712048939
