spark.default.parallelism,spark.executor.cores,spark.executor.memory,spark.memory.offHeap.size,spark.memory.fraction,spark.reducer.maxSizeInFlight,spark.memory.offHeap.enabled,spark.reducer.maxReqsInFlight,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memoryOverhead,spark.shuffle.sort.bypassMergeThreshold,spark.executor.instances,runtime
448.0,7.0,14.0,0.0,0.5952380952380952,29.0,0.0,2020669958.0,1824480134.0,1006.0,228.0,11.0,263.1481328606543
472.0,7.0,14.0,0.0,0.8238095238095238,37.0,0.0,2123139787.0,1935996189.0,1427.0,164.0,11.0,261.47480185257297
495.0,7.0,12.0,0.0,0.8238095238095238,37.0,0.0,2123139787.0,1935996189.0,1413.0,228.0,11.0,261.2214478186948
258.0,7.0,12.0,0.0,0.8492063492063492,63.0,1.0,2125332191.0,1777365940.0,1386.0,264.0,11.0,263.34653830742536
266.0,7.0,12.0,0.0,0.8492063492063492,38.0,1.0,2125236937.0,1643148212.0,1386.0,264.0,11.0,263.13545474143376
266.0,7.0,13.0,0.0,0.5190476190476191,62.0,0.0,2070127456.0,1935992198.0,1327.0,228.0,11.0,261.8187782737969
296.0,7.0,14.0,0.0,0.861904761904762,37.0,1.0,2123139779.0,1933899665.0,700.0,404.0,10.0,261.42580364196004
299.0,7.0,14.0,0.0,0.861904761904762,37.0,1.0,2123139779.0,1933899665.0,687.0,109.0,10.0,261.42580364196004
456.0,7.0,14.0,0.0,0.861904761904762,40.0,1.0,2038467265.0,1933899649.0,687.0,109.0,10.0,261.0155325190195
432.0,7.0,13.0,0.0,0.6714285714285715,65.0,0.0,2076760009.0,1643287592.0,1386.0,260.0,10.0,262.3031962346528
358.0,7.0,12.0,0.0,0.6460317460317461,54.0,1.0,2125234889.0,1911579688.0,1343.0,260.0,10.0,261.76513227571553
275.0,7.0,12.0,0.0,0.6714285714285715,65.0,0.0,2079097545.0,1911583784.0,1343.0,260.0,10.0,261.419250227672
495.0,7.0,12.0,0.0,0.6206349206349207,66.0,0.0,2078329594.0,1329919617.0,687.0,109.0,10.0,262.0020202246306
476.0,7.0,14.0,0.0,0.8746031746031746,48.0,1.0,2091156169.0,1911714856.0,1332.0,100.0,11.0,261.47480185257297
284.0,7.0,14.0,0.0,0.8746031746031746,61.0,1.0,2091156169.0,1900344245.0,1198.0,285.0,11.0,261.67976071363205
401.0,7.0,12.0,0.0,0.7730158730158729,71.0,0.0,1775010409.0,1911583784.0,1040.0,260.0,10.0,260.32998254494964
443.0,7.0,12.0,0.0,0.8746031746031746,51.0,0.0,1942783962.0,1978824233.0,687.0,109.0,10.0,260.6306141641405
410.0,7.0,12.0,0.0,0.5126984126984127,62.0,1.0,2130244589.0,1305802368.0,1541.0,297.0,10.0,261.90274290752586
486.0,7.0,12.0,0.0,0.7158730158730159,44.0,1.0,1861800941.0,1305866880.0,1541.0,297.0,10.0,262.0020202246306
448.0,7.0,14.0,1.0,0.5571428571428572,26.0,0.0,2099571442.0,1329921453.0,1038.0,185.0,10.0,261.8124141947751
484.0,7.0,13.0,0.0,0.6587301587301587,32.0,0.0,2097472202.0,1832939688.0,1683.0,257.0,10.0,262.51427980064443
423.0,7.0,12.0,0.0,0.7666666666666666,29.0,1.0,2107697906.0,1297376974.0,1501.0,272.0,10.0,262.04273370645245
414.0,7.0,12.0,0.0,0.7666666666666666,29.0,1.0,2107824844.0,1909745358.0,1501.0,272.0,10.0,260.66290116803657
500.0,7.0,14.0,8.0,0.8111111111111111,36.0,0.0,2093542138.0,1298594872.0,1683.0,260.0,10.0,261.85312767659696
393.0,7.0,12.0,0.0,0.7222222222222222,63.0,1.0,2125762338.0,1165032506.0,1724.0,185.0,10.0,261.80384780614133
267.0,7.0,12.0,0.0,0.5571428571428572,59.0,1.0,2107894008.0,1907366962.0,1378.0,185.0,10.0,261.419250227672
410.0,7.0,12.0,64.0,0.753968253968254,35.0,0.0,2127096826.0,1298595114.0,1501.0,285.0,10.0,262.0298934267605
447.0,7.0,13.0,0.0,0.8746031746031746,51.0,1.0,2092207947.0,1364786354.0,1726.0,285.0,10.0,262.0564825914883
427.0,7.0,14.0,8.0,0.5444444444444444,60.0,0.0,2108091386.0,1298595114.0,818.0,260.0,10.0,261.85312767659696
478.0,7.0,14.0,64.0,0.7793650793650794,35.0,0.0,2127097740.0,1364766266.0,1683.0,272.0,10.0,261.8124141947751
