spark.executor.memory,spark.executor.memoryOverhead,spark.scheduler.revive.interval,spark.reducer.maxSizeInFlight,runtime
14.0,1006.0,761.0,29.0,347.4038899999998
14.0,1226.0,747.0,56.0,347.3962299999998
13.0,1041.0,750.0,54.0,347.3692199999998
14.0,1399.0,729.0,48.0,347.3286099999998
13.0,1402.0,729.0,31.0,347.30159999999984
13.0,511.0,749.0,51.0,347.3692199999998
13.0,1426.0,748.0,37.0,347.3692199999998
14.0,1008.0,748.0,31.0,347.3962299999998
13.0,665.0,732.0,58.0,347.30159999999984
14.0,1361.0,977.0,54.0,348.9557999999998
14.0,1511.0,971.0,29.0,349.27673999999985
13.0,601.0,970.0,59.0,349.3017899999998
14.0,882.0,758.0,34.0,347.3962299999998
14.0,1067.0,978.0,51.0,348.9557999999998
14.0,1393.0,976.0,24.0,348.9557999999998
14.0,1441.0,950.0,58.0,349.40322999999984
13.0,899.0,749.0,55.0,347.3692199999998
13.0,1476.0,750.0,65.0,347.3692199999998
13.0,437.0,750.0,65.0,347.3692199999998
13.0,432.0,733.0,39.0,347.30159999999984
13.0,409.0,732.0,39.0,347.30159999999984
14.0,594.0,977.0,62.0,348.9557999999998
14.0,969.0,751.0,41.0,347.3962299999998
14.0,868.0,950.0,72.0,349.40322999999984
14.0,637.0,976.0,56.0,348.9557999999998
14.0,1235.0,976.0,50.0,348.9557999999998
14.0,1257.0,976.0,33.0,348.9557999999998
14.0,829.0,733.0,59.0,347.3286099999998
14.0,1265.0,952.0,71.0,349.40322999999984
14.0,784.0,966.0,62.0,349.40322999999984
