spark.executor.memory,spark.kryoserializer.buffer.max,spark.executor.memoryOverhead,spark.memory.storageFraction,spark.executor.instances,spark.locality.wait,spark.reducer.maxBlocksInFlightPerAddress,spark.broadcast.blockSize,spark.maxRemoteBlockSizeFetchToMem,spark.default.parallelism,spark.shuffle.compress,spark.executor.cores,runtime
11.0,68.0,1107.0,0.5063492063492063,9.0,7.0,1792196933.0,6.0,1858920844.0,250.0,1.0,5.0,249.40638278947023
13.0,113.0,1344.0,0.8555555555555556,9.0,9.0,1591064589.0,60.0,1713876752.0,389.0,0.0,6.0,258.45102290278095
11.0,74.0,1154.0,0.665079365079365,10.0,9.0,1844415686.0,11.0,1510449857.0,382.0,0.0,6.0,257.710982436393
13.0,80.0,1365.0,0.7603174603174603,11.0,5.0,1776351110.0,50.0,2015320307.0,498.0,1.0,7.0,257.436445161203
13.0,79.0,1324.0,0.6206349206349207,12.0,8.0,1803460213.0,7.0,1096996062.0,286.0,1.0,5.0,257.4017868382723
13.0,78.0,1137.0,0.665079365079365,11.0,6.0,1822366614.0,50.0,2015332027.0,447.0,0.0,6.0,255.67351029253945
13.0,111.0,1159.0,0.6460317460317461,10.0,6.0,1819480817.0,23.0,1904728001.0,252.0,1.0,6.0,254.77267939997873
14.0,78.0,1198.0,0.6142857142857143,10.0,10.0,1844241061.0,9.0,1477936955.0,447.0,0.0,6.0,250.59478548137375
14.0,78.0,1468.0,0.5825396825396826,11.0,6.0,1843061637.0,35.0,2048624403.0,231.0,1.0,7.0,253.23888542556656
13.0,111.0,1158.0,0.607936507936508,11.0,4.0,1370773676.0,16.0,1753924580.0,252.0,1.0,6.0,254.37592321598572
13.0,73.0,1326.0,0.8174603174603174,11.0,8.0,1768886402.0,18.0,2053069562.0,221.0,1.0,7.0,255.93136814199576
13.0,80.0,1418.0,0.5,11.0,3.0,1428641965.0,13.0,2013727209.0,250.0,1.0,6.0,252.87864603042195
13.0,81.0,1419.0,0.5,11.0,3.0,1428554390.0,19.0,2050983900.0,251.0,1.0,6.0,254.37998553224278
11.0,70.0,1412.0,0.665079365079365,11.0,8.0,1768339634.0,18.0,2048776123.0,221.0,1.0,7.0,260.32720649083143
13.0,86.0,1298.0,0.5698412698412698,9.0,3.0,1247775334.0,22.0,2023414630.0,283.0,1.0,6.0,255.18042236361117
11.0,86.0,1352.0,0.6206349206349207,9.0,3.0,1214089344.0,14.0,2090392538.0,366.0,0.0,7.0,256.881281099283
14.0,64.0,1395.0,0.6206349206349207,11.0,7.0,2133236369.0,12.0,2031847392.0,420.0,1.0,4.0,255.24022859870138
12.0,84.0,1089.0,0.6396825396825396,8.0,3.0,1433196326.0,10.0,2053102482.0,364.0,0.0,7.0,254.7940939743014
13.0,84.0,1432.0,0.6396825396825396,8.0,3.0,1434303049.0,48.0,2069560175.0,402.0,0.0,7.0,251.14730998196316
11.0,84.0,1432.0,0.626984126984127,8.0,2.0,1462680496.0,12.0,2069560175.0,402.0,0.0,7.0,253.84974489400238
12.0,98.0,1432.0,0.6142857142857143,8.0,2.0,1462696848.0,12.0,1883174939.0,402.0,0.0,7.0,255.32972665292198
14.0,97.0,1426.0,0.626984126984127,10.0,2.0,1471050640.0,30.0,1916729363.0,402.0,0.0,7.0,254.3352500475993
14.0,83.0,1434.0,0.7095238095238096,8.0,6.0,1445344244.0,13.0,1917516691.0,252.0,0.0,7.0,252.33117592863752
14.0,83.0,1424.0,0.5126984126984127,10.0,5.0,1428190196.0,13.0,1917515795.0,402.0,0.0,7.0,252.88143994542688
12.0,89.0,1445.0,0.626984126984127,8.0,6.0,1378143652.0,12.0,2014021549.0,399.0,1.0,6.0,253.4203163954495
11.0,95.0,1492.0,0.5126984126984127,10.0,2.0,1311527923.0,13.0,2051734387.0,252.0,1.0,6.0,256.1788624273426
12.0,89.0,1466.0,0.6396825396825396,11.0,6.0,1345308084.0,12.0,2018084860.0,418.0,1.0,6.0,253.57202586856124
12.0,89.0,869.0,0.6396825396825396,8.0,6.0,1513047466.0,12.0,2018084860.0,418.0,1.0,6.0,255.5346404048242
13.0,93.0,1459.0,0.5317460317460317,11.0,7.0,1311621523.0,12.0,2018179555.0,393.0,0.0,7.0,253.32102959224494
14.0,81.0,1124.0,0.6142857142857143,11.0,6.0,1663534244.0,12.0,2051699571.0,215.0,0.0,7.0,251.92244966461126
