spark.executor.cores,spark.shuffle.compress,spark.shuffle.sort.bypassMergeThreshold,spark.memory.fraction,spark.executor.memory,spark.shuffle.file.buffer,spark.locality.wait,spark.memory.storageFraction,spark.reducer.maxBlocksInFlightPerAddress,spark.broadcast.compress,spark.memory.offHeap.size,spark.broadcast.blockSize,spark.default.parallelism,spark.storage.memoryMapThreshold,runtime
6.0,1.0,273.0,0.7984126984126985,11.0,41.0,5.0,0.5190476190476191,1392501739.0,0.0,913.0,50.0,353.0,7.0,344.8957929195571
6.0,0.0,405.0,0.7031746031746031,12.0,25.0,5.0,0.6333333333333333,1152252664.0,1.0,290.0,55.0,412.0,9.0,392.77938339586706
7.0,1.0,465.0,0.5190476190476191,14.0,31.0,5.0,0.5063492063492063,1861400496.0,1.0,11.0,27.0,274.0,2.0,341.16758312347156
6.0,0.0,105.0,0.6523809523809524,10.0,18.0,5.0,0.6015873015873016,1310376235.0,1.0,445.0,19.0,453.0,9.0,390.1788406642445
6.0,1.0,210.0,0.7476190476190476,12.0,46.0,6.0,0.7984126984126985,1385925638.0,0.0,3.0,48.0,291.0,8.0,357.7307215566825
6.0,0.0,490.0,0.8936507936507936,14.0,25.0,5.0,0.5507936507936508,1835299831.0,1.0,445.0,19.0,453.0,9.0,394.50475350202095
7.0,1.0,410.0,0.626984126984127,10.0,47.0,4.0,0.5761904761904761,1253523155.0,0.0,523.0,27.0,274.0,2.0,335.3363774613238
5.0,1.0,315.0,0.6523809523809524,10.0,39.0,5.0,0.6015873015873016,1310361900.0,1.0,1024.0,16.0,275.0,6.0,402.1278921339206
6.0,1.0,210.0,0.8301587301587301,10.0,47.0,4.0,0.5952380952380952,1910834438.0,0.0,732.0,29.0,475.0,8.0,346.98135200192445
6.0,0.0,473.0,0.7730158730158729,12.0,17.0,8.0,0.607936507936508,1967702391.0,1.0,445.0,23.0,453.0,9.0,411.2841490026467
6.0,1.0,210.0,0.8301587301587301,10.0,47.0,4.0,0.5761904761904761,1256561926.0,0.0,531.0,44.0,494.0,8.0,342.655439164148
6.0,0.0,473.0,0.8936507936507936,10.0,45.0,7.0,0.8238095238095238,1967944697.0,1.0,959.0,53.0,225.0,9.0,406.5989963727826
6.0,1.0,327.0,0.5063492063492063,12.0,19.0,4.0,0.5761904761904761,1252474579.0,1.0,37.0,13.0,475.0,8.0,342.655439164148
6.0,0.0,473.0,0.8936507936507936,10.0,45.0,5.0,0.6015873015873016,1163025175.0,1.0,445.0,23.0,453.0,9.0,390.1788406642445
7.0,1.0,465.0,0.5,9.0,46.0,6.0,0.7984126984126985,2061870311.0,0.0,579.0,43.0,247.0,2.0,364.0506957374515
4.0,0.0,239.0,0.6904761904761905,10.0,45.0,5.0,0.6015873015873016,1296613675.0,1.0,445.0,24.0,284.0,9.0,472.58358653531127
6.0,1.0,361.0,0.5,9.0,46.0,6.0,0.7920634920634921,1239786570.0,0.0,576.0,44.0,475.0,2.0,366.0273202967492
5.0,0.0,490.0,0.9,13.0,19.0,5.0,0.6015873015873016,1298448756.0,0.0,989.0,22.0,208.0,9.0,472.58358653531127
7.0,1.0,327.0,0.5063492063492063,12.0,19.0,6.0,0.7920634920634921,1239786570.0,0.0,576.0,44.0,475.0,2.0,366.0273202967492
4.0,0.0,133.0,0.6015873015873016,10.0,19.0,5.0,0.6015873015873016,1164231028.0,0.0,989.0,32.0,284.0,9.0,472.58358653531127
7.0,1.0,164.0,0.5063492063492063,12.0,19.0,6.0,0.7984126984126985,1910849255.0,0.0,611.0,42.0,416.0,2.0,370.3532331345257
4.0,0.0,273.0,0.8936507936507936,10.0,45.0,5.0,0.6015873015873016,1310376217.0,1.0,445.0,30.0,228.0,9.0,472.58358653531127
7.0,1.0,327.0,0.5063492063492063,12.0,19.0,6.0,0.7984126984126985,1924611795.0,0.0,579.0,44.0,472.0,2.0,370.3532331345257
5.0,0.0,248.0,0.8047619047619048,10.0,19.0,5.0,0.6015873015873016,1165672747.0,1.0,447.0,22.0,209.0,9.0,472.58358653531127
7.0,1.0,352.0,0.5444444444444444,12.0,45.0,6.0,0.7984126984126985,2056994515.0,0.0,579.0,36.0,472.0,2.0,370.3532331345257
4.0,0.0,189.0,0.8936507936507936,11.0,27.0,5.0,0.6015873015873016,1296613751.0,1.0,925.0,30.0,228.0,9.0,472.58358653531127
7.0,1.0,361.0,0.7095238095238096,12.0,25.0,6.0,0.7984126984126985,1922776803.0,0.0,547.0,44.0,416.0,2.0,370.3532331345257
4.0,0.0,289.0,0.8936507936507936,10.0,43.0,5.0,0.5,1310376215.0,1.0,1021.0,22.0,284.0,9.0,472.58358653531127
7.0,1.0,327.0,0.5444444444444444,12.0,43.0,6.0,0.7984126984126985,1922776775.0,0.0,576.0,44.0,416.0,2.0,370.3532331345257
4.0,0.0,273.0,0.8047619047619048,10.0,21.0,5.0,0.5,1298448663.0,1.0,448.0,22.0,284.0,9.0,472.58358653531127
