spark.executor.memory,spark.shuffle.compress,spark.memory.fraction,runtime
11.0,1.0,0.5190476190476191,238.83011
11.0,1.0,0.5190476190476191,238.83011
11.0,1.0,0.5253968253968254,223.73413
11.0,1.0,0.5,255.39436
13.0,1.0,0.5952380952380952,252.00415
13.0,1.0,0.6142857142857143,242.04156
11.0,1.0,0.6206349206349207,220.058
11.0,1.0,0.5063492063492063,253.30647
11.0,1.0,0.5190476190476191,238.83011
11.0,1.0,0.5317460317460317,223.73413
13.0,1.0,0.5825396825396826,252.269
11.0,1.0,0.6333333333333333,250.62332
11.0,1.0,0.6142857142857143,244.4236
10.0,1.0,0.6206349206349207,243.06818
13.0,1.0,0.5825396825396826,252.269
11.0,1.0,0.5317460317460317,223.73413
11.0,1.0,0.5317460317460317,223.73413
11.0,1.0,0.6206349206349207,220.058
10.0,1.0,0.6206349206349207,243.06818
13.0,1.0,0.6206349206349207,239.02972
11.0,1.0,0.6206349206349207,220.058
13.0,1.0,0.6206349206349207,239.02972
11.0,1.0,0.5253968253968254,223.73413
11.0,1.0,0.5190476190476191,238.83011
11.0,1.0,0.5253968253968254,223.73413
11.0,1.0,0.5253968253968254,223.73413
11.0,1.0,0.5253968253968254,223.73413
11.0,1.0,0.5317460317460317,223.73413
11.0,1.0,0.5253968253968254,223.73413
12.0,1.0,0.6206349206349207,251.83029
