spark.executor.cores,spark.memory.fraction,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.reducer.maxSizeInFlight,spark.executor.memory,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxReqsInFlight,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.compress,spark.shuffle.io.numConnectionsPerPeer,spark.storage.memoryMapThreshold,runtime
6.0,0.6460317460317461,898.0,55.0,42.0,11.0,443.0,1462613833.0,1917378989.0,1.0,5.0,4.0,285.64313
6.0,0.6396825396825396,1306.0,46.0,67.0,10.0,171.0,1945802719.0,1592609031.0,1.0,3.0,6.0,291.90564999999987
6.0,0.7920634920634921,1350.0,42.0,41.0,11.0,271.0,1684138953.0,2121582761.0,1.0,5.0,6.0,285.92787999999996
6.0,0.7920634920634921,1350.0,42.0,41.0,11.0,300.0,1936364489.0,1669646868.0,1.0,5.0,6.0,287.67764
6.0,0.7920634920634921,1327.0,42.0,47.0,11.0,448.0,1942917464.0,2119580232.0,1.0,3.0,3.0,283.94167
7.0,0.5,1064.0,52.0,55.0,10.0,158.0,1684122813.0,2137318181.0,0.0,3.0,2.0,285.9080399999999
6.0,0.6587301587301587,1736.0,45.0,49.0,10.0,158.0,1684114621.0,2071553049.0,1.0,4.0,6.0,286.0876799999999
6.0,0.6841269841269841,1009.0,45.0,61.0,10.0,158.0,1684114621.0,2071544277.0,0.0,3.0,6.0,285.06
6.0,0.7603174603174603,1338.0,60.0,56.0,12.0,369.0,1952558269.0,2103500461.0,1.0,3.0,6.0,284.13824000000005
7.0,0.5507936507936508,1253.0,41.0,72.0,14.0,319.0,1951585228.0,2103500525.0,1.0,4.0,9.0,284.47102
6.0,0.5761904761904761,1352.0,65.0,64.0,14.0,389.0,1993511864.0,2137013864.0,1.0,4.0,7.0,284.02975000000004
6.0,0.6777777777777778,1352.0,65.0,64.0,14.0,395.0,1995617208.0,2132819561.0,1.0,4.0,7.0,283.96646999999996
7.0,0.6777777777777778,1363.0,61.0,64.0,14.0,389.0,1993511863.0,2137013864.0,1.0,4.0,7.0,284.21122999999994
7.0,0.626984126984127,1363.0,37.0,39.0,14.0,389.0,1452446651.0,2138226280.0,1.0,4.0,7.0,284.0403
7.0,0.5444444444444444,1590.0,37.0,47.0,14.0,421.0,1996141352.0,2116047089.0,1.0,4.0,7.0,284.01742999999993
7.0,0.7920634920634921,1718.0,37.0,64.0,13.0,388.0,1411015337.0,2135843877.0,1.0,3.0,3.0,283.22826
7.0,0.7793650793650794,1502.0,58.0,52.0,13.0,389.0,1171171518.0,2072047552.0,1.0,1.0,9.0,282.68735
6.0,0.753968253968254,1680.0,35.0,58.0,11.0,295.0,1976736697.0,2145410849.0,1.0,2.0,10.0,283.5787
7.0,0.753968253968254,1680.0,41.0,58.0,11.0,299.0,1996135353.0,2111856425.0,1.0,2.0,10.0,283.62905
6.0,0.5380952380952381,1529.0,55.0,39.0,11.0,394.0,1181885223.0,2127751484.0,1.0,3.0,2.0,283.57096999999993
7.0,0.7031746031746031,1000.0,67.0,59.0,8.0,300.0,1372635065.0,2111856425.0,1.0,2.0,6.0,283.43109
7.0,0.753968253968254,1407.0,40.0,38.0,14.0,394.0,1708034233.0,2104024833.0,1.0,4.0,2.0,282.56754000000006
6.0,0.5253968253968254,888.0,59.0,41.0,9.0,301.0,1962474433.0,2108879024.0,1.0,3.0,2.0,284.3837199999999
6.0,0.5253968253968254,888.0,59.0,41.0,8.0,301.0,1962474433.0,2138087157.0,1.0,4.0,2.0,284.3837199999999
7.0,0.5761904761904761,888.0,59.0,41.0,8.0,307.0,1962474433.0,2138078965.0,1.0,4.0,2.0,284.4188799999999
6.0,0.5380952380952381,1735.0,58.0,51.0,12.0,351.0,1994839255.0,2125918601.0,1.0,3.0,9.0,284.25567
6.0,0.6396825396825396,1713.0,58.0,51.0,12.0,351.0,1993383135.0,2096558481.0,1.0,3.0,9.0,284.31192999999996
6.0,0.6142857142857143,1713.0,58.0,48.0,12.0,302.0,1404719123.0,2099883746.0,1.0,3.0,9.0,284.31782
7.0,0.7603174603174603,1238.0,32.0,66.0,8.0,351.0,2010160351.0,2088137107.0,1.0,4.0,5.0,283.05583999999993
7.0,0.7603174603174603,1238.0,34.0,66.0,8.0,351.0,2010225887.0,2088137115.0,1.0,4.0,3.0,283.5000099999999
