spark.executor.cores,spark.executor.instances,spark.storage.memoryMapThreshold,spark.memory.fraction,spark.reducer.maxReqsInFlight,spark.shuffle.compress,spark.executor.memoryOverhead,runtime
6.0,10.0,5.0,0.7857142857142857,2060470656.0,1.0,1318.0,429.91345
7.0,11.0,7.0,0.6904761904761905,1574832256.0,1.0,1348.0,429.9874
6.0,11.0,7.0,0.665079365079365,1202824320.0,1.0,1348.0,429.93332
6.0,8.0,7.0,0.8682539682539683,1437707391.0,1.0,1348.0,429.93332
6.0,9.0,8.0,0.6206349206349207,1074814207.0,1.0,1348.0,429.93332
6.0,10.0,10.0,0.8555555555555556,1356021800.0,0.0,1348.0,429.93332
6.0,9.0,6.0,0.6714285714285715,1169400096.0,1.0,1348.0,429.93332
7.0,11.0,5.0,0.8174603174603174,1437702169.0,0.0,1691.0,429.84494
6.0,11.0,5.0,0.8428571428571429,1820366873.0,0.0,1691.0,429.81406
6.0,13.0,3.0,0.5698412698412698,1739692120.0,0.0,1691.0,429.81406
6.0,11.0,8.0,0.5380952380952381,1729665047.0,0.0,1691.0,429.81406
6.0,13.0,2.0,0.6396825396825396,1454458967.0,0.0,1691.0,429.81406
6.0,8.0,5.0,0.8428571428571429,1300494359.0,0.0,1691.0,429.81406
6.0,9.0,8.0,0.5380952380952381,1737529368.0,0.0,1734.0,429.81406
6.0,10.0,7.0,0.7857142857142857,1739806872.0,0.0,1692.0,429.81406
6.0,9.0,4.0,0.5952380952380952,1740175383.0,0.0,1691.0,429.81406
6.0,11.0,4.0,0.5,1723030559.0,1.0,1734.0,429.81406
6.0,11.0,6.0,0.8174603174603174,1204852760.0,0.0,1734.0,429.81406
6.0,11.0,2.0,0.5888888888888889,1675835449.0,0.0,1691.0,429.81406
6.0,13.0,9.0,0.7158730158730159,1723061592.0,0.0,1734.0,429.81406
6.0,11.0,6.0,0.6142857142857143,1874385564.0,0.0,1692.0,429.81406
6.0,8.0,2.0,0.5126984126984127,1874237511.0,0.0,1713.0,429.81406
6.0,11.0,5.0,0.734920634920635,1721047069.0,0.0,1702.0,429.81406
6.0,8.0,8.0,0.6142857142857143,1864227096.0,0.0,1746.0,429.81406
6.0,11.0,7.0,0.5126984126984127,1722928220.0,0.0,1746.0,429.81406
6.0,9.0,8.0,0.8238095238095238,1655790168.0,0.0,1718.0,429.81406
6.0,11.0,3.0,0.8301587301587301,1195990296.0,0.0,1734.0,429.81406
6.0,10.0,3.0,0.6777777777777778,1655755833.0,0.0,1748.0,429.81406
6.0,9.0,4.0,0.5507936507936508,1194777617.0,0.0,1740.0,429.81406
6.0,11.0,3.0,0.5,1990360080.0,0.0,1746.0,429.81406
