spark.executor.memoryOverhead,spark.kryoserializer.buffer.max,spark.shuffle.compress,spark.kryoserializer.buffer,spark.broadcast.blockSize,spark.shuffle.file.buffer,runtime
1253.0,94.0,1.0,108.0,19.0,39.0,249.09012157867735
1005.0,61.0,1.0,92.0,12.0,40.0,248.15835827448026
1139.0,88.0,0.0,92.0,12.0,40.0,247.8685353351766
998.0,88.0,0.0,128.0,12.0,36.0,248.43813164336132
1196.0,95.0,1.0,58.0,10.0,38.0,247.41566689972697
1093.0,88.0,1.0,109.0,7.0,37.0,248.43813164336132
1123.0,86.0,1.0,107.0,11.0,40.0,247.8685353351766
1066.0,94.0,1.0,59.0,3.0,20.0,248.43813164336132
1223.0,86.0,1.0,65.0,11.0,40.0,248.009749243768
1215.0,86.0,1.0,89.0,9.0,42.0,248.28776263382582
1198.0,95.0,1.0,120.0,3.0,40.0,247.41566689972697
1227.0,94.0,1.0,67.0,9.0,46.0,248.009749243768
1145.0,89.0,0.0,120.0,2.0,40.0,247.8685353351766
975.0,86.0,1.0,67.0,10.0,35.0,248.43813164336132
1175.0,86.0,1.0,115.0,10.0,33.0,247.41566689972697
897.0,94.0,0.0,50.0,7.0,39.0,248.43813164336132
1138.0,95.0,1.0,92.0,9.0,39.0,247.8685353351766
1108.0,85.0,1.0,112.0,8.0,37.0,247.8685353351766
1171.0,93.0,0.0,46.0,9.0,39.0,247.41566689972697
1120.0,86.0,0.0,108.0,4.0,44.0,247.8685353351766
1251.0,92.0,0.0,105.0,4.0,33.0,247.62289797596375
946.0,92.0,0.0,88.0,12.0,44.0,248.43813164336132
1097.0,92.0,0.0,91.0,6.0,38.0,247.8685353351766
1256.0,91.0,0.0,126.0,5.0,41.0,247.62289797596375
927.0,92.0,1.0,90.0,12.0,25.0,248.43813164336132
1074.0,92.0,1.0,117.0,9.0,33.0,248.43813164336132
1164.0,86.0,1.0,92.0,7.0,34.0,247.8685353351766
1012.0,63.0,0.0,43.0,5.0,34.0,248.15835827448026
1113.0,61.0,1.0,123.0,7.0,47.0,247.5887619662955
1100.0,63.0,1.0,43.0,10.0,42.0,247.5887619662955
