spark.executor.memoryOverhead,spark.executor.cores,spark.memory.fraction,spark.kryoserializer.buffer.max,spark.storage.memoryMapThreshold,spark.shuffle.file.buffer,spark.shuffle.compress,spark.reducer.maxReqsInFlight,spark.scheduler.revive.interval,spark.kryoserializer.buffer,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxSizeInFlight,runtime
1450.0,6.0,0.6841269841269841,88.0,2.0,35.0,0.0,1491880281.0,542.0,126.0,1934325464.0,253.0,346.0,38.0,278.30933333333337
1324.0,6.0,0.753968253968254,94.0,5.0,40.0,1.0,1804156928.0,833.0,62.0,1814261376.0,265.0,277.0,59.0,278.30933333333337
1409.0,7.0,0.5380952380952381,92.0,7.0,38.0,1.0,1463321216.0,955.0,59.0,1150613960.0,269.0,144.0,26.0,278.30933333333337
1189.0,7.0,0.753968253968254,106.0,2.0,48.0,1.0,1184392897.0,802.0,34.0,1321634304.0,343.0,265.0,35.0,278.30933333333337
1254.0,6.0,0.6015873015873016,70.0,1.0,26.0,1.0,1731764738.0,919.0,48.0,1712091104.0,336.0,256.0,26.0,278.30933333333337
1490.0,6.0,0.7920634920634921,102.0,5.0,40.0,1.0,1982474306.0,761.0,104.0,1786217408.0,434.0,373.0,26.0,278.30933333333337
1082.0,7.0,0.7666666666666666,102.0,9.0,47.0,1.0,1804254993.0,979.0,49.0,2018473226.0,387.0,311.0,26.0,278.30933333333337
1423.0,6.0,0.6523809523809524,91.0,4.0,27.0,1.0,1647885827.0,640.0,55.0,2018201473.0,260.0,268.0,35.0,278.30933333333337
1254.0,6.0,0.7857142857142857,94.0,9.0,29.0,1.0,1658492288.0,860.0,71.0,1582917907.0,370.0,156.0,33.0,278.30933333333337
1716.0,6.0,0.5634920634920635,105.0,7.0,39.0,0.0,1574457858.0,817.0,46.0,1211058241.0,256.0,285.0,44.0,278.30933333333337
1251.0,6.0,0.5825396825396826,82.0,2.0,43.0,0.0,2076461088.0,962.0,35.0,1410024324.0,241.0,473.0,59.0,278.30933333333337
1176.0,6.0,0.734920634920635,58.0,3.0,31.0,1.0,1135277955.0,577.0,63.0,1816809216.0,396.0,228.0,35.0,278.30933333333337
1283.0,6.0,0.6777777777777778,95.0,8.0,29.0,1.0,1468979073.0,822.0,69.0,1934312097.0,344.0,174.0,47.0,278.30933333333337
1712.0,6.0,0.7158730158730159,86.0,9.0,26.0,1.0,1268502401.0,577.0,123.0,1937510180.0,268.0,252.0,40.0,278.30933333333337
1410.0,7.0,0.6777777777777778,114.0,5.0,32.0,1.0,1314112906.0,603.0,70.0,1995929075.0,211.0,277.0,37.0,278.30933333333337
1197.0,6.0,0.6777777777777778,82.0,8.0,37.0,0.0,1267637704.0,572.0,105.0,1668898192.0,308.0,184.0,29.0,278.30933333333337
1379.0,7.0,0.7920634920634921,65.0,5.0,33.0,0.0,1877733252.0,572.0,115.0,1903805536.0,272.0,177.0,35.0,278.30933333333337
1650.0,6.0,0.7158730158730159,76.0,9.0,38.0,0.0,1605293989.0,592.0,47.0,1931078612.0,235.0,152.0,61.0,278.30933333333337
995.0,7.0,0.7285714285714285,59.0,7.0,29.0,1.0,1101717891.0,852.0,54.0,2057797080.0,246.0,159.0,48.0,278.30933333333337
1618.0,7.0,0.6333333333333333,84.0,9.0,20.0,1.0,1085204865.0,857.0,56.0,1742144882.0,286.0,318.0,29.0,278.30933333333337
1559.0,7.0,0.7984126984126985,84.0,1.0,21.0,0.0,2001386137.0,893.0,35.0,1177384868.0,238.0,253.0,47.0,278.30933333333337
1468.0,7.0,0.5698412698412698,111.0,5.0,47.0,1.0,1806033683.0,775.0,102.0,1946123310.0,342.0,257.0,41.0,278.30933333333337
1752.0,6.0,0.7031746031746031,95.0,4.0,20.0,1.0,2123181574.0,758.0,123.0,1529048541.0,314.0,295.0,29.0,278.30933333333337
1407.0,7.0,0.6206349206349207,112.0,3.0,29.0,1.0,1733033403.0,900.0,99.0,1659872008.0,299.0,477.0,52.0,278.30933333333337
1494.0,6.0,0.7412698412698413,74.0,7.0,24.0,0.0,1952079804.0,899.0,54.0,2141319664.0,350.0,157.0,29.0,278.30933333333337
1735.0,7.0,0.5,99.0,3.0,19.0,0.0,1122665727.0,732.0,69.0,1733529084.0,436.0,295.0,29.0,278.30933333333337
1258.0,6.0,0.7031746031746031,116.0,2.0,38.0,1.0,2124361403.0,899.0,86.0,1125233057.0,435.0,159.0,29.0,278.30933333333337
1312.0,7.0,0.6333333333333333,106.0,7.0,20.0,0.0,1981693288.0,951.0,68.0,1708268905.0,266.0,257.0,32.0,278.30933333333337
880.0,7.0,0.7857142857142857,48.0,8.0,35.0,1.0,1458360264.0,841.0,119.0,1465085756.0,492.0,469.0,29.0,278.30933333333337
1742.0,7.0,0.5698412698412698,83.0,6.0,33.0,1.0,1321878365.0,792.0,61.0,1106461023.0,334.0,372.0,45.0,278.30933333333337
